# event_ticker=KXATPCHALLENGERMATCH-26MAY19LOMHER
# final_score=6-4 7-6(6)
# score_resolution=6-4 7-6
# match_winner=Alex Hernandez
# fav_player=Alex Hernandez
# dog_player=Grigoriy Lomakin
# kalshi_date=2026-05-19
timestamp,Grigoriy Lomakin,Alex Hernandez
2026-05-19T07:01:00Z,15.34,86.04
2026-05-19T07:02:00Z,14.00,87.00
2026-05-19T07:03:00Z,13.00,87.00
2026-05-19T07:04:00Z,15.61,84.00
2026-05-19T07:05:00Z,16.91,84.00
2026-05-19T07:06:00Z,16.85,83.13
2026-05-19T07:07:00Z,15.96,85.00
2026-05-19T07:08:00Z,17.05,82.53
2026-05-19T07:09:00Z,17.78,82.36
2026-05-19T07:10:00Z,17.93,84.00
2026-05-19T07:11:00Z,14.79,84.57
2026-05-19T07:12:00Z,15.85,86.66
2026-05-19T07:13:00Z,14.23,84.00
2026-05-19T07:14:00Z,18.20,83.01
2026-05-19T07:15:00Z,16.59,83.04
2026-05-19T07:16:00Z,19.74,80.35
2026-05-19T07:17:00Z,20.53,80.99
2026-05-19T07:18:00Z,16.09,84.05
2026-05-19T07:19:00Z,15.00,85.00
2026-05-19T07:20:00Z,15.05,85.00
2026-05-19T07:21:00Z,17.55,86.00
2026-05-19T07:22:00Z,18.72,82.45
2026-05-19T07:23:00Z,16.99,84.29
2026-05-19T07:24:00Z,15.48,85.00
2026-05-19T07:25:00Z,16.50,83.88
2026-05-19T07:26:00Z,18.87,81.94
2026-05-19T07:27:00Z,18.83,83.07
2026-05-19T07:28:00Z,19.25,82.16
2026-05-19T07:29:00Z,17.00,84.00
2026-05-19T07:30:00Z,17.00,84.63
2026-05-19T07:31:00Z,16.58,86.96
2026-05-19T07:32:00Z,8.46,90.84
2026-05-19T07:33:00Z,5.88,94.89
2026-05-19T07:34:00Z,4.64,95.98
2026-05-19T07:35:00Z,5.38,95.87
2026-05-19T07:36:00Z,5.00,95.23
2026-05-19T07:37:00Z,4.94,94.40
2026-05-19T07:38:00Z,5.14,94.96
2026-05-19T07:39:00Z,6.00,94.50
2026-05-19T07:40:00Z,6.00,94.07
2026-05-19T07:41:00Z,5.32,95.00
2026-05-19T07:42:00Z,6.08,94.53
2026-05-19T07:43:00Z,10.52,93.96
2026-05-19T07:44:00Z,7.34,92.62
2026-05-19T07:45:00Z,7.56,92.74
2026-05-19T07:46:00Z,10.50,92.77
2026-05-19T07:47:00Z,7.82,93.89
2026-05-19T07:48:00Z,8.09,91.28
2026-05-19T07:49:00Z,7.49,93.04
2026-05-19T07:50:00Z,8.67,94.25
2026-05-19T07:51:00Z,9.14,92.00
2026-05-19T07:52:00Z,9.61,92.16
2026-05-19T07:53:00Z,7.07,93.75
2026-05-19T07:54:00Z,7.00,93.23
2026-05-19T07:55:00Z,6.37,93.00
2026-05-19T07:56:00Z,5.57,94.50
2026-05-19T07:57:00Z,6.97,92.79
2026-05-19T07:58:00Z,5.27,95.64
2026-05-19T07:59:00Z,6.15,93.21
2026-05-19T08:00:00Z,7.29,92.48
2026-05-19T08:01:00Z,8.50,91.49
2026-05-19T08:02:00Z,11.42,88.20
2026-05-19T08:03:00Z,10.85,91.28
2026-05-19T08:04:00Z,16.43,86.05
2026-05-19T08:05:00Z,17.83,83.00
2026-05-19T08:06:00Z,12.95,87.54
2026-05-19T08:07:00Z,14.66,85.50
2026-05-19T08:08:00Z,15.95,84.17
2026-05-19T08:09:00Z,18.38,84.00
2026-05-19T08:10:00Z,18.67,81.02
2026-05-19T08:11:00Z,16.89,83.93
2026-05-19T08:12:00Z,20.06,81.88
2026-05-19T08:13:00Z,22.74,79.43
2026-05-19T08:14:00Z,24.09,75.81
2026-05-19T08:15:00Z,25.63,71.52
2026-05-19T08:16:00Z,29.57,70.78
2026-05-19T08:17:00Z,31.48,67.93
2026-05-19T08:18:00Z,30.65,72.00
2026-05-19T08:19:00Z,25.64,74.04
2026-05-19T08:20:00Z,24.77,75.19
2026-05-19T08:21:00Z,25.32,76.00
2026-05-19T08:22:00Z,27.02,74.11
2026-05-19T08:23:00Z,25.66,75.22
2026-05-19T08:24:00Z,24.88,75.74
2026-05-19T08:25:00Z,23.74,76.94
2026-05-19T08:26:00Z,24.59,75.87
2026-05-19T08:27:00Z,24.26,77.18
2026-05-19T08:28:00Z,24.91,74.98
2026-05-19T08:29:00Z,20.87,83.67
2026-05-19T08:30:00Z,10.00,89.36
2026-05-19T08:31:00Z,11.02,87.17
2026-05-19T08:32:00Z,12.62,90.69
2026-05-19T08:33:00Z,7.48,92.48
2026-05-19T08:34:00Z,8.55,93.84
2026-05-19T08:35:00Z,5.58,94.00
2026-05-19T08:36:00Z,9.08,88.35
2026-05-19T08:37:00Z,10.07,90.00
2026-05-19T08:38:00Z,12.51,87.00
2026-05-19T08:39:00Z,8.96,92.11
2026-05-19T08:40:00Z,3.60,96.65
2026-05-19T08:41:00Z,3.05,96.76
2026-05-19T08:42:00Z,9.22,89.45
2026-05-19T08:43:00Z,11.33,92.36
2026-05-19T08:44:00Z,7.09,93.95
2026-05-19T08:45:00Z,8.94,93.50
2026-05-19T08:46:00Z,4.64,96.42
2026-05-19T08:47:00Z,12.07,88.23
2026-05-19T08:48:00Z,4.37,98.55
2026-05-19T08:49:00Z,1.00,99.00
2026-05-19T08:51:00Z,1.00,99.00
2026-05-19T08:52:00Z,1.00,99.00
