# event_ticker=KXATPCHALLENGERMATCH-26MAR10MRVKUZ
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Maxim Mrva
# fav_player=Dimitar Kuzmanov
# dog_player=Maxim Mrva
# kalshi_date=2026-03-10
timestamp,Dimitar Kuzmanov,Maxim Mrva
2026-03-10T15:38:00Z,38.99,67.00
2026-03-10T15:39:00Z,39.39,62.65
2026-03-10T15:40:00Z,37.10,65.50
2026-03-10T15:41:00Z,36.00,68.99
2026-03-10T15:42:00Z,28.00,71.00
2026-03-10T15:43:00Z,28.72,72.83
2026-03-10T15:44:00Z,29.95,72.00
2026-03-10T15:45:00Z,32.55,71.42
2026-03-10T15:46:00Z,29.49,71.03
2026-03-10T15:47:00Z,29.49,76.18
2026-03-10T15:48:00Z,24.97,78.00
2026-03-10T15:49:00Z,25.12,74.40
2026-03-10T15:50:00Z,28.91,73.06
2026-03-10T15:51:00Z,28.00,74.00
2026-03-10T15:52:00Z,26.87,74.19
2026-03-10T15:53:00Z,24.33,76.83
2026-03-10T15:54:00Z,24.20,76.00
2026-03-10T15:55:00Z,24.98,77.00
2026-03-10T15:56:00Z,25.00,76.26
2026-03-10T15:57:00Z,25.71,76.26
2026-03-10T15:58:00Z,29.16,73.34
2026-03-10T15:59:00Z,33.75,67.95
2026-03-10T16:00:00Z,26.91,74.71
2026-03-10T16:01:00Z,31.30,70.02
2026-03-10T16:02:00Z,31.44,71.75
2026-03-10T16:03:00Z,31.00,71.73
2026-03-10T16:04:00Z,25.88,74.57
2026-03-10T16:05:00Z,29.24,72.44
2026-03-10T16:06:00Z,30.86,70.07
2026-03-10T16:07:00Z,31.53,70.10
2026-03-10T16:08:00Z,26.89,74.62
2026-03-10T16:09:00Z,26.85,74.85
2026-03-10T16:10:00Z,27.19,73.01
2026-03-10T16:11:00Z,23.21,76.75
2026-03-10T16:12:00Z,19.61,81.98
2026-03-10T16:13:00Z,13.79,87.56
2026-03-10T16:14:00Z,16.23,87.05
2026-03-10T16:15:00Z,22.05,80.25
2026-03-10T16:16:00Z,20.43,82.23
2026-03-10T16:17:00Z,26.84,76.70
2026-03-10T16:18:00Z,27.44,72.54
2026-03-10T16:19:00Z,30.92,68.85
2026-03-10T16:20:00Z,35.87,59.90
2026-03-10T16:21:00Z,36.79,65.00
2026-03-10T16:22:00Z,37.95,63.60
2026-03-10T16:23:00Z,37.02,65.09
2026-03-10T16:24:00Z,39.52,60.56
2026-03-10T16:25:00Z,36.24,63.27
2026-03-10T16:26:00Z,29.66,68.61
2026-03-10T16:27:00Z,27.33,75.02
2026-03-10T16:28:00Z,29.60,72.31
2026-03-10T16:29:00Z,21.09,80.81
2026-03-10T16:30:00Z,13.40,87.60
2026-03-10T16:31:00Z,14.07,87.81
2026-03-10T16:32:00Z,13.07,86.10
2026-03-10T16:33:00Z,17.90,84.43
2026-03-10T16:34:00Z,24.48,81.21
2026-03-10T16:35:00Z,30.49,69.89
2026-03-10T16:36:00Z,27.99,73.72
2026-03-10T16:37:00Z,14.98,88.44
2026-03-10T16:38:00Z,9.29,91.75
2026-03-10T16:39:00Z,9.06,91.04
2026-03-10T16:40:00Z,7.13,94.19
2026-03-10T16:41:00Z,11.17,89.57
2026-03-10T16:42:00Z,15.06,88.36
2026-03-10T16:43:00Z,5.61,95.63
2026-03-10T16:44:00Z,9.65,91.67
2026-03-10T16:45:00Z,1.79,98.66
2026-03-10T16:46:00Z,1.79,99.00
2026-03-10T16:47:00Z,1.79,99.00
