# event_ticker=KXATPCHALLENGERMATCH-26FEB10MARKIN
# final_score=6-3 7-5
# match_winner=Cannon Kingsley
# fav_player=Cannon Kingsley
# dog_player=Andres Martin
# kalshi_date=2026-02-10
timestamp,Cannon Kingsley,Andres Martin
2026-02-10T16:13:00Z,55.36,45.04
2026-02-10T16:14:00Z,58.14,35.16
2026-02-10T16:15:00Z,67.05,35.16
2026-02-10T16:16:00Z,73.00,29.26
2026-02-10T16:17:00Z,70.46,30.70
2026-02-10T16:18:00Z,68.28,30.57
2026-02-10T16:19:00Z,75.00,28.00
2026-02-10T16:20:00Z,73.00,28.00
2026-02-10T16:21:00Z,75.17,28.00
2026-02-10T16:22:00Z,73.52,29.00
2026-02-10T16:23:00Z,73.27,29.96
2026-02-10T16:24:00Z,69.38,30.00
2026-02-10T16:25:00Z,71.97,27.09
2026-02-10T16:26:00Z,66.04,34.87
2026-02-10T16:27:00Z,67.62,35.63
2026-02-10T16:28:00Z,72.10,26.99
2026-02-10T16:29:00Z,73.21,27.00
2026-02-10T16:30:00Z,73.24,28.36
2026-02-10T16:31:00Z,72.06,28.03
2026-02-10T16:32:00Z,72.00,23.66
2026-02-10T16:33:00Z,72.88,29.00
2026-02-10T16:34:00Z,74.13,26.14
2026-02-10T16:35:00Z,72.44,30.02
2026-02-10T16:36:00Z,73.62,26.00
2026-02-10T16:37:00Z,73.86,26.25
2026-02-10T16:38:00Z,73.00,27.91
2026-02-10T16:39:00Z,72.45,28.00
2026-02-10T16:40:00Z,71.63,30.00
2026-02-10T16:41:00Z,67.00,33.81
2026-02-10T16:42:00Z,62.15,38.76
2026-02-10T16:43:00Z,59.32,39.49
2026-02-10T16:44:00Z,64.24,36.69
2026-02-10T16:45:00Z,69.42,33.85
2026-02-10T16:46:00Z,74.78,25.00
2026-02-10T16:47:00Z,74.21,25.00
2026-02-10T16:48:00Z,72.99,27.12
2026-02-10T16:49:00Z,77.36,21.51
2026-02-10T16:50:00Z,83.03,15.23
2026-02-10T16:51:00Z,82.16,23.24
2026-02-10T16:52:00Z,73.00,29.14
2026-02-10T16:53:00Z,73.20,25.86
2026-02-10T16:54:00Z,78.22,24.08
2026-02-10T16:55:00Z,78.26,21.36
2026-02-10T16:56:00Z,80.04,21.05
2026-02-10T16:57:00Z,79.04,22.62
2026-02-10T16:58:00Z,77.77,21.64
2026-02-10T16:59:00Z,72.00,27.00
2026-02-10T17:00:00Z,74.01,27.00
2026-02-10T17:01:00Z,73.89,27.76
2026-02-10T17:02:00Z,79.50,23.63
2026-02-10T17:03:00Z,77.05,22.67
2026-02-10T17:04:00Z,73.86,27.96
2026-02-10T17:05:00Z,74.00,28.00
2026-02-10T17:06:00Z,74.02,28.00
2026-02-10T17:07:00Z,75.87,24.00
2026-02-10T17:08:00Z,79.29,20.00
2026-02-10T17:09:00Z,79.29,28.21
2026-02-10T17:10:00Z,82.56,22.23
2026-02-10T17:11:00Z,74.08,27.70
2026-02-10T17:12:00Z,75.00,28.00
2026-02-10T17:13:00Z,75.05,26.63
2026-02-10T17:14:00Z,76.03,26.05
2026-02-10T17:15:00Z,77.87,23.05
2026-02-10T17:16:00Z,72.47,29.89
2026-02-10T17:17:00Z,70.57,26.46
2026-02-10T17:18:00Z,76.23,24.99
2026-02-10T17:19:00Z,75.65,28.17
2026-02-10T17:20:00Z,75.60,26.78
2026-02-10T17:21:00Z,70.28,30.05
2026-02-10T17:22:00Z,68.92,32.70
2026-02-10T17:23:00Z,72.10,29.11
2026-02-10T17:24:00Z,77.96,24.68
2026-02-10T17:25:00Z,85.85,15.93
2026-02-10T17:26:00Z,93.61,8.39
2026-02-10T17:27:00Z,94.33,6.80
2026-02-10T17:28:00Z,96.35,4.19
2026-02-10T17:29:00Z,95.89,6.25
2026-02-10T17:30:00Z,97.28,3.47
2026-02-10T17:31:00Z,99.00,1.00
2026-02-10T17:32:00Z,99.00,1.00
2026-02-10T17:33:00Z,99.00,1.00
