# event_ticker=KXATPCHALLENGERMATCH-26MAR09SELBLA
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Geoffrey Blancaneaux
# fav_player=Jelle Sels
# dog_player=Geoffrey Blancaneaux
# kalshi_date=2026-03-09
timestamp,Jelle Sels,Geoffrey Blancaneaux
2026-03-09T15:40:00Z,15.65,83.67
2026-03-09T15:41:00Z,12.30,86.74
2026-03-09T15:42:00Z,14.15,86.00
2026-03-09T15:43:00Z,14.81,84.89
2026-03-09T15:44:00Z,16.00,86.00
2026-03-09T15:45:00Z,16.00,85.78
2026-03-09T15:46:00Z,8.34,92.37
2026-03-09T15:47:00Z,6.01,94.70
2026-03-09T15:48:00Z,7.40,93.14
2026-03-09T15:49:00Z,6.91,94.53
2026-03-09T15:50:00Z,7.54,93.57
2026-03-09T15:51:00Z,5.29,95.13
2026-03-09T15:52:00Z,7.46,93.09
2026-03-09T15:53:00Z,7.60,93.14
2026-03-09T15:54:00Z,7.61,94.24
2026-03-09T15:55:00Z,5.90,94.95
2026-03-09T15:56:00Z,4.44,96.89
2026-03-09T15:57:00Z,5.79,94.61
2026-03-09T15:58:00Z,6.48,94.21
2026-03-09T15:59:00Z,6.96,93.88
2026-03-09T16:00:00Z,7.00,93.72
2026-03-09T16:01:00Z,6.83,95.00
2026-03-09T16:02:00Z,7.81,94.10
2026-03-09T16:03:00Z,5.21,95.93
2026-03-09T16:04:00Z,4.38,95.99
2026-03-09T16:05:00Z,3.72,96.97
2026-03-09T16:06:00Z,4.46,95.97
2026-03-09T16:07:00Z,4.99,96.02
2026-03-09T16:08:00Z,5.16,95.25
2026-03-09T16:09:00Z,6.00,95.00
2026-03-09T16:10:00Z,5.03,95.90
2026-03-09T16:11:00Z,3.16,95.72
2026-03-09T16:12:00Z,3.93,97.00
2026-03-09T16:13:00Z,5.00,97.00
2026-03-09T16:14:00Z,5.00,96.04
2026-03-09T16:15:00Z,5.33,96.00
2026-03-09T16:16:00Z,5.00,95.95
2026-03-09T16:17:00Z,4.02,95.70
2026-03-09T16:18:00Z,2.98,96.19
2026-03-09T16:19:00Z,4.38,96.11
2026-03-09T16:20:00Z,7.48,91.07
2026-03-09T16:21:00Z,7.35,92.07
2026-03-09T16:22:00Z,3.05,97.76
2026-03-09T16:23:00Z,2.07,98.01
2026-03-09T16:24:00Z,2.96,98.73
2026-03-09T16:25:00Z,1.29,98.99
2026-03-09T16:26:00Z,1.00,99.00
2026-03-09T16:27:00Z,1.00,99.00
2026-03-09T16:28:00Z,1.00,99.00
2026-03-09T16:29:00Z,1.00,99.00
2026-03-09T16:30:00Z,1.00,99.00
2026-03-09T16:31:00Z,1.00,99.00
2026-03-09T16:32:00Z,1.00,99.00
