# event_ticker=KXATPCHALLENGERMATCH-26MAR10BARSHE
# final_score=6-2 4-2 RET
# match_winner=Abdullah Shelbayh
# fav_player=Abdullah Shelbayh
# dog_player=Javier Barranco Cosano
# kalshi_date=2026-03-10
timestamp,Abdullah Shelbayh,Javier Barranco Cosano
2026-03-10T12:15:00Z,88.00,12.00
2026-03-10T12:16:00Z,87.78,12.00
2026-03-10T12:17:00Z,86.00,14.39
2026-03-10T12:18:00Z,86.23,14.39
2026-03-10T12:19:00Z,85.00,14.39
2026-03-10T12:20:00Z,87.00,14.39
2026-03-10T12:21:00Z,88.00,13.88
2026-03-10T12:22:00Z,90.00,13.88
2026-03-10T12:23:00Z,93.85,13.88
2026-03-10T12:24:00Z,95.00,9.74
2026-03-10T12:25:00Z,95.00,9.00
2026-03-10T12:26:00Z,90.00,9.00
2026-03-10T12:27:00Z,95.00,6.08
2026-03-10T12:28:00Z,94.95,8.84
2026-03-10T12:29:00Z,91.50,10.01
2026-03-10T12:30:00Z,98.65,2.06
2026-03-10T12:31:00Z,99.00,1.69
2026-03-10T12:32:00Z,99.00,1.69
2026-03-10T12:33:00Z,99.00,1.69
