# event_ticker=KXATPMATCH-25JUL26MOUDE
# final_score=6-4 6-3
# match_winner=Alex de Minaur
# fav_player=Alex de Minaur
# dog_player=Corentin Moutet
# kalshi_date=2025-07-26
timestamp,Alex de Minaur,Corentin Moutet
2025-07-27T00:45:00Z,78.41,25.32
2025-07-27T00:46:00Z,82.10,25.32
2025-07-27T00:47:00Z,82.10,20.00
2025-07-27T00:48:00Z,80.38,22.00
2025-07-27T00:49:00Z,81.00,27.22
2025-07-27T00:50:00Z,78.39,25.26
2025-07-27T00:51:00Z,79.00,25.26
2025-07-27T00:52:00Z,79.00,22.00
2025-07-27T00:53:00Z,79.22,26.69
2025-07-27T00:54:00Z,79.22,23.00
2025-07-27T00:55:00Z,79.22,24.56
2025-07-27T00:56:00Z,84.00,24.56
2025-07-27T00:57:00Z,83.98,18.89
2025-07-27T00:58:00Z,85.00,9.37
2025-07-27T00:59:00Z,85.00,15.92
2025-07-27T01:00:00Z,86.00,15.92
2025-07-27T01:01:00Z,85.87,14.49
2025-07-27T01:02:00Z,87.21,12.92
2025-07-27T01:03:00Z,84.24,16.62
2025-07-27T01:04:00Z,86.01,17.33
2025-07-27T01:05:00Z,90.00,10.96
2025-07-27T01:06:00Z,90.00,11.03
2025-07-27T01:08:00Z,90.00,15.00
2025-07-27T01:09:00Z,90.00,12.88
2025-07-27T01:10:00Z,89.00,12.49
2025-07-27T01:11:00Z,89.00,13.64
2025-07-27T01:12:00Z,89.00,18.06
2025-07-27T01:13:00Z,88.29,9.79
2025-07-27T01:14:00Z,90.00,8.79
2025-07-27T01:15:00Z,90.06,9.64
2025-07-27T01:16:00Z,90.14,11.00
2025-07-27T01:17:00Z,90.00,9.96
2025-07-27T01:18:00Z,91.00,10.64
2025-07-27T01:19:00Z,91.00,11.00
2025-07-27T01:20:00Z,92.73,12.50
2025-07-27T01:21:00Z,92.73,6.97
2025-07-27T01:22:00Z,95.98,5.37
2025-07-27T01:23:00Z,96.41,4.04
2025-07-27T01:24:00Z,96.09,4.02
2025-07-27T01:25:00Z,96.09,2.20
2025-07-27T01:26:00Z,96.09,3.14
2025-07-27T01:27:00Z,96.09,1.09
2025-07-27T01:28:00Z,99.00,1.68
2025-07-27T01:29:00Z,99.00,1.04
2025-07-27T01:30:00Z,99.00,1.28
2025-07-27T01:31:00Z,99.00,2.00
2025-07-27T01:33:00Z,99.00,1.00
2025-07-27T01:34:00Z,99.00,1.00
2025-07-27T01:35:00Z,99.00,2.41
2025-07-27T01:36:00Z,99.00,10.00
2025-07-27T01:37:00Z,99.00,3.24
2025-07-27T01:38:00Z,99.00,2.00
2025-07-27T01:40:00Z,99.00,2.00
2025-07-27T01:41:00Z,99.00,2.00
2025-07-27T01:43:00Z,99.00,2.00
2025-07-27T01:44:00Z,98.00,1.99
2025-07-27T01:45:00Z,97.00,2.00
2025-07-27T01:46:00Z,97.00,2.78
2025-07-27T01:47:00Z,97.00,3.00
2025-07-27T01:48:00Z,97.00,3.00
2025-07-27T01:49:00Z,98.00,2.85
2025-07-27T01:50:00Z,98.00,3.00
2025-07-27T01:51:00Z,98.00,1.00
2025-07-27T01:52:00Z,98.00,1.00
2025-07-27T01:53:00Z,99.00,1.00
2025-07-27T01:54:00Z,99.00,1.70
2025-07-27T01:55:00Z,99.00,1.03
2025-07-27T01:56:00Z,99.00,2.02
2025-07-27T01:57:00Z,99.00,3.00
2025-07-27T01:58:00Z,98.00,2.31
2025-07-27T01:59:00Z,99.00,1.80
2025-07-27T02:00:00Z,97.00,2.45
2025-07-27T02:01:00Z,97.00,3.44
2025-07-27T02:02:00Z,97.00,3.59
2025-07-27T02:03:00Z,99.00,3.59
2025-07-27T02:08:00Z,99.00,1.04
