# event_ticker=KXATPCHALLENGERMATCH-26MAR31DUTPRA
# final_score=6-4 7-6(6)
# score_resolution=4-6 6-7
# match_winner=Juan Carlos Prado Angelo
# fav_player=Daniel Dutra Da Silva
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-31
timestamp,Daniel Dutra Da Silva,Juan Carlos Prado Angelo
2026-03-31T22:26:00Z,17.71,82.62
2026-03-31T22:27:00Z,19.76,83.16
2026-03-31T22:28:00Z,18.83,83.83
2026-03-31T22:29:00Z,17.14,82.49
2026-03-31T22:30:00Z,19.29,83.22
2026-03-31T22:31:00Z,16.68,81.43
2026-03-31T22:32:00Z,13.96,85.90
2026-03-31T22:33:00Z,14.99,87.00
2026-03-31T22:34:00Z,15.00,87.00
2026-03-31T22:35:00Z,14.01,87.00
2026-03-31T22:36:00Z,11.67,90.57
2026-03-31T22:37:00Z,9.38,90.15
2026-03-31T22:38:00Z,12.85,90.15
2026-03-31T22:39:00Z,15.81,86.28
2026-03-31T22:40:00Z,11.48,87.86
2026-03-31T22:41:00Z,12.00,88.75
2026-03-31T22:42:00Z,13.01,87.81
2026-03-31T22:43:00Z,11.50,90.60
2026-03-31T22:44:00Z,10.39,90.91
2026-03-31T22:45:00Z,7.50,93.69
2026-03-31T22:46:00Z,6.90,92.00
2026-03-31T22:47:00Z,7.46,94.64
2026-03-31T22:48:00Z,5.66,95.93
2026-03-31T22:49:00Z,4.71,96.35
2026-03-31T22:50:00Z,3.15,97.71
2026-03-31T22:51:00Z,2.45,98.90
2026-03-31T22:52:00Z,2.00,98.90
2026-03-31T22:53:00Z,1.36,98.86
2026-03-31T22:54:00Z,1.00,98.86
2026-03-31T22:55:00Z,1.00,99.00
2026-03-31T22:56:00Z,1.00,99.00
2026-03-31T22:57:00Z,1.00,99.00
2026-03-31T22:58:00Z,1.00,99.00
2026-03-31T22:59:00Z,1.00,99.00
2026-03-31T23:00:00Z,1.00,99.00
2026-03-31T23:01:00Z,1.00,99.00
2026-03-31T23:02:00Z,1.00,99.00
2026-03-31T23:03:00Z,1.11,98.64
2026-03-31T23:04:00Z,2.48,97.56
2026-03-31T23:05:00Z,3.06,97.31
2026-03-31T23:06:00Z,3.89,96.97
2026-03-31T23:07:00Z,5.16,95.03
2026-03-31T23:08:00Z,4.52,95.97
2026-03-31T23:09:00Z,4.60,96.64
2026-03-31T23:10:00Z,3.36,96.77
2026-03-31T23:11:00Z,3.00,97.79
2026-03-31T23:12:00Z,2.35,98.86
2026-03-31T23:13:00Z,2.03,98.90
2026-03-31T23:14:00Z,2.77,98.01
2026-03-31T23:15:00Z,2.12,98.25
2026-03-31T23:16:00Z,3.06,97.99
2026-03-31T23:17:00Z,3.00,98.00
2026-03-31T23:18:00Z,1.16,98.76
2026-03-31T23:19:00Z,1.53,98.15
2026-03-31T23:20:00Z,3.00,96.94
2026-03-31T23:21:00Z,5.25,95.07
2026-03-31T23:22:00Z,5.48,93.89
2026-03-31T23:23:00Z,11.68,91.14
2026-03-31T23:24:00Z,12.59,89.09
2026-03-31T23:25:00Z,16.50,83.41
2026-03-31T23:26:00Z,20.37,79.68
2026-03-31T23:27:00Z,15.24,81.63
2026-03-31T23:28:00Z,9.83,91.06
2026-03-31T23:29:00Z,16.17,86.54
2026-03-31T23:30:00Z,14.89,84.23
2026-03-31T23:31:00Z,18.72,82.06
2026-03-31T23:32:00Z,19.29,80.78
2026-03-31T23:33:00Z,20.14,79.84
2026-03-31T23:34:00Z,15.00,84.43
2026-03-31T23:35:00Z,14.91,85.00
2026-03-31T23:36:00Z,16.98,84.68
2026-03-31T23:37:00Z,21.51,76.69
2026-03-31T23:38:00Z,19.89,83.97
2026-03-31T23:39:00Z,19.45,84.43
2026-03-31T23:40:00Z,25.71,73.75
2026-03-31T23:41:00Z,22.73,75.72
2026-03-31T23:42:00Z,17.09,85.23
2026-03-31T23:43:00Z,17.31,87.41
2026-03-31T23:44:00Z,15.21,83.15
2026-03-31T23:45:00Z,9.80,90.20
2026-03-31T23:46:00Z,13.66,88.25
2026-03-31T23:47:00Z,4.68,93.43
2026-03-31T23:48:00Z,1.22,98.98
2026-03-31T23:49:00Z,1.22,99.00
2026-03-31T23:50:00Z,1.22,99.00
2026-03-31T23:52:00Z,1.22,99.00
