# event_ticker=KXATPCHALLENGERMATCH-26MAR31RIBDEL
# final_score=4-6 6-1 6-2
# score_resolution=6-4 1-6 2-6
# match_winner=Hugo Dellien
# fav_player=Eduardo Ribeiro
# dog_player=Hugo Dellien
# kalshi_date=2026-03-31
timestamp,Eduardo Ribeiro,Hugo Dellien
2026-03-31T14:25:00Z,54.77,47.71
2026-03-31T14:26:00Z,59.88,40.08
2026-03-31T14:27:00Z,58.95,43.02
2026-03-31T14:28:00Z,57.32,47.07
2026-03-31T14:29:00Z,55.59,47.08
2026-03-31T14:30:00Z,55.71,47.66
2026-03-31T14:31:00Z,55.85,45.76
2026-03-31T14:32:00Z,61.44,40.99
2026-03-31T14:33:00Z,70.53,29.57
2026-03-31T14:34:00Z,75.44,27.33
2026-03-31T14:35:00Z,65.97,30.15
2026-03-31T14:36:00Z,60.42,41.44
2026-03-31T14:37:00Z,59.20,41.69
2026-03-31T14:38:00Z,60.07,42.21
2026-03-31T14:39:00Z,60.45,43.28
2026-03-31T14:40:00Z,58.12,44.35
2026-03-31T14:41:00Z,53.20,49.72
2026-03-31T14:42:00Z,51.50,53.73
2026-03-31T14:43:00Z,49.08,53.85
2026-03-31T14:44:00Z,47.27,53.96
2026-03-31T14:45:00Z,52.97,47.97
2026-03-31T14:46:00Z,59.50,42.76
2026-03-31T14:47:00Z,61.46,39.34
2026-03-31T14:48:00Z,56.26,42.63
2026-03-31T14:49:00Z,56.74,44.47
2026-03-31T14:50:00Z,54.51,50.53
2026-03-31T14:51:00Z,42.21,55.67
2026-03-31T14:52:00Z,42.53,59.13
2026-03-31T14:53:00Z,45.21,56.34
2026-03-31T14:54:00Z,49.66,50.60
2026-03-31T14:55:00Z,42.98,57.82
2026-03-31T14:56:00Z,39.18,61.19
2026-03-31T14:57:00Z,36.70,64.69
2026-03-31T14:58:00Z,35.80,66.80
2026-03-31T14:59:00Z,34.94,65.20
2026-03-31T15:00:00Z,30.85,71.90
2026-03-31T15:01:00Z,27.96,72.60
2026-03-31T15:02:00Z,26.69,74.78
2026-03-31T15:03:00Z,25.30,73.34
2026-03-31T15:04:00Z,29.60,71.43
2026-03-31T15:05:00Z,31.10,68.43
2026-03-31T15:06:00Z,32.20,68.05
2026-03-31T15:07:00Z,32.43,66.79
2026-03-31T15:08:00Z,36.57,64.69
2026-03-31T15:09:00Z,35.32,64.72
2026-03-31T15:10:00Z,37.24,63.47
2026-03-31T15:11:00Z,40.17,61.67
2026-03-31T15:12:00Z,38.23,63.56
2026-03-31T15:13:00Z,37.64,64.61
2026-03-31T15:14:00Z,40.98,62.43
2026-03-31T15:15:00Z,35.39,66.93
2026-03-31T15:16:00Z,38.43,63.72
2026-03-31T15:17:00Z,35.00,65.18
2026-03-31T15:18:00Z,25.96,71.33
2026-03-31T15:19:00Z,34.30,65.98
2026-03-31T15:20:00Z,26.60,73.50
2026-03-31T15:21:00Z,26.85,71.26
2026-03-31T15:22:00Z,28.11,71.46
2026-03-31T15:23:00Z,25.53,74.76
2026-03-31T15:24:00Z,14.52,84.86
2026-03-31T15:25:00Z,15.21,86.28
2026-03-31T15:26:00Z,8.64,89.51
2026-03-31T15:27:00Z,7.87,91.25
2026-03-31T15:28:00Z,7.46,94.34
2026-03-31T15:29:00Z,6.87,92.96
2026-03-31T15:30:00Z,7.60,92.59
2026-03-31T15:31:00Z,10.13,90.95
2026-03-31T15:32:00Z,10.93,90.63
2026-03-31T15:33:00Z,11.98,87.80
2026-03-31T15:34:00Z,13.33,87.30
2026-03-31T15:35:00Z,9.53,91.24
2026-03-31T15:36:00Z,6.79,93.80
2026-03-31T15:37:00Z,7.63,93.58
2026-03-31T15:38:00Z,3.35,95.35
2026-03-31T15:39:00Z,1.44,98.87
2026-03-31T15:40:00Z,1.00,99.00
2026-03-31T15:41:00Z,1.00,99.00
2026-03-31T15:42:00Z,1.00,99.00
2026-03-31T15:43:00Z,1.00,99.00
2026-03-31T15:44:00Z,1.00,99.00
2026-03-31T15:45:00Z,1.00,99.00
2026-03-31T15:46:00Z,1.00,99.00
2026-03-31T15:47:00Z,1.00,99.00
