# event_ticker=KXATPCHALLENGERMATCH-26FEB24TAKCLA
# final_score=6-4 6-1
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Yusuke Takahashi
# kalshi_date=2026-02-24
timestamp,Jay Clarke,Yusuke Takahashi
2026-02-24T11:12:00Z,76.00,26.00
2026-02-24T11:15:00Z,76.00,26.00
2026-02-24T11:22:00Z,76.00,26.00
2026-02-24T11:25:00Z,76.00,24.00
2026-02-24T11:30:00Z,76.00,24.00
2026-02-24T11:49:00Z,76.00,26.00
2026-02-24T11:51:00Z,76.00,26.00
2026-02-24T11:57:00Z,76.00,26.00
2026-02-24T11:58:00Z,76.00,24.00
2026-02-24T11:59:00Z,76.00,24.00
2026-02-24T12:08:00Z,76.00,26.00
2026-02-24T12:12:00Z,76.00,24.00
2026-02-24T12:13:00Z,76.00,27.03
2026-02-24T12:14:00Z,73.00,27.00
2026-02-24T12:15:00Z,72.51,32.18
2026-02-24T12:16:00Z,71.66,32.18
2026-02-24T12:17:00Z,69.00,31.68
2026-02-24T12:18:00Z,73.00,31.68
2026-02-24T12:19:00Z,75.10,25.30
2026-02-24T12:20:00Z,77.00,25.30
2026-02-24T12:21:00Z,77.12,20.00
2026-02-24T12:22:00Z,81.03,14.53
2026-02-24T12:23:00Z,88.44,12.36
2026-02-24T12:24:00Z,88.96,11.93
2026-02-24T12:25:00Z,87.02,11.93
2026-02-24T12:26:00Z,88.94,11.98
2026-02-24T12:27:00Z,89.00,11.65
2026-02-24T12:28:00Z,89.00,13.00
2026-02-24T12:29:00Z,90.00,11.57
2026-02-24T12:30:00Z,89.00,11.00
2026-02-24T12:31:00Z,89.00,11.07
2026-02-24T12:32:00Z,86.00,13.57
2026-02-24T12:33:00Z,83.00,18.30
2026-02-24T12:34:00Z,77.08,22.91
2026-02-24T12:35:00Z,77.08,24.00
2026-02-24T12:36:00Z,76.91,23.06
2026-02-24T12:37:00Z,76.36,25.02
2026-02-24T12:38:00Z,72.75,28.10
2026-02-24T12:39:00Z,71.11,31.00
2026-02-24T12:40:00Z,72.61,26.97
2026-02-24T12:41:00Z,74.21,24.00
2026-02-24T12:42:00Z,76.51,23.72
2026-02-24T12:43:00Z,78.47,22.20
2026-02-24T12:44:00Z,74.40,25.42
2026-02-24T12:45:00Z,73.00,27.86
2026-02-24T12:46:00Z,72.08,28.88
2026-02-24T12:47:00Z,72.00,26.19
2026-02-24T12:48:00Z,73.22,27.42
2026-02-24T12:49:00Z,76.99,24.00
2026-02-24T12:50:00Z,76.99,24.00
2026-02-24T12:51:00Z,78.14,20.39
2026-02-24T12:52:00Z,79.68,22.98
2026-02-24T12:53:00Z,83.40,17.72
2026-02-24T12:54:00Z,88.58,8.93
2026-02-24T12:55:00Z,88.58,9.00
2026-02-24T12:56:00Z,89.66,9.70
2026-02-24T12:57:00Z,89.66,8.95
2026-02-24T12:58:00Z,92.00,9.56
2026-02-24T12:59:00Z,92.00,9.89
2026-02-24T13:00:00Z,91.00,8.87
2026-02-24T13:01:00Z,91.94,9.57
2026-02-24T13:02:00Z,93.95,9.52
2026-02-24T13:03:00Z,94.94,7.55
2026-02-24T13:04:00Z,94.94,5.82
2026-02-24T13:05:00Z,95.81,7.01
2026-02-24T13:06:00Z,94.50,6.02
2026-02-24T13:07:00Z,93.00,9.00
2026-02-24T13:08:00Z,93.45,6.56
2026-02-24T13:09:00Z,92.17,8.78
2026-02-24T13:10:00Z,92.25,9.56
2026-02-24T13:11:00Z,92.73,5.78
2026-02-24T13:12:00Z,93.00,7.61
2026-02-24T13:13:00Z,93.00,9.11
2026-02-24T13:14:00Z,93.00,6.63
2026-02-24T13:15:00Z,96.45,3.97
2026-02-24T13:16:00Z,98.00,3.13
2026-02-24T13:17:00Z,98.65,2.54
2026-02-24T13:18:00Z,99.00,1.92
2026-02-24T13:19:00Z,98.82,1.16
2026-02-24T13:20:00Z,99.00,1.22
2026-02-24T13:21:00Z,99.00,1.19
2026-02-24T13:22:00Z,98.71,2.21
2026-02-24T13:23:00Z,98.71,1.00
2026-02-24T13:24:00Z,98.77,2.97
2026-02-24T13:25:00Z,99.00,1.99
2026-02-24T13:26:00Z,99.00,1.72
2026-02-24T13:27:00Z,99.00,2.00
2026-02-24T13:28:00Z,99.00,1.46
2026-02-24T13:29:00Z,99.00,1.00
2026-02-24T13:30:00Z,99.00,1.33
2026-02-24T13:31:00Z,99.00,2.69
2026-02-24T13:32:00Z,99.00,1.00
2026-02-24T13:33:00Z,99.00,1.00
2026-02-24T13:35:00Z,99.00,1.00
2026-02-24T13:36:00Z,99.00,1.00
2026-02-24T13:40:00Z,99.00,1.00
