# event_ticker=KXATPMATCH-25JUL28VUKMAR
# final_score=7-5 6-3
# match_winner=Aleksandar Vukic
# fav_player=Aleksandar Vukic
# dog_player=Pedro Martinez
# kalshi_date=2025-07-28
timestamp,Aleksandar Vukic,Pedro Martinez
2025-07-28T17:18:00Z,72.80,30.00
2025-07-28T17:21:00Z,72.80,29.00
2025-07-28T17:22:00Z,74.00,29.00
2025-07-28T17:23:00Z,74.00,31.00
2025-07-28T17:25:00Z,77.00,31.00
2025-07-28T17:26:00Z,76.61,22.00
2025-07-28T17:27:00Z,78.55,24.46
2025-07-28T17:28:00Z,82.50,16.00
2025-07-28T17:29:00Z,80.00,16.34
2025-07-28T17:31:00Z,75.59,16.34
2025-07-28T17:33:00Z,75.59,28.91
2025-07-28T17:34:00Z,70.00,28.91
2025-07-28T17:35:00Z,71.24,28.91
2025-07-28T17:36:00Z,71.24,31.00
2025-07-28T17:37:00Z,75.00,25.34
2025-07-28T17:39:00Z,76.00,24.00
2025-07-28T17:42:00Z,66.00,36.00
2025-07-28T17:43:00Z,69.00,31.00
2025-07-28T17:44:00Z,68.00,31.65
2025-07-28T17:45:00Z,66.07,33.83
2025-07-28T17:46:00Z,64.00,37.00
2025-07-28T17:47:00Z,68.01,37.00
2025-07-28T17:48:00Z,74.00,27.00
2025-07-28T17:50:00Z,72.00,27.22
2025-07-28T17:52:00Z,72.00,30.82
2025-07-28T17:53:00Z,66.00,34.00
2025-07-28T17:54:00Z,61.00,43.75
2025-07-28T17:55:00Z,53.37,45.24
2025-07-28T17:56:00Z,46.00,54.00
2025-07-28T17:57:00Z,46.00,54.15
2025-07-28T17:58:00Z,47.00,54.15
2025-07-28T17:59:00Z,47.00,59.88
2025-07-28T18:00:00Z,49.07,59.88
2025-07-28T18:01:00Z,50.00,49.85
2025-07-28T18:02:00Z,55.77,46.71
2025-07-28T18:03:00Z,53.75,46.27
2025-07-28T18:05:00Z,53.75,40.41
2025-07-28T18:06:00Z,67.00,40.68
2025-07-28T18:07:00Z,67.00,28.00
2025-07-28T18:08:00Z,71.00,31.00
2025-07-28T18:09:00Z,71.00,30.95
2025-07-28T18:10:00Z,76.82,30.23
2025-07-28T18:11:00Z,88.00,29.54
2025-07-28T18:12:00Z,69.62,30.85
2025-07-28T18:13:00Z,77.98,30.66
2025-07-28T18:14:00Z,86.00,13.53
2025-07-28T18:15:00Z,86.00,14.14
2025-07-28T18:16:00Z,85.00,13.00
2025-07-28T18:17:00Z,85.00,13.49
2025-07-28T18:18:00Z,85.98,14.27
2025-07-28T18:19:00Z,87.00,11.13
2025-07-28T18:20:00Z,88.00,12.72
2025-07-28T18:21:00Z,88.00,12.00
2025-07-28T18:22:00Z,89.00,13.47
2025-07-28T18:23:00Z,94.03,11.82
2025-07-28T18:24:00Z,92.91,2.29
2025-07-28T18:25:00Z,95.00,6.00
2025-07-28T18:26:00Z,94.69,6.71
2025-07-28T18:27:00Z,97.36,2.88
2025-07-28T18:28:00Z,97.36,2.26
2025-07-28T18:29:00Z,98.00,3.00
2025-07-28T18:30:00Z,98.00,2.00
2025-07-28T18:31:00Z,98.00,2.76
2025-07-28T18:32:00Z,98.00,3.00
2025-07-28T18:33:00Z,98.01,3.00
2025-07-28T18:35:00Z,97.72,4.00
2025-07-28T18:36:00Z,97.00,4.00
2025-07-28T18:37:00Z,94.64,9.20
2025-07-28T18:38:00Z,93.00,9.70
2025-07-28T18:39:00Z,94.98,8.00
2025-07-28T18:40:00Z,94.11,8.44
2025-07-28T18:41:00Z,95.22,6.05
2025-07-28T18:42:00Z,96.21,5.23
2025-07-28T18:43:00Z,91.69,10.76
2025-07-28T18:44:00Z,87.00,16.33
2025-07-28T18:45:00Z,86.47,32.69
2025-07-28T18:46:00Z,94.00,34.37
2025-07-28T18:47:00Z,90.00,19.76
2025-07-28T18:48:00Z,90.03,14.41
2025-07-28T18:49:00Z,89.66,10.00
2025-07-28T18:50:00Z,84.00,13.40
2025-07-28T18:51:00Z,89.93,9.05
2025-07-28T18:52:00Z,95.11,5.51
2025-07-28T18:53:00Z,97.00,4.00
2025-07-28T18:54:00Z,98.70,1.07
2025-07-28T18:55:00Z,99.00,1.00
2025-07-28T18:56:00Z,99.00,1.00
2025-07-28T18:57:00Z,99.00,1.00
2025-07-28T18:58:00Z,99.00,1.02
2025-07-28T18:59:00Z,98.00,2.00
2025-07-28T19:00:00Z,98.00,2.00
2025-07-28T19:01:00Z,98.00,1.00
2025-07-28T19:03:00Z,99.00,1.00
2025-07-28T19:06:00Z,99.00,1.00
