# event_ticker=KXATPMATCH-25OCT14FONVAN
# final_score=7-5 7-6(2)
# score_resolution=7-5 7-6
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Joao Fonseca
# kalshi_date=2025-10-14
timestamp,Botic Van de Zandschulp,Joao Fonseca
2025-10-14T16:44:00Z,36.00,66.00
2025-10-14T16:46:00Z,36.00,66.00
2025-10-14T16:47:00Z,36.00,66.00
2025-10-14T16:48:00Z,36.00,65.00
2025-10-14T16:50:00Z,36.00,65.00
2025-10-14T16:51:00Z,36.00,65.00
2025-10-14T16:52:00Z,36.00,65.70
2025-10-14T16:53:00Z,36.00,66.00
2025-10-14T16:55:00Z,36.00,66.00
2025-10-14T16:56:00Z,36.00,66.00
2025-10-14T16:57:00Z,36.00,66.00
2025-10-14T16:58:00Z,35.00,66.00
2025-10-14T16:59:00Z,36.00,66.00
2025-10-14T17:00:00Z,36.00,66.00
2025-10-14T17:02:00Z,35.02,66.00
2025-10-14T17:04:00Z,35.02,66.00
2025-10-14T17:05:00Z,35.02,66.00
2025-10-14T17:06:00Z,35.00,66.00
2025-10-14T17:07:00Z,35.00,66.00
2025-10-14T17:08:00Z,35.00,66.00
2025-10-14T17:09:00Z,35.00,66.00
2025-10-14T17:10:00Z,35.00,66.00
2025-10-14T17:11:00Z,35.00,66.00
2025-10-14T17:12:00Z,35.00,65.00
2025-10-14T17:13:00Z,35.00,66.00
2025-10-14T17:14:00Z,35.00,66.00
2025-10-14T17:16:00Z,36.00,67.00
2025-10-14T17:17:00Z,34.65,67.00
2025-10-14T17:18:00Z,34.65,67.00
2025-10-14T17:19:00Z,34.65,66.79
2025-10-14T17:20:00Z,36.00,67.00
2025-10-14T17:22:00Z,35.89,67.00
2025-10-14T17:23:00Z,35.00,67.00
2025-10-14T17:24:00Z,36.00,67.00
2025-10-14T17:25:00Z,36.00,67.00
2025-10-14T17:26:00Z,36.00,67.07
2025-10-14T17:27:00Z,34.00,67.00
2025-10-14T17:28:00Z,34.00,67.00
2025-10-14T17:29:00Z,34.00,67.00
2025-10-14T17:30:00Z,34.00,67.00
2025-10-14T17:31:00Z,34.00,67.00
2025-10-14T17:33:00Z,34.00,67.00
2025-10-14T17:34:00Z,34.00,67.00
2025-10-14T17:35:00Z,34.00,67.00
2025-10-14T17:36:00Z,34.00,67.00
2025-10-14T17:40:00Z,34.00,67.00
2025-10-14T17:41:00Z,34.00,67.00
2025-10-14T17:42:00Z,34.00,67.00
2025-10-14T17:43:00Z,34.00,67.00
2025-10-14T17:44:00Z,34.00,67.00
2025-10-14T17:45:00Z,34.00,67.00
2025-10-14T17:46:00Z,34.00,67.00
2025-10-14T17:47:00Z,34.00,67.00
2025-10-14T17:48:00Z,34.00,67.00
2025-10-14T17:49:00Z,34.00,67.00
2025-10-14T17:50:00Z,34.00,66.60
2025-10-14T17:51:00Z,34.00,67.00
2025-10-14T17:52:00Z,34.00,67.00
2025-10-14T17:55:00Z,34.00,67.00
2025-10-14T17:57:00Z,34.00,67.00
2025-10-14T17:59:00Z,34.00,67.00
2025-10-14T18:00:00Z,34.00,67.00
2025-10-14T18:01:00Z,34.00,67.00
2025-10-14T18:02:00Z,34.00,67.00
2025-10-14T18:03:00Z,34.00,67.00
2025-10-14T18:04:00Z,34.00,67.00
2025-10-14T18:05:00Z,34.00,67.00
2025-10-14T18:06:00Z,34.00,67.00
2025-10-14T18:07:00Z,34.00,67.00
2025-10-14T18:08:00Z,34.00,67.00
2025-10-14T18:10:00Z,34.00,67.00
2025-10-14T18:11:00Z,33.98,67.71
2025-10-14T18:12:00Z,34.00,66.16
2025-10-14T18:13:00Z,34.00,68.08
2025-10-14T18:14:00Z,34.12,68.61
2025-10-14T18:15:00Z,34.00,68.00
2025-10-14T18:16:00Z,34.15,68.26
2025-10-14T18:17:00Z,35.00,68.00
2025-10-14T18:18:00Z,34.25,68.00
2025-10-14T18:19:00Z,35.00,68.00
2025-10-14T18:20:00Z,34.94,68.00
2025-10-14T18:21:00Z,34.94,68.00
2025-10-14T18:22:00Z,35.00,68.00
2025-10-14T18:23:00Z,35.00,68.00
2025-10-14T18:24:00Z,35.00,68.00
2025-10-14T18:25:00Z,35.00,67.93
2025-10-14T18:26:00Z,35.00,68.00
2025-10-14T18:27:00Z,34.00,69.81
2025-10-14T18:28:00Z,34.00,69.54
2025-10-14T18:29:00Z,34.00,69.12
2025-10-14T18:30:00Z,34.00,70.00
2025-10-14T18:31:00Z,34.00,70.00
2025-10-14T18:32:00Z,35.13,69.15
2025-10-14T18:33:00Z,33.29,68.34
2025-10-14T18:34:00Z,33.64,68.82
2025-10-14T18:35:00Z,37.23,65.47
2025-10-14T18:36:00Z,39.00,64.09
2025-10-14T18:37:00Z,35.63,65.79
2025-10-14T18:38:00Z,35.92,66.00
2025-10-14T18:39:00Z,33.83,67.00
2025-10-14T18:40:00Z,37.09,65.57
2025-10-14T18:41:00Z,38.69,63.02
2025-10-14T18:42:00Z,39.00,63.00
2025-10-14T18:43:00Z,38.09,63.00
2025-10-14T18:44:00Z,40.79,60.59
2025-10-14T18:45:00Z,39.95,62.17
2025-10-14T18:46:00Z,40.75,62.76
2025-10-14T18:47:00Z,38.22,61.68
2025-10-14T18:48:00Z,37.10,65.62
2025-10-14T18:49:00Z,38.16,64.24
2025-10-14T18:50:00Z,38.90,62.25
2025-10-14T18:51:00Z,38.63,63.96
