# event_ticker=KXATPCHALLENGERMATCH-26MAR23GENFOR
# final_score=7-5 6-1
# match_winner=Tom Gentzsch
# fav_player=Tom Gentzsch
# dog_player=Jonas Forejtek
# kalshi_date=2026-03-23
timestamp,Tom Gentzsch,Jonas Forejtek
2026-03-23T17:01:00Z,62.87,42.00
2026-03-23T17:02:00Z,56.54,40.55
2026-03-23T17:03:00Z,63.21,35.75
2026-03-23T17:04:00Z,55.05,44.67
2026-03-23T17:05:00Z,61.28,39.92
2026-03-23T17:06:00Z,66.82,35.16
2026-03-23T17:07:00Z,69.56,31.20
2026-03-23T17:08:00Z,73.82,22.43
2026-03-23T17:09:00Z,84.40,15.35
2026-03-23T17:10:00Z,90.41,11.48
2026-03-23T17:11:00Z,90.52,8.61
2026-03-23T17:12:00Z,91.94,9.06
2026-03-23T17:13:00Z,94.29,5.13
2026-03-23T17:14:00Z,96.22,2.80
2026-03-23T17:15:00Z,98.64,2.00
2026-03-23T17:16:00Z,98.16,1.62
2026-03-23T17:17:00Z,97.09,2.55
2026-03-23T17:18:00Z,98.85,2.00
2026-03-23T17:19:00Z,99.00,1.00
2026-03-23T17:20:00Z,99.00,1.41
2026-03-23T17:21:00Z,99.00,1.00
2026-03-23T17:22:00Z,99.00,1.00
2026-03-23T17:23:00Z,98.05,1.36
2026-03-23T17:24:00Z,97.49,1.69
2026-03-23T17:25:00Z,97.04,2.29
2026-03-23T17:26:00Z,98.10,2.00
2026-03-23T17:27:00Z,98.73,1.93
2026-03-23T17:28:00Z,99.00,1.93
2026-03-23T17:29:00Z,99.00,1.93
2026-03-23T17:30:00Z,99.00,1.93
2026-03-23T17:31:00Z,99.00,1.93
2026-03-23T17:32:00Z,99.00,1.93
2026-03-23T17:33:00Z,99.00,1.93
