# event_ticker=KXATPMATCH-25JUL19PRIMOL
# final_score=6-4 6-2
# match_winner=Dino Prizmic
# fav_player=Dino Prizmic
# dog_player=Elmer Moller
# kalshi_date=2025-07-19
timestamp,Dino Prizmic,Elmer Moller
2025-07-22T19:09:00Z,58.00,44.00
2025-07-22T19:10:00Z,58.00,44.00
2025-07-22T19:11:00Z,58.00,44.00
2025-07-22T19:12:00Z,58.00,44.00
2025-07-22T19:13:00Z,59.00,44.00
2025-07-22T19:14:00Z,59.00,44.00
2025-07-22T19:15:00Z,56.00,45.93
2025-07-22T19:16:00Z,53.94,49.00
2025-07-22T19:17:00Z,55.00,45.00
2025-07-22T19:18:00Z,53.48,41.67
2025-07-22T19:19:00Z,58.61,41.67
2025-07-22T19:20:00Z,60.07,42.86
2025-07-22T19:21:00Z,59.03,41.48
2025-07-22T19:22:00Z,62.75,40.87
2025-07-22T19:23:00Z,66.76,38.00
2025-07-22T19:24:00Z,61.18,54.20
2025-07-22T19:25:00Z,62.00,46.46
2025-07-22T19:26:00Z,57.64,46.25
2025-07-22T19:27:00Z,53.31,44.05
2025-07-22T19:28:00Z,58.87,44.05
2025-07-22T19:29:00Z,54.32,50.40
2025-07-22T19:30:00Z,54.32,46.14
2025-07-22T19:31:00Z,62.00,46.14
2025-07-22T19:32:00Z,68.00,42.95
2025-07-22T19:33:00Z,70.00,37.00
2025-07-22T19:34:00Z,67.73,31.22
2025-07-22T19:35:00Z,67.73,48.76
2025-07-22T19:36:00Z,59.00,45.93
2025-07-22T19:37:00Z,61.00,45.93
2025-07-22T19:38:00Z,71.81,46.00
2025-07-22T19:39:00Z,63.11,45.24
2025-07-22T19:40:00Z,53.02,50.15
2025-07-22T19:41:00Z,48.24,55.76
2025-07-22T19:42:00Z,46.83,54.25
2025-07-22T19:43:00Z,47.00,55.94
2025-07-22T19:44:00Z,47.00,59.91
2025-07-22T19:45:00Z,48.65,57.00
2025-07-22T19:46:00Z,53.59,57.00
2025-07-22T19:47:00Z,53.59,53.27
2025-07-22T19:48:00Z,53.00,53.27
2025-07-22T19:50:00Z,54.23,53.27
2025-07-22T19:52:00Z,57.24,53.27
2025-07-22T19:53:00Z,60.39,42.00
2025-07-22T19:54:00Z,60.39,49.29
2025-07-22T19:56:00Z,53.00,45.00
2025-07-22T19:57:00Z,60.00,45.00
2025-07-22T19:58:00Z,60.83,47.72
2025-07-22T19:59:00Z,52.00,52.86
2025-07-22T20:01:00Z,51.00,55.58
2025-07-22T20:02:00Z,52.79,53.03
2025-07-22T20:03:00Z,52.79,52.00
2025-07-22T20:04:00Z,52.79,56.00
2025-07-22T20:05:00Z,52.00,64.60
2025-07-22T20:06:00Z,52.00,58.00
2025-07-22T20:07:00Z,43.51,42.00
2025-07-22T20:09:00Z,66.97,42.00
2025-07-22T20:10:00Z,66.97,42.00
2025-07-22T20:11:00Z,68.00,33.00
2025-07-22T20:12:00Z,68.00,37.76
2025-07-22T20:13:00Z,72.00,44.00
2025-07-22T20:14:00Z,75.00,19.87
2025-07-22T20:15:00Z,75.00,27.00
2025-07-22T20:16:00Z,75.00,21.00
2025-07-22T20:17:00Z,78.18,21.00
2025-07-22T20:18:00Z,75.75,24.60
2025-07-22T20:20:00Z,74.28,26.00
2025-07-22T20:21:00Z,74.28,25.76
2025-07-22T20:22:00Z,73.38,26.00
2025-07-22T20:23:00Z,73.38,28.00
2025-07-22T20:24:00Z,80.78,14.00
2025-07-22T20:25:00Z,84.36,15.83
2025-07-22T20:26:00Z,87.61,15.00
2025-07-22T20:27:00Z,88.08,17.44
2025-07-22T20:28:00Z,88.08,11.00
2025-07-22T20:29:00Z,87.00,17.50
2025-07-22T20:30:00Z,89.68,12.12
2025-07-22T20:31:00Z,87.76,13.21
2025-07-22T20:32:00Z,84.88,15.86
2025-07-22T20:33:00Z,87.74,13.94
2025-07-22T20:34:00Z,91.00,7.00
2025-07-22T20:35:00Z,90.41,7.00
2025-07-22T20:36:00Z,93.00,8.00
2025-07-22T20:37:00Z,93.00,10.10
2025-07-22T20:38:00Z,88.24,12.70
2025-07-22T20:39:00Z,88.24,15.09
2025-07-22T20:40:00Z,88.24,14.00
2025-07-22T20:41:00Z,84.24,15.00
2025-07-22T20:42:00Z,84.33,18.17
2025-07-22T20:43:00Z,87.57,17.76
2025-07-22T20:44:00Z,86.00,16.01
2025-07-22T20:45:00Z,91.88,11.11
2025-07-22T20:46:00Z,91.04,11.11
2025-07-22T20:47:00Z,88.00,11.11
2025-07-22T20:48:00Z,89.00,11.11
2025-07-22T20:49:00Z,93.00,6.03
2025-07-22T20:50:00Z,93.80,6.03
2025-07-22T20:51:00Z,96.68,7.00
2025-07-22T20:52:00Z,97.09,2.00
2025-07-22T20:53:00Z,97.50,2.00
2025-07-22T20:54:00Z,96.99,3.00
2025-07-22T20:55:00Z,99.00,2.16
2025-07-22T20:56:00Z,98.00,2.58
2025-07-22T20:57:00Z,95.93,4.00
2025-07-22T20:58:00Z,96.00,4.00
2025-07-22T20:59:00Z,96.88,6.86
2025-07-22T21:00:00Z,96.88,3.27
2025-07-22T21:01:00Z,98.11,2.41
2025-07-22T21:02:00Z,98.91,2.99
2025-07-22T21:03:00Z,99.00,2.00
2025-07-22T21:04:00Z,97.72,1.00
2025-07-22T21:05:00Z,99.00,1.00
2025-07-22T21:06:00Z,99.00,2.00
2025-07-22T21:07:00Z,99.00,2.00
2025-07-22T21:08:00Z,99.00,2.00
2025-07-22T21:10:00Z,99.00,2.00
