# event_ticker=KXATPCHALLENGERMATCH-26MAR17PELMAR
# final_score=6-4 6-4
# match_winner=Andrea Pellegrino
# fav_player=Andrea Pellegrino
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-03-17
timestamp,Andrea Pellegrino,Pol Martin Tiffon
2026-03-17T17:19:00Z,61.95,41.00
2026-03-17T17:20:00Z,61.03,38.60
2026-03-17T17:21:00Z,62.00,39.00
2026-03-17T17:22:00Z,66.10,36.00
2026-03-17T17:24:00Z,64.09,39.63
2026-03-17T17:25:00Z,58.00,40.77
2026-03-17T17:26:00Z,58.00,47.22
2026-03-17T17:27:00Z,52.02,45.54
2026-03-17T17:28:00Z,47.00,45.54
2026-03-17T17:29:00Z,52.66,52.50
2026-03-17T17:30:00Z,58.81,40.00
2026-03-17T17:31:00Z,58.81,41.00
2026-03-17T17:32:00Z,55.05,43.08
2026-03-17T17:33:00Z,53.00,43.08
2026-03-17T17:34:00Z,53.00,43.08
2026-03-17T17:35:00Z,61.33,46.00
2026-03-17T17:36:00Z,57.00,46.00
2026-03-17T17:37:00Z,61.00,40.65
2026-03-17T17:38:00Z,66.99,32.70
2026-03-17T17:39:00Z,73.83,21.36
2026-03-17T17:40:00Z,76.47,22.00
2026-03-17T17:41:00Z,78.43,22.00
2026-03-17T17:42:00Z,81.98,18.89
2026-03-17T17:43:00Z,79.00,21.52
2026-03-17T17:44:00Z,77.90,23.07
2026-03-17T17:45:00Z,82.12,17.15
2026-03-17T17:46:00Z,82.76,18.00
2026-03-17T17:47:00Z,84.00,17.86
2026-03-17T17:48:00Z,83.69,18.34
2026-03-17T17:49:00Z,83.24,19.46
2026-03-17T17:50:00Z,83.14,17.17
2026-03-17T17:51:00Z,87.60,13.39
2026-03-17T17:52:00Z,86.20,17.11
2026-03-17T17:53:00Z,84.02,15.07
2026-03-17T17:54:00Z,85.15,17.94
2026-03-17T17:55:00Z,88.07,17.35
2026-03-17T17:56:00Z,81.50,17.35
2026-03-17T17:57:00Z,81.09,18.00
2026-03-17T17:58:00Z,84.98,15.48
2026-03-17T17:59:00Z,84.88,16.27
2026-03-17T18:00:00Z,83.60,18.34
2026-03-17T18:01:00Z,82.00,19.87
2026-03-17T18:02:00Z,86.35,16.48
2026-03-17T18:03:00Z,88.82,15.29
2026-03-17T18:04:00Z,84.68,16.25
2026-03-17T18:05:00Z,85.98,17.88
2026-03-17T18:06:00Z,86.98,17.45
2026-03-17T18:07:00Z,83.00,18.79
2026-03-17T18:08:00Z,83.00,18.98
2026-03-17T18:09:00Z,84.39,15.04
2026-03-17T18:10:00Z,84.26,16.90
2026-03-17T18:11:00Z,85.88,12.10
2026-03-17T18:12:00Z,88.41,12.10
2026-03-17T18:13:00Z,91.89,9.41
2026-03-17T18:14:00Z,93.02,6.49
2026-03-17T18:15:00Z,91.87,8.20
2026-03-17T18:16:00Z,92.86,10.63
2026-03-17T18:17:00Z,91.32,10.81
2026-03-17T18:18:00Z,90.32,12.92
2026-03-17T18:19:00Z,83.89,17.00
2026-03-17T18:20:00Z,80.97,20.01
2026-03-17T18:21:00Z,81.70,17.53
2026-03-17T18:22:00Z,81.00,20.21
2026-03-17T18:23:00Z,80.74,19.15
2026-03-17T18:24:00Z,84.17,14.27
2026-03-17T18:25:00Z,86.33,14.18
2026-03-17T18:26:00Z,92.61,13.76
2026-03-17T18:27:00Z,93.63,5.83
2026-03-17T18:28:00Z,89.11,13.27
2026-03-17T18:29:00Z,88.14,9.79
2026-03-17T18:30:00Z,94.20,6.29
2026-03-17T18:31:00Z,97.82,2.77
2026-03-17T18:32:00Z,97.27,4.28
2026-03-17T18:33:00Z,90.21,9.64
2026-03-17T18:34:00Z,89.55,9.03
2026-03-17T18:35:00Z,98.32,2.17
2026-03-17T18:36:00Z,99.00,1.00
2026-03-17T18:37:00Z,99.00,1.00
2026-03-17T18:38:00Z,99.00,1.00
2026-03-17T18:39:00Z,99.00,1.00
2026-03-17T18:40:00Z,99.00,1.00
2026-03-17T18:42:00Z,99.00,1.00
