# event_ticker=KXATPMATCH-25JUL30MCDLEH
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Jiri Lehecka
# fav_player=Jiri Lehecka
# dog_player=Mackenzie McDonald
# kalshi_date=2025-07-30
timestamp,Jiri Lehecka,Mackenzie McDonald
2025-07-30T22:43:00Z,89.00,11.00
2025-07-30T22:44:00Z,89.00,15.26
2025-07-30T22:45:00Z,89.00,18.29
2025-07-30T22:46:00Z,86.64,17.00
2025-07-30T22:47:00Z,97.99,17.00
2025-07-30T22:48:00Z,97.99,8.00
2025-07-30T22:49:00Z,91.00,14.05
2025-07-30T22:52:00Z,91.00,22.63
2025-07-30T22:53:00Z,82.14,22.18
2025-07-30T22:54:00Z,88.81,22.18
2025-07-30T22:55:00Z,88.81,10.49
2025-07-30T22:56:00Z,88.81,16.61
2025-07-30T22:57:00Z,87.00,19.62
2025-07-30T22:58:00Z,90.00,11.00
2025-07-30T22:59:00Z,98.99,1.00
2025-07-30T23:00:00Z,99.00,1.00
2025-07-30T23:02:00Z,99.00,1.00
2025-07-30T23:03:00Z,99.00,1.00
2025-07-30T23:04:00Z,99.00,1.00
2025-07-30T23:07:00Z,99.00,1.00
2025-07-30T23:12:00Z,99.00,1.00
2025-07-30T23:15:00Z,99.00,1.00
2025-07-30T23:51:00Z,99.00,1.00
2025-07-30T23:52:00Z,99.00,1.00
