# event_ticker=KXATPCHALLENGERMATCH-26MAR02PRADEN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Guy Den Ouden
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-02
timestamp,Guy Den Ouden,Juan Carlos Prado Angelo
2026-03-02T18:01:00Z,75.21,24.26
2026-03-02T18:02:00Z,76.77,26.28
2026-03-02T18:03:00Z,75.62,26.28
2026-03-02T18:04:00Z,77.25,22.91
2026-03-02T18:05:00Z,81.19,17.16
2026-03-02T18:06:00Z,83.69,15.99
2026-03-02T18:07:00Z,84.85,17.75
2026-03-02T18:08:00Z,84.50,17.75
2026-03-02T18:09:00Z,84.68,16.88
2026-03-02T18:10:00Z,85.88,15.50
2026-03-02T18:11:00Z,83.00,18.00
2026-03-02T18:12:00Z,83.25,18.00
2026-03-02T18:13:00Z,83.79,18.20
2026-03-02T18:14:00Z,78.25,21.97
2026-03-02T18:15:00Z,70.88,30.94
2026-03-02T18:16:00Z,69.70,29.00
2026-03-02T18:17:00Z,70.00,31.27
2026-03-02T18:18:00Z,63.92,35.90
2026-03-02T18:19:00Z,67.06,33.36
2026-03-02T18:20:00Z,59.49,39.56
2026-03-02T18:21:00Z,57.47,37.02
2026-03-02T18:22:00Z,58.98,41.97
2026-03-02T18:23:00Z,46.79,49.58
2026-03-02T18:24:00Z,45.38,54.22
2026-03-02T18:25:00Z,41.20,55.09
2026-03-02T18:26:00Z,45.10,50.86
2026-03-02T18:27:00Z,42.52,60.68
2026-03-02T18:28:00Z,36.08,60.94
2026-03-02T18:29:00Z,42.56,57.91
2026-03-02T18:30:00Z,40.10,57.31
2026-03-02T18:31:00Z,41.01,57.31
2026-03-02T18:32:00Z,42.29,57.86
2026-03-02T18:33:00Z,41.93,57.23
2026-03-02T18:34:00Z,43.14,55.00
2026-03-02T18:35:00Z,49.51,52.76
2026-03-02T18:36:00Z,50.69,48.78
2026-03-02T18:37:00Z,38.28,60.00
2026-03-02T18:38:00Z,35.00,65.62
2026-03-02T18:39:00Z,35.00,65.22
2026-03-02T18:40:00Z,34.57,66.00
2026-03-02T18:41:00Z,35.00,65.00
2026-03-02T18:42:00Z,39.67,63.01
2026-03-02T18:43:00Z,38.59,61.98
2026-03-02T18:44:00Z,41.00,60.11
2026-03-02T18:45:00Z,41.98,56.07
2026-03-02T18:46:00Z,39.82,61.41
2026-03-02T18:47:00Z,37.75,62.07
2026-03-02T18:48:00Z,36.47,66.93
2026-03-02T18:49:00Z,29.10,70.74
2026-03-02T18:50:00Z,25.39,76.33
2026-03-02T18:51:00Z,20.33,79.13
2026-03-02T18:52:00Z,20.00,80.00
2026-03-02T18:53:00Z,16.23,84.35
2026-03-02T18:54:00Z,20.20,78.27
2026-03-02T18:55:00Z,14.48,81.84
2026-03-02T18:56:00Z,15.63,85.31
2026-03-02T18:57:00Z,19.85,80.81
2026-03-02T18:58:00Z,20.00,80.99
2026-03-02T18:59:00Z,17.74,84.22
2026-03-02T19:00:00Z,24.52,76.04
2026-03-02T19:01:00Z,18.05,80.40
2026-03-02T19:02:00Z,24.17,77.49
2026-03-02T19:03:00Z,37.90,62.51
2026-03-02T19:04:00Z,44.66,55.42
2026-03-02T19:05:00Z,46.27,53.02
2026-03-02T19:06:00Z,42.29,57.71
2026-03-02T19:07:00Z,33.19,66.74
2026-03-02T19:08:00Z,19.00,77.94
2026-03-02T19:09:00Z,16.44,84.00
2026-03-02T19:10:00Z,11.04,87.79
2026-03-02T19:11:00Z,7.50,90.64
2026-03-02T19:12:00Z,13.64,87.21
2026-03-02T19:13:00Z,14.32,88.82
2026-03-02T19:14:00Z,7.12,93.66
2026-03-02T19:15:00Z,10.06,91.54
2026-03-02T19:16:00Z,8.97,92.00
2026-03-02T19:17:00Z,8.81,91.46
2026-03-02T19:18:00Z,2.41,98.14
2026-03-02T19:19:00Z,1.00,99.00
2026-03-02T19:20:00Z,1.00,99.00
2026-03-02T19:21:00Z,1.00,99.00
