# event_ticker=KXATPMATCH-25OCT14RUUMPE
# final_score=7-6(4) 6-7(5) 6-4
# score_resolution=6-7 7-6 4-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Emil Ruusuvuori
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2025-10-14
timestamp,Emil Ruusuvuori,Giovanni Mpetshi Perricard
2025-10-14T13:44:00Z,26.67,74.57
2025-10-14T13:45:00Z,46.33,55.39
2025-10-14T13:46:00Z,50.18,51.26
2025-10-14T13:47:00Z,50.78,50.00
2025-10-14T13:48:00Z,50.41,49.51
2025-10-14T13:49:00Z,50.41,49.86
2025-10-14T13:50:00Z,51.00,53.48
2025-10-14T13:51:00Z,53.13,46.18
2025-10-14T13:52:00Z,52.52,46.62
2025-10-14T13:53:00Z,49.82,47.00
2025-10-14T13:54:00Z,50.88,51.81
2025-10-14T13:55:00Z,51.03,53.73
2025-10-14T13:56:00Z,47.04,56.41
2025-10-14T13:57:00Z,32.86,66.39
2025-10-14T13:58:00Z,15.22,80.34
2025-10-14T13:59:00Z,12.52,86.00
2025-10-14T14:00:00Z,12.90,87.96
2025-10-14T14:01:00Z,19.39,82.63
2025-10-14T14:02:00Z,13.74,88.48
2025-10-14T14:03:00Z,10.49,89.29
2025-10-14T14:04:00Z,10.70,89.97
2025-10-14T14:05:00Z,11.47,89.24
2025-10-14T14:06:00Z,11.72,90.00
2025-10-14T14:07:00Z,11.09,90.37
2025-10-14T14:08:00Z,6.56,94.10
2025-10-14T14:09:00Z,5.55,96.84
2025-10-14T14:10:00Z,3.90,96.82
2025-10-14T14:11:00Z,7.10,94.10
2025-10-14T14:12:00Z,7.81,93.67
2025-10-14T14:13:00Z,6.91,94.00
2025-10-14T14:14:00Z,5.37,98.30
2025-10-14T14:15:00Z,3.28,96.53
2025-10-14T14:16:00Z,4.84,95.56
2025-10-14T14:17:00Z,4.71,96.42
2025-10-14T14:18:00Z,5.18,96.00
2025-10-14T14:19:00Z,2.13,96.25
2025-10-14T14:20:00Z,1.00,99.00
2025-10-14T14:21:00Z,1.00,99.00
