# event_ticker=KXATPCHALLENGERMATCH-26FEB10MAECAL
# final_score=4-6 6-2 6-4
# match_winner=Francesco Maestrelli
# fav_player=Francesco Maestrelli
# dog_player=Sergio Callejon Hernando
# kalshi_date=2026-02-10
timestamp,Francesco Maestrelli,Sergio Callejon Hernando
2026-02-10T12:42:00Z,70.00,30.00
2026-02-10T12:43:00Z,72.00,30.00
2026-02-10T12:45:00Z,75.00,27.00
2026-02-10T12:46:00Z,73.00,28.56
2026-02-10T12:47:00Z,69.75,32.00
2026-02-10T12:49:00Z,71.00,31.74
2026-02-10T12:50:00Z,69.72,32.99
2026-02-10T12:51:00Z,70.00,33.00
2026-02-10T12:52:00Z,71.00,32.73
2026-02-10T12:53:00Z,68.65,29.59
2026-02-10T12:55:00Z,73.00,29.00
2026-02-10T12:56:00Z,73.00,26.00
2026-02-10T12:57:00Z,68.67,27.77
2026-02-10T12:58:00Z,70.77,28.33
2026-02-10T12:59:00Z,71.00,32.49
2026-02-10T13:00:00Z,68.00,33.00
2026-02-10T13:01:00Z,64.90,35.00
2026-02-10T13:02:00Z,56.30,42.57
2026-02-10T13:03:00Z,61.60,42.52
2026-02-10T13:04:00Z,50.53,42.52
2026-02-10T13:05:00Z,54.45,39.64
2026-02-10T13:06:00Z,58.54,38.18
2026-02-10T13:07:00Z,43.96,57.46
2026-02-10T13:08:00Z,42.00,58.47
2026-02-10T13:09:00Z,42.00,57.00
2026-02-10T13:10:00Z,42.98,59.00
2026-02-10T13:11:00Z,49.84,55.32
2026-02-10T13:12:00Z,47.18,56.27
2026-02-10T13:13:00Z,48.97,55.09
2026-02-10T13:14:00Z,46.07,53.16
2026-02-10T13:15:00Z,49.73,53.80
2026-02-10T13:16:00Z,47.75,56.97
2026-02-10T13:17:00Z,47.60,51.00
2026-02-10T13:18:00Z,50.25,50.43
2026-02-10T13:19:00Z,53.99,46.92
2026-02-10T13:20:00Z,58.88,42.83
2026-02-10T13:21:00Z,59.74,42.83
2026-02-10T13:22:00Z,59.07,41.60
2026-02-10T13:23:00Z,59.00,41.60
2026-02-10T13:24:00Z,62.00,38.21
2026-02-10T13:25:00Z,63.55,37.00
2026-02-10T13:26:00Z,61.76,39.66
2026-02-10T13:27:00Z,59.59,42.47
2026-02-10T13:28:00Z,58.00,43.77
2026-02-10T13:29:00Z,56.99,44.51
2026-02-10T13:30:00Z,54.09,47.83
2026-02-10T13:31:00Z,51.40,48.62
2026-02-10T13:32:00Z,57.50,45.90
2026-02-10T13:33:00Z,60.13,42.80
2026-02-10T13:34:00Z,62.83,34.71
2026-02-10T13:35:00Z,68.15,33.02
2026-02-10T13:36:00Z,63.27,34.84
2026-02-10T13:37:00Z,61.10,40.93
2026-02-10T13:38:00Z,61.65,39.65
2026-02-10T13:39:00Z,60.00,41.65
2026-02-10T13:40:00Z,58.26,43.45
2026-02-10T13:41:00Z,59.87,42.26
2026-02-10T13:42:00Z,61.26,40.55
2026-02-10T13:43:00Z,60.36,39.66
2026-02-10T13:44:00Z,61.31,40.60
2026-02-10T13:45:00Z,62.12,38.23
2026-02-10T13:46:00Z,66.46,32.19
2026-02-10T13:47:00Z,64.61,37.16
2026-02-10T13:48:00Z,66.45,34.91
2026-02-10T13:49:00Z,76.19,27.18
2026-02-10T13:50:00Z,79.91,22.93
2026-02-10T13:51:00Z,82.08,21.00
2026-02-10T13:52:00Z,82.64,19.23
2026-02-10T13:53:00Z,82.84,20.24
2026-02-10T13:54:00Z,75.08,24.90
2026-02-10T13:55:00Z,75.10,25.10
2026-02-10T13:56:00Z,75.78,27.06
2026-02-10T13:57:00Z,76.29,25.02
2026-02-10T13:58:00Z,67.82,37.18
2026-02-10T13:59:00Z,61.95,38.37
2026-02-10T14:00:00Z,66.14,34.68
2026-02-10T14:01:00Z,53.19,48.51
2026-02-10T14:02:00Z,55.49,47.77
2026-02-10T14:03:00Z,55.80,44.74
2026-02-10T14:04:00Z,63.06,38.75
2026-02-10T14:05:00Z,64.83,38.28
2026-02-10T14:06:00Z,61.06,44.45
2026-02-10T14:07:00Z,56.35,39.38
2026-02-10T14:08:00Z,62.03,34.07
2026-02-10T14:09:00Z,66.04,38.71
2026-02-10T14:10:00Z,69.09,32.45
2026-02-10T14:11:00Z,67.09,37.04
2026-02-10T14:12:00Z,66.81,35.80
2026-02-10T14:13:00Z,69.61,38.25
2026-02-10T14:14:00Z,64.61,36.87
2026-02-10T14:15:00Z,62.73,39.00
2026-02-10T14:16:00Z,63.40,37.27
2026-02-10T14:17:00Z,65.42,37.19
2026-02-10T14:18:00Z,69.33,33.74
2026-02-10T14:19:00Z,69.43,29.81
2026-02-10T14:20:00Z,69.62,32.88
2026-02-10T14:21:00Z,68.12,33.24
2026-02-10T14:22:00Z,67.10,37.16
2026-02-10T14:23:00Z,61.57,40.50
2026-02-10T14:24:00Z,63.10,41.82
2026-02-10T14:25:00Z,60.84,39.40
2026-02-10T14:26:00Z,61.38,42.29
2026-02-10T14:27:00Z,64.98,36.38
2026-02-10T14:28:00Z,66.97,36.57
2026-02-10T14:29:00Z,65.04,38.26
2026-02-10T14:30:00Z,68.28,36.20
2026-02-10T14:31:00Z,69.06,32.33
2026-02-10T14:32:00Z,86.53,13.30
2026-02-10T14:33:00Z,91.73,9.44
2026-02-10T14:34:00Z,92.82,7.51
2026-02-10T14:35:00Z,94.13,5.69
2026-02-10T14:36:00Z,91.18,8.85
2026-02-10T14:37:00Z,94.17,6.60
2026-02-10T14:38:00Z,96.25,3.44
2026-02-10T14:39:00Z,96.02,4.65
2026-02-10T14:40:00Z,95.58,5.00
2026-02-10T14:41:00Z,95.79,5.98
2026-02-10T14:42:00Z,94.32,5.75
2026-02-10T14:43:00Z,97.53,1.87
2026-02-10T14:44:00Z,98.93,1.00
2026-02-10T14:45:00Z,99.00,1.00
2026-02-10T14:46:00Z,99.00,1.00
2026-02-10T14:47:00Z,99.00,1.00
2026-02-10T14:48:00Z,99.00,1.00
2026-02-10T14:49:00Z,99.00,1.00
2026-02-10T14:50:00Z,99.00,1.00
2026-02-10T14:51:00Z,99.00,1.00
2026-02-10T14:52:00Z,99.00,1.00
