# event_ticker=KXATPMATCH-26APR15BORETC
# final_score=6-3 7-6(4)
# score_resolution=6-3 7-6
# match_winner=Nuno Borges
# fav_player=Nuno Borges
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-04-15
timestamp,Nuno Borges,Tomas Martin Etcheverry
2026-04-15T10:20:00Z,57.14,45.04
2026-04-15T10:21:00Z,65.02,34.88
2026-04-15T10:22:00Z,79.30,22.98
2026-04-15T10:23:00Z,79.72,21.76
2026-04-15T10:24:00Z,82.99,16.83
2026-04-15T10:25:00Z,85.91,14.32
2026-04-15T10:26:00Z,85.42,14.06
2026-04-15T10:27:00Z,87.78,15.03
2026-04-15T10:28:00Z,84.90,16.28
2026-04-15T10:29:00Z,83.98,17.50
2026-04-15T10:30:00Z,83.61,18.00
2026-04-15T10:31:00Z,83.06,15.23
2026-04-15T10:32:00Z,88.08,13.86
2026-04-15T10:33:00Z,89.88,10.31
2026-04-15T10:34:00Z,87.88,11.49
2026-04-15T10:35:00Z,87.36,13.26
2026-04-15T10:36:00Z,88.15,13.02
2026-04-15T10:37:00Z,87.99,12.94
2026-04-15T10:38:00Z,88.17,12.19
2026-04-15T10:39:00Z,88.33,10.32
2026-04-15T10:40:00Z,91.78,7.98
2026-04-15T10:41:00Z,87.45,13.91
2026-04-15T10:42:00Z,85.79,16.27
2026-04-15T10:43:00Z,81.92,23.58
2026-04-15T10:44:00Z,79.27,23.82
2026-04-15T10:45:00Z,85.84,13.18
2026-04-15T10:46:00Z,82.65,25.84
2026-04-15T10:47:00Z,64.47,33.25
2026-04-15T10:48:00Z,54.68,46.57
2026-04-15T10:49:00Z,53.50,48.33
2026-04-15T10:50:00Z,51.47,48.83
2026-04-15T10:51:00Z,49.12,49.95
2026-04-15T10:52:00Z,47.06,53.13
2026-04-15T10:53:00Z,51.23,48.17
2026-04-15T10:54:00Z,58.27,41.06
2026-04-15T10:55:00Z,57.23,45.78
2026-04-15T10:56:00Z,49.59,47.17
2026-04-15T10:57:00Z,66.34,46.27
2026-04-15T10:58:00Z,52.55,49.77
2026-04-15T10:59:00Z,44.56,54.77
2026-04-15T11:00:00Z,43.48,56.96
2026-04-15T11:01:00Z,46.99,54.49
2026-04-15T11:02:00Z,42.59,59.71
2026-04-15T11:03:00Z,51.43,48.50
2026-04-15T11:04:00Z,55.51,45.59
2026-04-15T11:05:00Z,47.96,55.40
2026-04-15T11:06:00Z,45.90,54.80
2026-04-15T11:07:00Z,46.38,55.01
2026-04-15T11:08:00Z,55.58,47.23
2026-04-15T11:09:00Z,66.85,37.94
2026-04-15T11:10:00Z,78.46,19.21
2026-04-15T11:11:00Z,92.14,9.39
2026-04-15T11:12:00Z,94.16,3.97
2026-04-15T11:13:00Z,99.00,3.97
2026-04-15T11:14:00Z,99.00,3.97
2026-04-15T11:15:00Z,99.00,1.00
2026-04-15T11:16:00Z,99.00,1.00
2026-04-15T11:17:00Z,99.00,1.00
2026-04-15T11:18:00Z,99.00,1.00
2026-04-15T11:19:00Z,99.00,1.00
2026-04-15T11:20:00Z,99.00,1.00
2026-04-15T11:21:00Z,99.00,1.00
2026-04-15T11:22:00Z,99.00,1.00
