# event_ticker=KXATPMATCH-25OCT13BLADUC
# final_score=6-3 6-4
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Ugo Blanchet
# kalshi_date=2025-10-13
timestamp,James Duckworth,Ugo Blanchet
2025-10-13T08:56:00Z,45.00,57.00
2025-10-13T09:00:00Z,45.00,56.38
2025-10-13T09:02:00Z,44.00,56.38
2025-10-13T09:05:00Z,44.00,56.00
2025-10-13T09:06:00Z,44.00,56.00
2025-10-13T09:08:00Z,44.00,56.00
2025-10-13T09:09:00Z,44.00,56.00
2025-10-13T09:10:00Z,50.00,56.00
2025-10-13T09:11:00Z,50.69,51.00
2025-10-13T09:12:00Z,52.00,51.00
2025-10-13T09:13:00Z,51.00,53.06
2025-10-13T09:14:00Z,50.00,53.06
2025-10-13T09:15:00Z,49.00,53.06
2025-10-13T09:16:00Z,49.00,50.00
2025-10-13T09:17:00Z,51.00,50.00
2025-10-13T09:18:00Z,53.80,48.00
2025-10-13T09:19:00Z,62.23,36.75
2025-10-13T09:20:00Z,64.00,36.75
2025-10-13T09:21:00Z,64.65,38.02
2025-10-13T09:22:00Z,64.65,28.00
2025-10-13T09:23:00Z,64.65,27.00
2025-10-13T09:24:00Z,64.65,27.00
2025-10-13T09:25:00Z,64.65,27.00
2025-10-13T09:26:00Z,64.65,24.35
2025-10-13T09:27:00Z,64.65,26.00
2025-10-13T09:28:00Z,68.65,26.00
2025-10-13T09:29:00Z,69.00,33.00
2025-10-13T09:33:00Z,74.00,33.00
2025-10-13T09:34:00Z,74.00,27.00
2025-10-13T09:35:00Z,73.11,26.00
2025-10-13T09:36:00Z,72.00,27.00
2025-10-13T09:37:00Z,65.00,36.92
2025-10-13T09:38:00Z,66.59,31.05
2025-10-13T09:39:00Z,72.00,28.00
2025-10-13T09:40:00Z,69.00,27.00
2025-10-13T09:41:00Z,75.00,27.00
2025-10-13T09:42:00Z,75.00,26.00
2025-10-13T09:43:00Z,74.89,28.00
2025-10-13T09:44:00Z,73.00,30.00
2025-10-13T09:45:00Z,71.00,30.00
2025-10-13T09:46:00Z,73.00,28.58
2025-10-13T09:47:00Z,74.17,26.00
2025-10-13T09:48:00Z,74.00,28.00
2025-10-13T09:49:00Z,74.00,28.39
2025-10-13T09:50:00Z,73.00,28.39
2025-10-13T09:52:00Z,73.00,29.00
2025-10-13T09:53:00Z,73.00,28.72
2025-10-13T09:54:00Z,73.45,29.93
2025-10-13T09:55:00Z,75.00,24.12
2025-10-13T09:56:00Z,80.15,22.04
2025-10-13T09:57:00Z,85.41,17.43
2025-10-13T09:58:00Z,81.70,23.92
2025-10-13T09:59:00Z,76.50,22.99
2025-10-13T10:00:00Z,89.19,14.32
2025-10-13T10:01:00Z,93.07,6.95
2025-10-13T10:02:00Z,93.00,7.55
2025-10-13T10:03:00Z,91.70,10.90
2025-10-13T10:04:00Z,92.00,11.02
2025-10-13T10:05:00Z,92.00,8.00
2025-10-13T10:06:00Z,91.29,8.18
2025-10-13T10:07:00Z,95.00,5.03
2025-10-13T10:08:00Z,95.00,6.00
2025-10-13T10:09:00Z,95.00,6.97
2025-10-13T10:10:00Z,95.00,7.00
2025-10-13T10:11:00Z,92.12,7.00
2025-10-13T10:12:00Z,89.93,8.31
2025-10-13T10:13:00Z,89.93,10.42
2025-10-13T10:14:00Z,93.54,4.20
2025-10-13T10:15:00Z,95.00,3.65
2025-10-13T10:16:00Z,97.14,3.00
2025-10-13T10:17:00Z,98.00,2.88
2025-10-13T10:18:00Z,98.00,4.55
2025-10-13T10:19:00Z,96.45,5.00
2025-10-13T10:20:00Z,95.02,5.28
2025-10-13T10:21:00Z,97.00,2.20
2025-10-13T10:22:00Z,98.11,2.20
2025-10-13T10:23:00Z,99.00,1.03
2025-10-13T10:24:00Z,99.00,1.03
2025-10-13T10:25:00Z,99.00,1.03
