# event_ticker=KXATPMATCH-26MAR08DAVMEN
# final_score=6-2 4-6 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Jakub Mensik
# kalshi_date=2026-03-08
timestamp,Alejandro Davidovich Fokina,Jakub Mensik
2026-03-08T15:28:00Z,43.00,59.00
2026-03-08T15:33:00Z,43.00,59.00
2026-03-08T15:36:00Z,43.00,59.00
2026-03-08T15:39:00Z,43.00,59.00
2026-03-08T15:43:00Z,41.29,59.00
2026-03-08T15:44:00Z,42.00,59.00
2026-03-08T15:45:00Z,41.20,59.00
2026-03-08T15:53:00Z,41.20,59.00
2026-03-08T15:55:00Z,42.00,59.00
2026-03-08T15:57:00Z,42.00,59.00
2026-03-08T15:59:00Z,42.00,59.00
2026-03-08T16:02:00Z,42.00,59.00
2026-03-08T16:03:00Z,42.00,59.00
2026-03-08T16:05:00Z,43.00,59.00
2026-03-08T16:06:00Z,43.00,59.00
2026-03-08T16:07:00Z,42.00,59.00
2026-03-08T16:08:00Z,43.00,59.00
2026-03-08T16:09:00Z,43.00,59.00
2026-03-08T16:10:00Z,43.00,59.00
2026-03-08T16:12:00Z,43.00,59.00
2026-03-08T16:13:00Z,43.00,59.00
2026-03-08T16:14:00Z,43.00,58.00
2026-03-08T16:18:00Z,43.00,59.00
2026-03-08T16:19:00Z,43.00,59.00
2026-03-08T16:20:00Z,43.00,59.00
2026-03-08T16:21:00Z,43.00,59.00
2026-03-08T16:25:00Z,43.00,59.00
2026-03-08T16:26:00Z,43.00,59.00
2026-03-08T16:30:00Z,43.00,59.00
2026-03-08T16:31:00Z,43.00,59.00
2026-03-08T16:32:00Z,43.00,59.00
2026-03-08T16:36:00Z,43.00,59.00
2026-03-08T16:37:00Z,43.00,59.00
2026-03-08T16:38:00Z,43.00,59.00
2026-03-08T16:41:00Z,43.00,59.00
2026-03-08T16:42:00Z,44.00,59.00
2026-03-08T16:43:00Z,44.00,59.00
2026-03-08T16:44:00Z,44.00,59.00
2026-03-08T16:45:00Z,44.00,59.00
2026-03-08T16:46:00Z,44.00,59.00
2026-03-08T16:48:00Z,44.00,59.00
2026-03-08T16:50:00Z,44.00,59.00
2026-03-08T16:51:00Z,44.00,59.00
2026-03-08T16:53:00Z,44.00,59.00
2026-03-08T16:58:00Z,44.00,59.00
2026-03-08T17:09:00Z,44.00,59.00
2026-03-08T17:10:00Z,44.00,59.00
2026-03-08T17:12:00Z,44.00,59.00
2026-03-08T17:15:00Z,44.00,59.00
2026-03-08T17:16:00Z,44.00,58.00
2026-03-08T17:18:00Z,44.00,59.00
2026-03-08T17:20:00Z,44.00,59.00
2026-03-08T17:23:00Z,43.00,59.00
2026-03-08T17:24:00Z,42.16,59.00
2026-03-08T17:25:00Z,42.02,59.00
2026-03-08T17:28:00Z,42.02,59.00
2026-03-08T17:31:00Z,42.02,59.00
2026-03-08T17:32:00Z,42.02,59.00
2026-03-08T17:36:00Z,43.00,59.00
2026-03-08T17:38:00Z,43.00,59.00
2026-03-08T17:39:00Z,43.00,59.00
2026-03-08T17:41:00Z,43.00,59.00
2026-03-08T17:42:00Z,43.00,58.00
2026-03-08T17:44:00Z,43.00,59.00
2026-03-08T17:45:00Z,43.00,59.00
2026-03-08T17:47:00Z,43.00,59.00
2026-03-08T17:48:00Z,43.00,59.00
2026-03-08T17:49:00Z,43.00,59.00
2026-03-08T17:50:00Z,43.00,59.00
2026-03-08T17:51:00Z,43.00,59.00
2026-03-08T17:53:00Z,43.00,59.00
2026-03-08T17:54:00Z,43.00,59.00
2026-03-08T17:55:00Z,43.00,59.00
2026-03-08T17:57:00Z,43.00,59.00
2026-03-08T17:58:00Z,43.00,59.00
2026-03-08T17:59:00Z,43.00,59.00
2026-03-08T18:00:00Z,43.00,59.00
2026-03-08T18:03:00Z,43.00,58.00
2026-03-08T18:04:00Z,43.00,58.00
2026-03-08T18:06:00Z,43.00,59.00
2026-03-08T18:07:00Z,41.57,59.00
2026-03-08T18:09:00Z,43.00,59.00
2026-03-08T18:11:00Z,43.00,59.00
2026-03-08T18:12:00Z,43.00,59.00
2026-03-08T18:14:00Z,43.00,59.00
2026-03-08T18:17:00Z,43.00,59.00
2026-03-08T18:19:00Z,43.00,59.00
2026-03-08T18:21:00Z,43.00,59.00
2026-03-08T18:22:00Z,43.00,59.00
2026-03-08T18:23:00Z,43.00,59.00
2026-03-08T18:24:00Z,43.00,59.00
2026-03-08T18:27:00Z,43.00,59.00
2026-03-08T18:30:00Z,43.00,59.00
2026-03-08T18:34:00Z,43.00,59.00
2026-03-08T18:35:00Z,43.00,59.00
2026-03-08T18:36:00Z,43.00,59.00
2026-03-08T18:37:00Z,43.00,59.00
2026-03-08T18:39:00Z,43.00,59.00
2026-03-08T18:41:00Z,43.00,59.00
2026-03-08T18:43:00Z,43.00,59.00
2026-03-08T18:44:00Z,43.00,59.00
2026-03-08T18:45:00Z,43.00,59.00
2026-03-08T18:46:00Z,43.00,59.00
2026-03-08T18:47:00Z,43.00,59.00
2026-03-08T18:48:00Z,43.00,59.00
2026-03-08T18:49:00Z,43.00,59.00
2026-03-08T18:52:00Z,43.00,59.00
2026-03-08T18:53:00Z,43.00,59.00
