# event_ticker=KXATPCHALLENGERMATCH-26APR30COPROY
# final_score=6-4 7-6(8)
# score_resolution=6-4 7-6
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Valentin Royer
# kalshi_date=2026-04-30
timestamp,Kimmer Coppejans,Valentin Royer
2026-04-30T11:28:00Z,20.29,81.78
2026-04-30T11:29:00Z,14.77,85.00
2026-04-30T11:30:00Z,19.11,79.00
2026-04-30T11:31:00Z,25.87,73.03
2026-04-30T11:32:00Z,29.38,72.00
2026-04-30T11:33:00Z,29.38,72.01
2026-04-30T11:34:00Z,41.17,61.52
2026-04-30T11:35:00Z,44.23,59.42
2026-04-30T11:36:00Z,50.91,51.00
2026-04-30T11:37:00Z,52.43,46.55
2026-04-30T11:38:00Z,54.14,50.99
2026-04-30T11:39:00Z,51.74,48.99
2026-04-30T11:40:00Z,55.19,44.81
2026-04-30T11:41:00Z,55.97,44.51
2026-04-30T11:42:00Z,55.35,45.28
2026-04-30T11:43:00Z,54.98,46.28
2026-04-30T11:44:00Z,54.98,47.37
2026-04-30T11:45:00Z,54.00,48.02
2026-04-30T11:46:00Z,52.62,49.22
2026-04-30T11:47:00Z,51.00,50.95
2026-04-30T11:48:00Z,51.21,51.21
2026-04-30T11:49:00Z,52.52,51.00
2026-04-30T11:50:00Z,54.25,47.85
2026-04-30T11:51:00Z,55.00,46.97
2026-04-30T11:52:00Z,56.20,46.00
2026-04-30T11:53:00Z,57.59,42.75
2026-04-30T11:54:00Z,53.00,47.19
2026-04-30T11:55:00Z,51.14,50.00
2026-04-30T11:56:00Z,51.11,50.00
2026-04-30T11:57:00Z,48.59,53.75
2026-04-30T11:58:00Z,49.27,52.95
2026-04-30T11:59:00Z,53.25,49.41
2026-04-30T12:00:00Z,59.01,42.34
2026-04-30T12:01:00Z,54.99,46.00
2026-04-30T12:02:00Z,55.00,47.18
2026-04-30T12:03:00Z,51.38,49.00
2026-04-30T12:04:00Z,53.86,48.75
2026-04-30T12:05:00Z,54.91,47.82
2026-04-30T12:06:00Z,54.25,46.01
2026-04-30T12:07:00Z,54.39,44.80
2026-04-30T12:08:00Z,56.62,45.32
2026-04-30T12:09:00Z,53.56,48.01
2026-04-30T12:10:00Z,52.95,47.93
2026-04-30T12:11:00Z,56.83,44.97
2026-04-30T12:12:00Z,59.17,44.92
2026-04-30T12:13:00Z,52.88,47.73
2026-04-30T12:14:00Z,53.00,47.38
2026-04-30T12:15:00Z,56.41,46.81
2026-04-30T12:16:00Z,58.40,44.94
2026-04-30T12:17:00Z,60.36,41.56
2026-04-30T12:18:00Z,64.19,37.90
2026-04-30T12:19:00Z,61.10,40.32
2026-04-30T12:20:00Z,54.00,46.32
2026-04-30T12:21:00Z,54.00,47.00
2026-04-30T12:22:00Z,52.99,49.62
2026-04-30T12:23:00Z,54.04,45.37
2026-04-30T12:24:00Z,60.20,40.95
2026-04-30T12:25:00Z,67.30,26.97
2026-04-30T12:26:00Z,60.51,42.11
2026-04-30T12:27:00Z,61.01,37.25
2026-04-30T12:28:00Z,54.74,43.37
2026-04-30T12:29:00Z,52.25,48.43
2026-04-30T12:30:00Z,52.48,50.31
2026-04-30T12:31:00Z,45.26,59.62
2026-04-30T12:32:00Z,41.66,59.13
2026-04-30T12:33:00Z,42.08,65.44
2026-04-30T12:34:00Z,37.92,64.15
2026-04-30T12:35:00Z,44.87,61.82
2026-04-30T12:36:00Z,50.68,59.20
2026-04-30T12:37:00Z,41.61,60.52
2026-04-30T12:38:00Z,47.02,53.83
2026-04-30T12:39:00Z,51.21,52.23
2026-04-30T12:40:00Z,52.76,52.24
2026-04-30T12:41:00Z,57.94,43.34
2026-04-30T12:42:00Z,67.57,35.49
2026-04-30T12:43:00Z,75.34,24.57
2026-04-30T12:44:00Z,72.88,29.43
2026-04-30T12:45:00Z,77.64,21.38
2026-04-30T12:46:00Z,66.25,33.50
2026-04-30T12:47:00Z,67.85,32.82
2026-04-30T12:48:00Z,68.44,40.39
2026-04-30T12:49:00Z,75.02,28.17
2026-04-30T12:50:00Z,71.70,30.17
2026-04-30T12:51:00Z,61.57,38.55
2026-04-30T12:52:00Z,55.80,47.04
2026-04-30T12:53:00Z,72.96,30.54
2026-04-30T12:54:00Z,74.64,26.76
2026-04-30T12:55:00Z,62.91,38.90
2026-04-30T12:56:00Z,90.98,10.36
2026-04-30T12:57:00Z,99.00,1.00
2026-04-30T12:58:00Z,99.00,1.00
2026-04-30T12:59:00Z,99.00,1.00
2026-04-30T13:00:00Z,99.00,1.00
2026-04-30T13:01:00Z,99.00,1.00
2026-04-30T13:02:00Z,99.00,1.00
2026-04-30T13:03:00Z,99.00,1.00
