# event_ticker=KXATPCHALLENGERMATCH-26APR07CADGAS
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Hugo Gaston
# fav_player=Gianluca Cadenasso
# dog_player=Hugo Gaston
# kalshi_date=2026-04-07
timestamp,Gianluca Cadenasso,Hugo Gaston
2026-04-07T12:45:00Z,48.79,53.06
2026-04-07T12:46:00Z,48.00,52.99
2026-04-07T12:47:00Z,49.44,54.70
2026-04-07T12:48:00Z,44.92,55.45
2026-04-07T12:49:00Z,42.56,58.77
2026-04-07T12:50:00Z,39.00,62.54
2026-04-07T12:51:00Z,33.62,67.62
2026-04-07T12:52:00Z,39.45,64.41
2026-04-07T12:53:00Z,41.82,59.50
2026-04-07T12:54:00Z,45.08,53.97
2026-04-07T12:55:00Z,47.00,54.00
2026-04-07T12:56:00Z,47.00,54.23
2026-04-07T12:57:00Z,48.00,51.88
2026-04-07T12:58:00Z,48.00,59.57
2026-04-07T12:59:00Z,45.31,56.82
2026-04-07T13:00:00Z,45.11,57.19
2026-04-07T13:01:00Z,41.07,59.79
2026-04-07T13:02:00Z,37.58,64.04
2026-04-07T13:03:00Z,25.13,70.38
2026-04-07T13:04:00Z,26.84,73.92
2026-04-07T13:05:00Z,21.22,77.62
2026-04-07T13:06:00Z,22.77,77.44
2026-04-07T13:07:00Z,21.51,78.78
2026-04-07T13:08:00Z,23.76,77.96
2026-04-07T13:09:00Z,21.93,79.97
2026-04-07T13:10:00Z,18.23,81.13
2026-04-07T13:11:00Z,19.64,84.35
2026-04-07T13:12:00Z,18.40,79.59
2026-04-07T13:13:00Z,21.02,78.24
2026-04-07T13:14:00Z,15.40,80.09
2026-04-07T13:15:00Z,17.86,89.89
2026-04-07T13:16:00Z,13.14,85.64
2026-04-07T13:17:00Z,15.69,83.30
2026-04-07T13:18:00Z,14.29,85.61
2026-04-07T13:19:00Z,13.67,87.01
2026-04-07T13:20:00Z,10.04,90.51
2026-04-07T13:21:00Z,4.01,93.63
2026-04-07T13:22:00Z,4.02,94.99
2026-04-07T13:23:00Z,5.74,94.91
2026-04-07T13:24:00Z,7.00,94.05
2026-04-07T13:25:00Z,8.86,92.78
2026-04-07T13:26:00Z,9.23,92.00
2026-04-07T13:27:00Z,9.09,92.57
2026-04-07T13:28:00Z,7.21,96.08
2026-04-07T13:29:00Z,9.55,91.49
2026-04-07T13:30:00Z,11.02,87.87
2026-04-07T13:31:00Z,14.58,87.92
2026-04-07T13:32:00Z,15.08,88.16
2026-04-07T13:33:00Z,8.72,91.05
2026-04-07T13:34:00Z,5.74,93.93
2026-04-07T13:35:00Z,6.31,94.17
2026-04-07T13:36:00Z,8.85,92.45
2026-04-07T13:37:00Z,5.26,93.63
2026-04-07T13:38:00Z,2.48,96.60
2026-04-07T13:39:00Z,2.00,98.97
2026-04-07T13:40:00Z,1.99,98.02
2026-04-07T13:41:00Z,2.05,98.56
2026-04-07T13:42:00Z,4.66,96.42
2026-04-07T13:43:00Z,4.56,95.61
2026-04-07T13:44:00Z,8.16,92.27
2026-04-07T13:45:00Z,7.93,93.04
2026-04-07T13:46:00Z,9.53,90.02
2026-04-07T13:47:00Z,19.38,80.80
2026-04-07T13:48:00Z,21.90,77.44
2026-04-07T13:49:00Z,16.54,86.67
2026-04-07T13:50:00Z,15.56,84.53
2026-04-07T13:51:00Z,13.76,88.47
2026-04-07T13:52:00Z,7.40,92.72
2026-04-07T13:53:00Z,7.25,94.39
2026-04-07T13:54:00Z,10.58,92.98
2026-04-07T13:55:00Z,3.82,96.85
2026-04-07T13:56:00Z,1.04,99.00
2026-04-07T13:57:00Z,1.04,99.00
2026-04-07T13:58:00Z,1.04,99.00
2026-04-07T13:59:00Z,1.04,99.00
2026-04-07T14:00:00Z,1.00,99.00
2026-04-07T14:01:00Z,1.00,99.00
2026-04-07T14:02:00Z,1.00,99.00
2026-04-07T14:03:00Z,1.00,99.00
