# event_ticker=KXATPMATCH-25JUL23COBNIS
# final_score=6-2 7-6(3)
# score_resolution=6-2 7-6
# match_winner=Flavio Cobolli
# fav_player=Flavio Cobolli
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-07-23
timestamp,Flavio Cobolli,Yoshihito Nishioka
2025-07-24T00:05:00Z,77.00,22.00
2025-07-24T00:06:00Z,76.00,25.09
2025-07-24T00:07:00Z,73.97,25.73
2025-07-24T00:08:00Z,72.96,27.86
2025-07-24T00:09:00Z,76.39,25.92
2025-07-24T00:10:00Z,77.59,23.90
2025-07-24T00:11:00Z,74.04,26.55
2025-07-24T00:12:00Z,75.86,27.34
2025-07-24T00:13:00Z,83.77,21.23
2025-07-24T00:14:00Z,84.87,17.00
2025-07-24T00:15:00Z,84.95,18.00
2025-07-24T00:16:00Z,86.85,16.00
2025-07-24T00:18:00Z,87.78,12.57
2025-07-24T00:19:00Z,89.24,13.75
2025-07-24T00:20:00Z,87.95,12.62
2025-07-24T00:21:00Z,86.87,12.62
2025-07-24T00:22:00Z,86.87,18.47
2025-07-24T00:23:00Z,83.29,19.80
2025-07-24T00:24:00Z,86.94,15.92
2025-07-24T00:25:00Z,89.96,12.00
2025-07-24T00:26:00Z,87.96,15.66
2025-07-24T00:27:00Z,85.00,16.98
2025-07-24T00:28:00Z,85.47,20.17
2025-07-24T00:29:00Z,85.00,19.00
2025-07-24T00:30:00Z,86.00,14.32
2025-07-24T00:31:00Z,87.00,15.00
2025-07-24T00:32:00Z,86.53,15.00
2025-07-24T00:33:00Z,92.86,11.33
2025-07-24T00:34:00Z,94.52,6.85
2025-07-24T00:35:00Z,91.02,9.18
2025-07-24T00:36:00Z,86.53,17.00
2025-07-24T00:37:00Z,82.83,17.83
2025-07-24T00:38:00Z,85.84,17.00
2025-07-24T00:39:00Z,85.84,16.96
2025-07-24T00:40:00Z,85.84,13.54
2025-07-24T00:41:00Z,89.33,10.47
2025-07-24T00:42:00Z,92.00,11.13
2025-07-24T00:43:00Z,95.19,5.61
2025-07-24T00:44:00Z,97.70,3.61
2025-07-24T00:45:00Z,98.14,3.85
2025-07-24T00:46:00Z,99.00,1.00
