# event_ticker=KXATPCHALLENGERMATCH-26MAY28BONFEL
# final_score=6-7(3) 6-2 6-1
# score_resolution=7-6 2-6 1-6
# match_winner=Kilian Feldbausch
# fav_player=Federico Bondioli
# dog_player=Kilian Feldbausch
# kalshi_date=2026-05-28
timestamp,Federico Bondioli,Kilian Feldbausch
2026-05-28T12:53:00Z,66.00,36.00
2026-05-28T12:54:00Z,66.67,36.00
2026-05-28T12:55:00Z,66.67,35.00
2026-05-28T12:56:00Z,65.13,38.12
2026-05-28T12:57:00Z,57.96,44.77
2026-05-28T12:58:00Z,59.39,43.92
2026-05-28T12:59:00Z,58.00,43.92
2026-05-28T13:00:00Z,59.33,40.38
2026-05-28T13:01:00Z,55.00,45.00
2026-05-28T13:02:00Z,56.00,45.00
2026-05-28T13:03:00Z,53.17,47.73
2026-05-28T13:04:00Z,51.72,48.73
2026-05-28T13:05:00Z,51.00,49.00
2026-05-28T13:06:00Z,55.85,46.00
2026-05-28T13:07:00Z,56.00,45.77
2026-05-28T13:08:00Z,55.00,46.00
2026-05-28T13:10:00Z,51.84,49.00
2026-05-28T13:11:00Z,51.84,49.73
2026-05-28T13:12:00Z,51.54,49.73
2026-05-28T13:13:00Z,52.82,49.73
2026-05-28T13:14:00Z,52.00,49.22
2026-05-28T13:15:00Z,48.51,51.84
2026-05-28T13:16:00Z,49.01,51.80
2026-05-28T13:18:00Z,49.01,49.75
2026-05-28T13:19:00Z,51.00,50.89
2026-05-28T13:20:00Z,51.00,52.00
2026-05-28T13:21:00Z,51.00,53.00
2026-05-28T13:22:00Z,45.51,54.00
2026-05-28T13:23:00Z,43.16,56.76
2026-05-28T13:24:00Z,40.18,59.45
2026-05-28T13:25:00Z,39.39,60.00
2026-05-28T13:26:00Z,40.07,59.51
2026-05-28T13:27:00Z,40.56,60.73
2026-05-28T13:28:00Z,37.32,62.00
2026-05-28T13:29:00Z,38.00,62.55
2026-05-28T13:30:00Z,38.00,63.12
2026-05-28T13:31:00Z,35.06,65.00
2026-05-28T13:32:00Z,38.00,65.00
2026-05-28T13:33:00Z,37.60,62.52
2026-05-28T13:34:00Z,33.41,71.18
2026-05-28T13:35:00Z,33.94,69.34
2026-05-28T13:36:00Z,32.86,77.65
2026-05-28T13:37:00Z,35.00,65.88
2026-05-28T13:38:00Z,38.00,63.50
2026-05-28T13:39:00Z,36.00,64.92
2026-05-28T13:40:00Z,29.42,75.99
2026-05-28T13:41:00Z,16.11,81.12
2026-05-28T13:42:00Z,15.11,84.93
2026-05-28T13:43:00Z,12.93,86.00
2026-05-28T13:44:00Z,13.32,86.70
2026-05-28T13:45:00Z,17.74,75.43
2026-05-28T13:46:00Z,35.00,64.71
2026-05-28T13:47:00Z,35.74,68.88
2026-05-28T13:48:00Z,23.75,76.83
2026-05-28T13:49:00Z,16.75,83.00
2026-05-28T13:50:00Z,16.37,85.00
2026-05-28T13:51:00Z,12.54,86.31
2026-05-28T13:52:00Z,11.03,89.01
2026-05-28T13:53:00Z,11.00,89.01
2026-05-28T13:54:00Z,7.66,93.41
2026-05-28T13:55:00Z,5.93,95.95
2026-05-28T13:56:00Z,4.00,95.62
2026-05-28T13:57:00Z,2.72,95.59
2026-05-28T13:58:00Z,4.99,97.73
2026-05-28T13:59:00Z,1.60,99.00
2026-05-28T14:00:00Z,1.60,98.00
2026-05-28T14:01:00Z,1.26,98.60
2026-05-28T14:02:00Z,1.26,99.00
