# event_ticker=KXATPMATCH-25AUG15RUBALC
# final_score=6-3 4-6 7-5
# score_resolution=3-6 6-4 5-7
# match_winner=Carlos Alcaraz
# fav_player=Andrey Rublev
# dog_player=Carlos Alcaraz
# kalshi_date=2025-08-15
timestamp,Andrey Rublev,Carlos Alcaraz
2025-08-15T18:07:00Z,19.00,82.00
2025-08-15T18:08:00Z,19.00,80.30
2025-08-15T18:10:00Z,19.00,81.00
2025-08-15T18:16:00Z,19.00,81.00
2025-08-15T18:18:00Z,20.00,81.00
2025-08-15T18:20:00Z,20.00,81.00
2025-08-15T18:21:00Z,20.00,81.00
2025-08-15T18:22:00Z,20.00,81.00
2025-08-15T18:23:00Z,19.94,81.00
2025-08-15T18:24:00Z,20.00,81.00
2025-08-15T18:25:00Z,20.00,81.00
2025-08-15T18:26:00Z,20.00,81.00
2025-08-15T18:27:00Z,18.02,82.33
2025-08-15T18:28:00Z,18.88,82.33
2025-08-15T18:29:00Z,18.00,82.12
2025-08-15T18:30:00Z,18.98,83.00
2025-08-15T18:31:00Z,19.00,82.89
2025-08-15T18:32:00Z,18.10,82.94
2025-08-15T18:33:00Z,19.00,81.86
2025-08-15T18:34:00Z,19.00,81.00
2025-08-15T18:35:00Z,18.88,81.00
2025-08-15T18:36:00Z,19.00,82.92
2025-08-15T18:37:00Z,19.00,82.89
2025-08-15T18:38:00Z,19.02,82.00
2025-08-15T18:39:00Z,19.02,82.00
2025-08-15T18:41:00Z,19.98,82.00
2025-08-15T18:42:00Z,19.98,81.06
2025-08-15T18:43:00Z,19.01,82.23
2025-08-15T18:44:00Z,19.40,82.00
2025-08-15T18:45:00Z,19.95,82.00
2025-08-15T18:46:00Z,20.00,82.00
2025-08-15T18:47:00Z,20.00,82.00
2025-08-15T18:48:00Z,20.00,83.00
2025-08-15T18:50:00Z,19.00,81.00
2025-08-15T18:51:00Z,20.00,81.03
2025-08-15T18:52:00Z,20.00,81.86
2025-08-15T18:53:00Z,20.00,81.83
2025-08-15T18:54:00Z,20.00,81.23
2025-08-15T18:55:00Z,20.00,82.00
2025-08-15T18:57:00Z,20.00,82.00
2025-08-15T18:58:00Z,20.00,82.00
2025-08-15T18:59:00Z,20.00,82.00
2025-08-15T19:00:00Z,20.00,82.00
2025-08-15T19:01:00Z,20.00,82.00
2025-08-15T19:02:00Z,20.00,82.00
2025-08-15T19:03:00Z,19.00,84.28
2025-08-15T19:04:00Z,19.00,84.28
2025-08-15T19:05:00Z,19.00,83.10
2025-08-15T19:06:00Z,19.00,83.00
2025-08-15T19:08:00Z,19.00,81.99
2025-08-15T19:09:00Z,19.69,81.99
2025-08-15T19:10:00Z,19.00,82.00
2025-08-15T19:11:00Z,19.00,82.00
2025-08-15T19:12:00Z,19.93,82.00
2025-08-15T19:13:00Z,19.03,82.00
2025-08-15T19:14:00Z,19.00,82.00
2025-08-15T19:15:00Z,20.23,82.46
2025-08-15T19:16:00Z,20.00,83.27
2025-08-15T19:17:00Z,20.00,81.58
2025-08-15T19:18:00Z,18.70,83.28
2025-08-15T19:19:00Z,19.18,82.61
2025-08-15T19:20:00Z,20.19,80.76
2025-08-15T19:21:00Z,20.00,82.66
2025-08-15T19:22:00Z,19.26,83.00
2025-08-15T19:23:00Z,19.00,83.40
2025-08-15T19:24:00Z,20.67,83.40
2025-08-15T19:25:00Z,18.24,87.11
2025-08-15T19:26:00Z,15.75,89.32
2025-08-15T19:27:00Z,11.01,91.91
2025-08-15T19:28:00Z,11.98,91.99
2025-08-15T19:29:00Z,10.51,92.87
2025-08-15T19:30:00Z,8.00,92.74
2025-08-15T19:31:00Z,11.00,92.49
2025-08-15T19:32:00Z,11.62,92.49
2025-08-15T19:33:00Z,11.99,90.48
2025-08-15T19:34:00Z,12.00,92.68
2025-08-15T19:35:00Z,10.11,94.95
2025-08-15T19:36:00Z,11.20,94.95
2025-08-15T19:37:00Z,12.00,90.19
2025-08-15T19:38:00Z,13.19,89.60
2025-08-15T19:39:00Z,12.00,92.83
