# event_ticker=KXATPCHALLENGERMATCH-26MAY26BLACAN
# final_score=6-2 7-6(5)
# score_resolution=2-6 6-7
# match_winner=Dali Blanch
# fav_player=Carlo Alberto Caniato
# dog_player=Dali Blanch
# kalshi_date=2026-05-26
timestamp,Dali Blanch,Carlo Alberto Caniato
2026-05-26T09:14:00Z,82.99,17.95
2026-05-26T09:15:00Z,85.80,16.09
2026-05-26T09:16:00Z,86.62,15.38
2026-05-26T09:17:00Z,86.33,15.23
2026-05-26T09:18:00Z,80.29,18.60
2026-05-26T09:19:00Z,80.08,21.32
2026-05-26T09:20:00Z,77.67,22.16
2026-05-26T09:21:00Z,78.59,20.27
2026-05-26T09:22:00Z,78.78,19.48
2026-05-26T09:23:00Z,78.23,22.25
2026-05-26T09:24:00Z,77.89,21.84
2026-05-26T09:25:00Z,77.64,22.57
2026-05-26T09:26:00Z,71.82,27.54
2026-05-26T09:27:00Z,70.12,26.48
2026-05-26T09:28:00Z,70.58,27.28
2026-05-26T09:29:00Z,74.13,30.34
2026-05-26T09:30:00Z,71.34,21.81
2026-05-26T09:31:00Z,75.84,23.99
2026-05-26T09:32:00Z,78.22,21.62
2026-05-26T09:33:00Z,78.56,21.54
2026-05-26T09:34:00Z,77.35,22.93
2026-05-26T09:35:00Z,75.36,24.40
2026-05-26T09:36:00Z,75.28,24.97
2026-05-26T09:37:00Z,78.94,24.22
2026-05-26T09:38:00Z,78.99,20.06
2026-05-26T09:39:00Z,79.00,20.72
2026-05-26T09:40:00Z,79.19,21.68
2026-05-26T09:41:00Z,75.72,24.65
2026-05-26T09:42:00Z,74.22,26.34
2026-05-26T09:43:00Z,69.82,28.71
2026-05-26T09:44:00Z,73.18,26.71
2026-05-26T09:45:00Z,77.80,21.14
2026-05-26T09:46:00Z,79.37,21.48
2026-05-26T09:47:00Z,84.86,12.98
2026-05-26T09:48:00Z,94.44,4.58
2026-05-26T09:49:00Z,97.10,2.56
2026-05-26T09:50:00Z,97.77,1.50
2026-05-26T09:51:00Z,91.67,6.78
2026-05-26T09:52:00Z,98.01,7.21
2026-05-26T09:53:00Z,99.00,7.21
2026-05-26T09:54:00Z,99.00,1.00
2026-05-26T09:55:00Z,99.00,1.00
2026-05-26T09:57:00Z,99.00,1.00
