# event_ticker=KXATPCHALLENGERMATCH-26FEB27GRACIN
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Federico Cina
# fav_player=Alastair Gray
# dog_player=Federico Cina
# kalshi_date=2026-02-27
timestamp,Alastair Gray,Federico Cina
2026-02-27T06:37:00Z,30.00,72.00
2026-02-27T06:38:00Z,31.00,72.00
2026-02-27T06:39:00Z,30.00,72.00
2026-02-27T06:42:00Z,28.00,72.00
2026-02-27T06:44:00Z,31.00,72.00
2026-02-27T06:46:00Z,31.00,72.00
2026-02-27T06:48:00Z,31.00,71.00
2026-02-27T06:49:00Z,31.00,71.00
2026-02-27T06:50:00Z,31.00,71.45
2026-02-27T06:51:00Z,31.00,72.00
2026-02-27T06:52:00Z,31.00,72.00
2026-02-27T06:53:00Z,31.00,72.00
2026-02-27T06:54:00Z,31.00,72.00
2026-02-27T06:55:00Z,28.32,72.00
2026-02-27T06:56:00Z,31.00,72.00
2026-02-27T06:57:00Z,31.00,72.00
2026-02-27T06:58:00Z,31.00,72.00
2026-02-27T06:59:00Z,31.00,72.00
2026-02-27T07:00:00Z,31.00,72.00
2026-02-27T07:01:00Z,31.00,72.00
2026-02-27T07:02:00Z,31.00,72.00
2026-02-27T07:03:00Z,31.00,69.79
2026-02-27T07:04:00Z,31.00,72.00
2026-02-27T07:05:00Z,31.00,72.15
2026-02-27T07:06:00Z,31.00,72.01
2026-02-27T07:07:00Z,31.00,72.01
2026-02-27T07:08:00Z,31.00,73.00
2026-02-27T07:09:00Z,31.00,73.00
2026-02-27T07:10:00Z,31.00,73.00
2026-02-27T07:11:00Z,30.95,73.00
2026-02-27T07:12:00Z,30.95,71.51
2026-02-27T07:13:00Z,30.00,71.00
2026-02-27T07:14:00Z,30.00,71.00
2026-02-27T07:15:00Z,28.46,71.00
2026-02-27T07:16:00Z,30.65,71.00
2026-02-27T07:17:00Z,31.00,71.00
2026-02-27T07:18:00Z,30.89,71.00
2026-02-27T07:20:00Z,31.00,71.00
2026-02-27T07:21:00Z,31.00,71.00
2026-02-27T07:22:00Z,31.00,71.00
2026-02-27T07:23:00Z,31.00,71.00
2026-02-27T07:24:00Z,31.00,71.00
2026-02-27T07:25:00Z,31.00,71.00
2026-02-27T07:26:00Z,31.00,71.00
2026-02-27T07:27:00Z,31.66,71.00
2026-02-27T07:28:00Z,31.72,70.07
2026-02-27T07:29:00Z,31.72,70.38
2026-02-27T07:30:00Z,31.72,71.87
2026-02-27T07:31:00Z,31.72,72.00
2026-02-27T07:32:00Z,32.00,71.00
2026-02-27T07:33:00Z,32.00,71.00
2026-02-27T07:34:00Z,31.00,71.00
2026-02-27T07:35:00Z,31.03,70.00
2026-02-27T07:37:00Z,32.00,70.35
2026-02-27T07:38:00Z,32.00,70.35
2026-02-27T07:39:00Z,31.06,71.00
2026-02-27T07:40:00Z,32.00,71.00
2026-02-27T07:44:00Z,32.00,71.00
2026-02-27T07:45:00Z,31.39,71.00
2026-02-27T07:46:00Z,31.00,71.00
2026-02-27T07:50:00Z,31.00,71.00
2026-02-27T07:53:00Z,29.00,71.00
2026-02-27T07:54:00Z,29.00,71.00
2026-02-27T07:55:00Z,30.51,71.00
2026-02-27T07:56:00Z,31.00,71.00
2026-02-27T07:57:00Z,31.00,71.00
2026-02-27T07:58:00Z,29.50,71.00
2026-02-27T07:59:00Z,31.00,69.00
2026-02-27T08:00:00Z,29.41,69.00
2026-02-27T08:01:00Z,31.00,69.00
2026-02-27T08:02:00Z,31.91,69.00
2026-02-27T08:03:00Z,31.92,69.00
2026-02-27T08:04:00Z,32.00,70.10
2026-02-27T08:05:00Z,31.81,70.70
2026-02-27T08:06:00Z,31.81,71.00
2026-02-27T08:07:00Z,30.00,71.00
2026-02-27T08:08:00Z,30.79,69.02
2026-02-27T08:09:00Z,31.00,69.02
2026-02-27T08:11:00Z,31.00,71.00
2026-02-27T08:12:00Z,31.00,71.00
2026-02-27T08:13:00Z,31.00,71.00
2026-02-27T08:14:00Z,31.00,71.00
2026-02-27T08:15:00Z,30.58,71.00
2026-02-27T08:16:00Z,31.00,71.00
2026-02-27T08:17:00Z,28.00,71.00
2026-02-27T08:19:00Z,31.00,71.16
2026-02-27T08:20:00Z,31.00,71.16
2026-02-27T08:21:00Z,31.00,71.17
2026-02-27T08:22:00Z,31.00,71.17
2026-02-27T08:23:00Z,31.00,71.00
2026-02-27T08:24:00Z,31.00,72.00
2026-02-27T08:25:00Z,31.00,69.00
2026-02-27T08:26:00Z,29.00,72.00
2026-02-27T08:27:00Z,29.08,72.00
2026-02-27T08:30:00Z,30.00,72.00
2026-02-27T08:31:00Z,30.00,72.00
2026-02-27T08:32:00Z,29.00,73.50
2026-02-27T08:33:00Z,29.00,73.50
2026-02-27T08:34:00Z,29.00,74.01
2026-02-27T08:38:00Z,29.00,74.00
2026-02-27T08:39:00Z,28.00,74.00
2026-02-27T08:40:00Z,27.91,74.00
2026-02-27T08:42:00Z,28.00,75.00
2026-02-27T08:43:00Z,28.00,75.03
2026-02-27T08:44:00Z,28.00,75.00
2026-02-27T08:45:00Z,28.00,75.00
2026-02-27T08:46:00Z,28.25,75.00
2026-02-27T08:47:00Z,27.77,76.25
2026-02-27T08:48:00Z,23.65,78.29
2026-02-27T08:49:00Z,19.28,81.46
2026-02-27T08:50:00Z,18.45,80.61
2026-02-27T08:51:00Z,17.01,83.86
2026-02-27T08:52:00Z,18.46,84.20
2026-02-27T08:53:00Z,18.67,82.73
2026-02-27T08:54:00Z,24.09,82.67
2026-02-27T08:55:00Z,16.00,86.00
2026-02-27T08:56:00Z,16.12,85.00
2026-02-27T08:57:00Z,15.73,85.00
2026-02-27T08:58:00Z,17.62,84.91
2026-02-27T08:59:00Z,16.67,84.91
2026-02-27T09:00:00Z,17.00,85.00
2026-02-27T09:01:00Z,15.00,85.93
2026-02-27T09:02:00Z,17.15,84.04
2026-02-27T09:03:00Z,15.33,85.22
2026-02-27T09:04:00Z,18.07,82.99
2026-02-27T09:05:00Z,18.55,83.00
2026-02-27T09:06:00Z,18.79,82.20
2026-02-27T09:07:00Z,19.44,84.12
2026-02-27T09:08:00Z,19.03,83.08
2026-02-27T09:09:00Z,15.73,84.45
2026-02-27T09:10:00Z,12.54,86.95
2026-02-27T09:11:00Z,12.90,86.58
2026-02-27T09:12:00Z,16.91,86.58
2026-02-27T09:13:00Z,17.04,84.00
2026-02-27T09:14:00Z,16.31,84.42
2026-02-27T09:15:00Z,15.00,86.00
2026-02-27T09:16:00Z,13.42,85.17
2026-02-27T09:17:00Z,13.22,87.58
2026-02-27T09:18:00Z,14.52,86.00
2026-02-27T09:19:00Z,16.60,85.00
2026-02-27T09:20:00Z,16.29,85.00
2026-02-27T09:21:00Z,15.26,85.73
2026-02-27T09:22:00Z,12.53,88.00
2026-02-27T09:23:00Z,12.97,86.95
2026-02-27T09:24:00Z,12.97,87.20
2026-02-27T09:25:00Z,12.12,88.87
2026-02-27T09:26:00Z,11.20,88.83
2026-02-27T09:27:00Z,9.85,90.51
2026-02-27T09:28:00Z,5.69,95.18
2026-02-27T09:29:00Z,5.30,95.59
2026-02-27T09:30:00Z,4.38,95.14
2026-02-27T09:31:00Z,4.57,95.95
2026-02-27T09:32:00Z,2.81,97.22
2026-02-27T09:33:00Z,2.80,96.00
2026-02-27T09:34:00Z,2.79,97.97
2026-02-27T09:35:00Z,3.36,98.94
2026-02-27T09:36:00Z,3.15,98.94
2026-02-27T09:37:00Z,4.11,95.58
2026-02-27T09:38:00Z,4.43,94.67
2026-02-27T09:39:00Z,4.50,95.56
2026-02-27T09:40:00Z,3.81,97.42
2026-02-27T09:41:00Z,4.73,97.31
2026-02-27T09:42:00Z,4.75,96.21
2026-02-27T09:43:00Z,5.65,95.94
2026-02-27T09:44:00Z,4.97,95.18
2026-02-27T09:45:00Z,3.50,96.50
2026-02-27T09:46:00Z,1.77,98.00
2026-02-27T09:47:00Z,1.78,99.00
2026-02-27T09:48:00Z,1.00,98.82
2026-02-27T09:49:00Z,1.30,99.00
2026-02-27T09:50:00Z,1.00,99.00
2026-02-27T09:51:00Z,1.00,99.00
2026-02-27T09:52:00Z,1.00,99.00
2026-02-27T09:53:00Z,1.00,99.00
2026-02-27T09:54:00Z,1.00,99.00
