# event_ticker=KXATPMATCH-26FEB16FUCHAB
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Marton Fucsovics
# fav_player=Hady Habib
# dog_player=Marton Fucsovics
# kalshi_date=2026-02-16
timestamp,Hady Habib,Marton Fucsovics
2026-02-17T08:46:00Z,16.00,84.00
2026-02-17T08:49:00Z,16.00,84.00
2026-02-17T08:50:00Z,16.00,84.00
2026-02-17T08:56:00Z,16.00,84.00
2026-02-17T09:03:00Z,16.00,84.00
2026-02-17T09:06:00Z,16.00,84.00
2026-02-17T09:12:00Z,16.00,85.00
2026-02-17T09:13:00Z,16.00,85.00
2026-02-17T09:14:00Z,16.00,84.00
2026-02-17T09:17:00Z,15.00,84.00
2026-02-17T09:20:00Z,15.00,84.00
2026-02-17T09:22:00Z,16.00,84.00
2026-02-17T09:23:00Z,16.00,84.00
2026-02-17T09:48:00Z,16.00,85.00
2026-02-17T09:53:00Z,16.00,85.00
2026-02-17T09:55:00Z,16.00,84.00
2026-02-17T10:17:00Z,16.00,84.42
2026-02-17T10:18:00Z,17.14,84.42
2026-02-17T10:24:00Z,16.00,84.42
2026-02-17T10:25:00Z,16.00,85.00
2026-02-17T10:28:00Z,16.00,85.00
2026-02-17T10:30:00Z,16.00,85.00
2026-02-17T10:33:00Z,16.00,85.00
2026-02-17T10:36:00Z,16.00,85.57
2026-02-17T10:37:00Z,16.00,85.89
2026-02-17T10:38:00Z,17.99,85.69
2026-02-17T10:39:00Z,16.00,86.00
2026-02-17T10:40:00Z,12.21,88.00
2026-02-17T10:41:00Z,11.99,88.08
2026-02-17T10:42:00Z,9.00,93.00
2026-02-17T10:44:00Z,9.00,93.00
2026-02-17T10:45:00Z,13.19,86.31
2026-02-17T10:46:00Z,16.45,84.03
2026-02-17T10:47:00Z,16.11,83.89
2026-02-17T10:48:00Z,20.91,81.00
2026-02-17T10:49:00Z,21.00,81.00
2026-02-17T10:50:00Z,22.63,81.00
2026-02-17T10:51:00Z,20.00,80.04
2026-02-17T10:52:00Z,23.09,77.69
2026-02-17T10:53:00Z,20.00,81.00
2026-02-17T10:54:00Z,19.60,81.56
2026-02-17T10:55:00Z,23.08,81.00
2026-02-17T10:56:00Z,24.99,77.00
2026-02-17T10:57:00Z,24.99,77.00
2026-02-17T10:58:00Z,25.00,77.00
2026-02-17T10:59:00Z,23.29,77.00
2026-02-17T11:00:00Z,23.29,81.92
2026-02-17T11:01:00Z,16.50,83.00
2026-02-17T11:02:00Z,14.14,85.60
2026-02-17T11:03:00Z,19.94,82.77
2026-02-17T11:04:00Z,10.00,89.00
2026-02-17T11:05:00Z,10.00,91.00
2026-02-17T11:06:00Z,9.94,91.00
2026-02-17T11:07:00Z,14.41,88.00
2026-02-17T11:08:00Z,14.41,83.00
2026-02-17T11:09:00Z,15.45,83.00
2026-02-17T11:10:00Z,10.88,89.00
2026-02-17T11:11:00Z,9.19,92.00
2026-02-17T11:12:00Z,9.67,92.00
2026-02-17T11:13:00Z,7.03,92.00
2026-02-17T11:14:00Z,5.33,94.00
2026-02-17T11:15:00Z,6.00,94.00
2026-02-17T11:16:00Z,7.06,94.00
2026-02-17T11:17:00Z,10.00,91.06
2026-02-17T11:18:00Z,8.86,92.20
2026-02-17T11:19:00Z,4.11,94.00
2026-02-17T11:20:00Z,6.64,95.81
2026-02-17T11:21:00Z,6.00,94.74
2026-02-17T11:23:00Z,3.08,97.00
2026-02-17T11:24:00Z,1.99,97.53
2026-02-17T11:25:00Z,3.66,98.45
2026-02-17T11:26:00Z,4.21,99.00
2026-02-17T11:27:00Z,4.21,99.00
2026-02-17T11:28:00Z,1.35,98.69
2026-02-17T11:29:00Z,1.81,99.00
2026-02-17T11:30:00Z,1.94,99.00
2026-02-17T11:32:00Z,2.35,99.00
2026-02-17T11:33:00Z,3.00,99.00
2026-02-17T11:34:00Z,2.61,99.00
2026-02-17T11:35:00Z,2.54,99.00
2026-02-17T11:36:00Z,1.28,98.99
2026-02-17T11:37:00Z,1.00,98.99
2026-02-17T11:39:00Z,1.05,98.99
2026-02-17T11:40:00Z,1.79,98.99
2026-02-17T11:41:00Z,2.00,98.99
2026-02-17T11:42:00Z,1.00,98.99
2026-02-17T11:43:00Z,1.00,98.99
2026-02-17T11:45:00Z,1.00,98.17
2026-02-17T11:46:00Z,1.00,98.17
2026-02-17T11:48:00Z,1.00,99.00
2026-02-17T11:50:00Z,1.56,99.00
