# event_ticker=KXATPCHALLENGERMATCH-26APR14KRUDUT
# final_score=2-6 6-3 6-4
# match_winner=Mitchell Krueger
# fav_player=Mitchell Krueger
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-04-14
timestamp,Mitchell Krueger,Daniel Dutra Da Silva
2026-04-15T01:21:00Z,61.47,39.00
2026-04-15T01:22:00Z,60.56,39.97
2026-04-15T01:23:00Z,60.92,40.00
2026-04-15T01:24:00Z,64.85,40.35
2026-04-15T01:25:00Z,61.11,36.99
2026-04-15T01:26:00Z,62.23,39.85
2026-04-15T01:27:00Z,56.88,43.76
2026-04-15T01:28:00Z,47.47,51.40
2026-04-15T01:29:00Z,39.51,61.94
2026-04-15T01:30:00Z,36.75,65.17
2026-04-15T01:31:00Z,41.60,57.96
2026-04-15T01:32:00Z,53.16,54.73
2026-04-15T01:33:00Z,57.91,46.02
2026-04-15T01:34:00Z,67.03,36.73
2026-04-15T01:35:00Z,57.15,45.63
2026-04-15T01:36:00Z,58.42,47.31
2026-04-15T01:37:00Z,68.58,36.32
2026-04-15T01:38:00Z,69.04,31.41
2026-04-15T01:39:00Z,67.48,32.04
2026-04-15T01:40:00Z,70.90,32.54
2026-04-15T01:41:00Z,77.43,22.49
2026-04-15T01:42:00Z,80.45,20.19
2026-04-15T01:43:00Z,83.18,15.83
2026-04-15T01:44:00Z,83.49,19.66
2026-04-15T01:45:00Z,86.76,12.53
2026-04-15T01:46:00Z,91.23,8.29
2026-04-15T01:47:00Z,88.36,12.13
2026-04-15T01:48:00Z,83.24,19.00
2026-04-15T01:49:00Z,71.92,26.12
2026-04-15T01:50:00Z,71.44,28.18
2026-04-15T01:51:00Z,74.08,23.29
2026-04-15T01:52:00Z,87.77,15.02
2026-04-15T01:53:00Z,89.82,10.07
2026-04-15T01:54:00Z,95.64,5.49
2026-04-15T01:55:00Z,96.67,4.19
2026-04-15T01:56:00Z,96.96,1.84
2026-04-15T01:57:00Z,97.04,3.03
2026-04-15T01:58:00Z,96.95,3.02
2026-04-15T01:59:00Z,94.46,5.15
2026-04-15T02:00:00Z,94.13,5.96
2026-04-15T02:01:00Z,94.53,7.72
2026-04-15T02:02:00Z,88.35,11.29
2026-04-15T02:03:00Z,91.96,8.27
2026-04-15T02:04:00Z,85.15,16.01
2026-04-15T02:05:00Z,74.94,23.59
2026-04-15T02:06:00Z,78.78,21.97
2026-04-15T02:07:00Z,89.07,12.15
2026-04-15T02:08:00Z,78.41,18.44
2026-04-15T02:09:00Z,83.65,17.73
2026-04-15T02:10:00Z,96.56,4.50
2026-04-15T02:11:00Z,99.00,1.00
2026-04-15T02:12:00Z,99.00,1.00
