# event_ticker=KXATPCHALLENGERMATCH-26FEB18ZEIRON
# final_score=6-4 6-1
# match_winner=Franco Roncadelli
# fav_player=Franco Roncadelli
# dog_player=Maximo Zeitune
# kalshi_date=2026-02-18
timestamp,Franco Roncadelli,Maximo Zeitune
2026-02-18T14:19:00Z,62.47,40.02
2026-02-18T14:20:00Z,56.58,43.57
2026-02-18T14:21:00Z,52.67,49.25
2026-02-18T14:22:00Z,51.18,51.73
2026-02-18T14:23:00Z,49.75,53.41
2026-02-18T14:24:00Z,50.24,53.15
2026-02-18T14:25:00Z,47.81,57.33
2026-02-18T14:26:00Z,42.32,58.98
2026-02-18T14:27:00Z,42.10,59.39
2026-02-18T14:28:00Z,41.20,60.20
2026-02-18T14:29:00Z,41.09,59.43
2026-02-18T14:30:00Z,42.24,61.04
2026-02-18T14:31:00Z,38.45,64.03
2026-02-18T14:32:00Z,40.72,61.75
2026-02-18T14:33:00Z,43.05,61.58
2026-02-18T14:34:00Z,40.01,61.86
2026-02-18T14:35:00Z,40.46,60.64
2026-02-18T14:36:00Z,39.63,61.76
2026-02-18T14:37:00Z,40.53,60.42
2026-02-18T14:38:00Z,42.00,59.83
2026-02-18T14:39:00Z,41.91,60.00
2026-02-18T14:40:00Z,41.25,60.50
2026-02-18T14:41:00Z,48.96,58.45
2026-02-18T14:42:00Z,51.30,50.42
2026-02-18T14:43:00Z,56.28,46.44
2026-02-18T14:44:00Z,59.42,42.86
2026-02-18T14:45:00Z,59.16,42.82
2026-02-18T14:46:00Z,58.62,42.26
2026-02-18T14:47:00Z,58.20,42.78
2026-02-18T14:48:00Z,62.92,39.49
2026-02-18T14:49:00Z,69.20,29.15
2026-02-18T14:50:00Z,73.85,22.61
2026-02-18T14:51:00Z,76.58,21.23
2026-02-18T14:52:00Z,87.50,17.61
2026-02-18T14:53:00Z,82.98,12.00
2026-02-18T14:54:00Z,82.99,17.17
2026-02-18T14:55:00Z,82.09,13.89
2026-02-18T14:56:00Z,88.90,9.38
2026-02-18T14:57:00Z,92.22,7.56
2026-02-18T14:58:00Z,92.03,7.99
2026-02-18T14:59:00Z,92.04,8.07
2026-02-18T15:00:00Z,91.88,9.08
2026-02-18T15:01:00Z,91.72,8.03
2026-02-18T15:02:00Z,92.32,10.02
2026-02-18T15:03:00Z,92.20,6.97
2026-02-18T15:04:00Z,93.80,5.85
2026-02-18T15:05:00Z,94.43,5.40
2026-02-18T15:06:00Z,96.00,3.45
2026-02-18T15:07:00Z,95.27,3.08
2026-02-18T15:08:00Z,95.99,4.41
2026-02-18T15:09:00Z,97.80,2.69
2026-02-18T15:10:00Z,98.54,1.56
2026-02-18T15:11:00Z,98.01,1.79
2026-02-18T15:12:00Z,98.10,1.86
2026-02-18T15:13:00Z,98.71,1.15
2026-02-18T15:14:00Z,98.09,1.54
2026-02-18T15:15:00Z,98.10,2.00
2026-02-18T15:16:00Z,99.00,2.00
2026-02-18T15:17:00Z,99.00,1.00
2026-02-18T15:18:00Z,99.00,1.67
2026-02-18T15:19:00Z,99.00,1.01
2026-02-18T15:20:00Z,99.00,1.00
2026-02-18T15:21:00Z,99.00,1.00
2026-02-18T15:22:00Z,99.00,1.00
2026-02-18T15:23:00Z,99.00,1.00
2026-02-18T15:24:00Z,99.00,1.00
2026-02-18T15:25:00Z,99.00,1.00
2026-02-18T15:26:00Z,99.00,1.00
2026-02-18T15:27:00Z,99.00,1.00
2026-02-18T15:28:00Z,99.00,1.00
2026-02-18T15:29:00Z,99.00,1.00
2026-02-18T15:31:00Z,99.00,1.00
