# event_ticker=KXATPCHALLENGERMATCH-26MAR02EFSMOR
# final_score=6-4 3-6 6-3
# score_resolution=4-6 6-3 3-6
# match_winner=Melios Efstathiou
# fav_player=Alejandro Moro Canas
# dog_player=Menelaos Efstathiou
# kalshi_date=2026-03-02
timestamp,Alejandro Moro Canas,Menelaos Efstathiou
2026-03-02T15:30:00Z,78.44,21.60
2026-03-02T15:31:00Z,81.77,19.09
2026-03-02T15:32:00Z,86.66,14.98
2026-03-02T15:33:00Z,88.97,11.54
2026-03-02T15:34:00Z,90.70,10.99
2026-03-02T15:35:00Z,91.11,12.34
2026-03-02T15:36:00Z,88.18,13.07
2026-03-02T15:37:00Z,83.98,17.72
2026-03-02T15:38:00Z,86.14,17.35
2026-03-02T15:39:00Z,88.71,9.84
2026-03-02T15:40:00Z,84.00,16.60
2026-03-02T15:41:00Z,78.74,23.69
2026-03-02T15:42:00Z,74.27,26.54
2026-03-02T15:43:00Z,66.62,32.97
2026-03-02T15:44:00Z,65.73,35.53
2026-03-02T15:45:00Z,64.48,36.52
2026-03-02T15:46:00Z,70.53,31.36
2026-03-02T15:47:00Z,75.12,27.34
2026-03-02T15:48:00Z,75.56,26.19
2026-03-02T15:49:00Z,79.81,21.47
2026-03-02T15:50:00Z,87.06,13.98
2026-03-02T15:51:00Z,87.51,15.61
2026-03-02T15:52:00Z,82.11,18.47
2026-03-02T15:53:00Z,75.33,27.85
2026-03-02T15:54:00Z,68.79,33.35
2026-03-02T15:55:00Z,65.10,35.56
2026-03-02T15:56:00Z,63.97,37.10
2026-03-02T15:57:00Z,69.15,34.51
2026-03-02T15:58:00Z,74.60,26.26
2026-03-02T15:59:00Z,73.68,27.50
2026-03-02T16:00:00Z,70.46,31.41
2026-03-02T16:01:00Z,73.97,23.51
2026-03-02T16:02:00Z,62.22,41.21
2026-03-02T16:03:00Z,57.43,41.94
2026-03-02T16:04:00Z,49.64,49.20
2026-03-02T16:05:00Z,52.07,46.67
2026-03-02T16:06:00Z,44.60,55.61
2026-03-02T16:07:00Z,52.18,49.77
2026-03-02T16:08:00Z,34.06,67.52
2026-03-02T16:09:00Z,14.59,86.59
2026-03-02T16:10:00Z,15.70,83.98
2026-03-02T16:11:00Z,6.24,92.57
2026-03-02T16:12:00Z,1.98,98.78
2026-03-02T16:13:00Z,1.00,99.00
2026-03-02T16:14:00Z,1.00,99.00
2026-03-02T16:15:00Z,1.00,99.00
2026-03-02T16:16:00Z,1.00,99.00
2026-03-02T16:17:00Z,1.00,99.00
2026-03-02T16:18:00Z,1.00,99.00
2026-03-02T16:19:00Z,1.00,99.00
2026-03-02T16:20:00Z,1.00,99.00
2026-03-02T16:21:00Z,1.00,99.00
2026-03-02T16:22:00Z,1.00,99.00
