# event_ticker=KXATPMATCH-26FEB25MEDWAW
# final_score=6-2 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Stan Wawrinka
# kalshi_date=2026-02-25
timestamp,Daniil Medvedev,Stan Wawrinka
2026-02-25T04:09:00Z,86.00,15.00
2026-02-25T04:10:00Z,86.00,15.00
2026-02-25T04:12:00Z,86.00,15.00
2026-02-25T04:13:00Z,86.00,15.00
2026-02-25T04:15:00Z,86.00,15.00
2026-02-25T04:17:00Z,86.00,15.00
2026-02-25T04:21:00Z,86.00,15.00
2026-02-25T04:22:00Z,86.00,16.00
2026-02-25T04:23:00Z,86.00,16.00
2026-02-25T04:24:00Z,86.00,16.00
2026-02-25T04:27:00Z,86.00,16.00
2026-02-25T04:31:00Z,86.00,16.00
2026-02-25T04:36:00Z,86.00,16.00
2026-02-25T04:39:00Z,86.00,16.00
2026-02-25T04:45:00Z,86.00,16.00
2026-02-25T04:51:00Z,86.00,16.00
2026-02-25T04:54:00Z,86.00,16.00
2026-02-25T04:55:00Z,86.00,16.00
2026-02-25T05:00:00Z,86.00,16.00
2026-02-25T05:03:00Z,86.70,16.00
2026-02-25T05:04:00Z,86.00,16.00
2026-02-25T05:07:00Z,86.00,16.00
2026-02-25T05:08:00Z,86.00,15.00
2026-02-25T05:09:00Z,85.00,15.00
2026-02-25T05:11:00Z,86.00,15.00
2026-02-25T05:13:00Z,86.00,15.00
2026-02-25T05:18:00Z,86.00,15.00
2026-02-25T05:20:00Z,86.00,15.00
2026-02-25T05:21:00Z,86.00,15.00
2026-02-25T05:22:00Z,86.00,15.00
2026-02-25T05:26:00Z,86.00,15.00
2026-02-25T05:28:00Z,86.00,15.00
2026-02-25T05:29:00Z,86.00,15.00
2026-02-25T05:40:00Z,86.00,16.00
2026-02-25T05:41:00Z,86.00,16.00
2026-02-25T05:43:00Z,85.63,14.00
2026-02-25T05:47:00Z,86.00,14.00
2026-02-25T05:48:00Z,86.00,16.00
2026-02-25T05:49:00Z,86.00,16.00
2026-02-25T05:56:00Z,86.00,16.00
2026-02-25T06:02:00Z,86.00,16.00
2026-02-25T06:04:00Z,86.00,16.00
2026-02-25T06:05:00Z,86.00,16.00
2026-02-25T06:06:00Z,86.00,16.00
2026-02-25T06:07:00Z,86.00,16.00
2026-02-25T06:08:00Z,86.00,16.00
2026-02-25T06:09:00Z,86.00,16.00
2026-02-25T06:10:00Z,86.00,15.00
2026-02-25T06:11:00Z,86.00,15.00
2026-02-25T06:12:00Z,86.00,16.00
2026-02-25T06:14:00Z,86.00,16.00
2026-02-25T06:15:00Z,86.00,16.00
2026-02-25T06:16:00Z,86.00,16.00
2026-02-25T06:17:00Z,86.00,16.00
2026-02-25T06:18:00Z,86.00,16.00
2026-02-25T06:19:00Z,86.00,16.00
2026-02-25T06:20:00Z,86.00,16.00
2026-02-25T06:21:00Z,85.00,16.00
2026-02-25T06:22:00Z,86.00,16.00
2026-02-25T06:23:00Z,86.00,15.96
2026-02-25T06:24:00Z,86.00,16.00
2026-02-25T06:25:00Z,86.00,16.00
2026-02-25T06:26:00Z,86.00,16.00
2026-02-25T06:27:00Z,86.00,16.00
2026-02-25T06:28:00Z,86.00,16.00
2026-02-25T06:29:00Z,86.00,16.00
