# event_ticker=KXATPCHALLENGERMATCH-26FEB24SCHBAS
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Joel Schwaerzler
# fav_player=Mirza Basic
# dog_player=Joel Schwaerzler
# kalshi_date=2026-02-24
timestamp,Mirza Basic,Joel Schwaerzler
2026-02-24T15:07:00Z,42.00,61.00
2026-02-24T15:09:00Z,42.00,61.98
2026-02-24T15:12:00Z,38.00,62.00
2026-02-24T15:13:00Z,38.00,62.00
2026-02-24T15:14:00Z,41.89,62.00
2026-02-24T15:15:00Z,42.00,62.00
2026-02-24T15:16:00Z,45.75,62.00
2026-02-24T15:17:00Z,41.00,60.07
2026-02-24T15:18:00Z,41.00,61.00
2026-02-24T15:19:00Z,39.43,62.95
2026-02-24T15:20:00Z,40.00,65.59
2026-02-24T15:21:00Z,31.45,72.95
2026-02-24T15:22:00Z,37.90,64.05
2026-02-24T15:23:00Z,36.94,63.08
2026-02-24T15:24:00Z,36.94,62.13
2026-02-24T15:25:00Z,37.63,64.63
2026-02-24T15:26:00Z,42.00,60.63
2026-02-24T15:27:00Z,42.00,61.18
2026-02-24T15:28:00Z,40.00,60.84
2026-02-24T15:29:00Z,39.76,62.00
2026-02-24T15:31:00Z,43.92,60.97
2026-02-24T15:32:00Z,45.00,57.75
2026-02-24T15:33:00Z,42.81,58.17
2026-02-24T15:34:00Z,38.48,61.30
2026-02-24T15:35:00Z,39.00,62.00
2026-02-24T15:36:00Z,39.00,63.00
2026-02-24T15:37:00Z,44.05,59.81
2026-02-24T15:38:00Z,39.13,62.81
2026-02-24T15:39:00Z,35.80,62.04
2026-02-24T15:40:00Z,40.92,60.75
2026-02-24T15:41:00Z,37.47,63.00
2026-02-24T15:42:00Z,42.00,60.25
2026-02-24T15:43:00Z,46.92,56.46
2026-02-24T15:44:00Z,45.00,57.85
2026-02-24T15:45:00Z,42.00,59.00
2026-02-24T15:46:00Z,35.00,63.17
2026-02-24T15:47:00Z,26.21,76.18
2026-02-24T15:48:00Z,20.21,80.01
2026-02-24T15:49:00Z,21.09,82.84
2026-02-24T15:50:00Z,19.00,81.04
2026-02-24T15:51:00Z,20.14,81.81
2026-02-24T15:52:00Z,20.01,82.80
2026-02-24T15:53:00Z,24.97,78.29
2026-02-24T15:54:00Z,25.00,76.75
2026-02-24T15:55:00Z,32.27,73.99
2026-02-24T15:56:00Z,27.00,77.21
2026-02-24T15:57:00Z,22.91,79.68
2026-02-24T15:58:00Z,19.18,80.10
2026-02-24T15:59:00Z,24.88,76.69
2026-02-24T16:00:00Z,22.26,78.68
2026-02-24T16:01:00Z,24.58,82.03
2026-02-24T16:02:00Z,24.72,78.52
2026-02-24T16:03:00Z,25.00,76.96
2026-02-24T16:04:00Z,30.37,73.00
2026-02-24T16:05:00Z,34.86,75.44
2026-02-24T16:06:00Z,23.99,77.34
2026-02-24T16:07:00Z,23.03,79.07
2026-02-24T16:08:00Z,25.00,79.58
2026-02-24T16:09:00Z,25.13,77.00
2026-02-24T16:10:00Z,24.68,76.23
2026-02-24T16:11:00Z,30.12,76.25
2026-02-24T16:12:00Z,25.72,71.43
2026-02-24T16:13:00Z,20.72,82.67
2026-02-24T16:14:00Z,18.35,82.95
2026-02-24T16:15:00Z,10.84,87.33
2026-02-24T16:16:00Z,4.82,95.71
2026-02-24T16:17:00Z,4.83,95.34
2026-02-24T16:18:00Z,3.21,97.04
2026-02-24T16:19:00Z,2.13,97.80
2026-02-24T16:20:00Z,2.70,99.00
2026-02-24T16:21:00Z,1.17,98.36
2026-02-24T16:22:00Z,3.00,99.00
2026-02-24T16:23:00Z,3.00,99.00
2026-02-24T16:24:00Z,3.00,99.00
2026-02-24T16:25:00Z,3.00,99.00
2026-02-24T16:26:00Z,3.00,99.00
