# event_ticker=KXATPCHALLENGERMATCH-26MAY19KOUVAS
# final_score=6-3 7-6(3)
# score_resolution=6-3 7-6
# match_winner=Jacopo Vasami
# fav_player=Jacopo Vasami
# dog_player=Moise Kouame
# kalshi_date=2026-05-19
timestamp,Moise Kouame,Jacopo Vasami
2026-05-19T16:26:00Z,44.29,58.99
2026-05-19T16:27:00Z,40.74,63.26
2026-05-19T16:28:00Z,43.84,57.52
2026-05-19T16:29:00Z,42.68,58.64
2026-05-19T16:30:00Z,39.10,66.40
2026-05-19T16:31:00Z,34.99,68.00
2026-05-19T16:32:00Z,35.38,67.75
2026-05-19T16:33:00Z,34.50,68.74
2026-05-19T16:34:00Z,37.96,64.69
2026-05-19T16:35:00Z,31.56,69.37
2026-05-19T16:36:00Z,33.88,67.35
2026-05-19T16:37:00Z,31.26,69.76
2026-05-19T16:38:00Z,35.01,66.83
2026-05-19T16:39:00Z,29.10,67.00
2026-05-19T16:40:00Z,30.00,71.00
2026-05-19T16:41:00Z,30.92,71.00
2026-05-19T16:42:00Z,29.66,71.30
2026-05-19T16:43:00Z,29.15,71.57
2026-05-19T16:44:00Z,30.00,71.55
2026-05-19T16:45:00Z,30.32,70.95
2026-05-19T16:46:00Z,30.01,70.42
2026-05-19T16:47:00Z,36.36,65.00
2026-05-19T16:48:00Z,41.25,61.56
2026-05-19T16:49:00Z,38.06,66.31
2026-05-19T16:50:00Z,32.05,68.07
2026-05-19T16:51:00Z,30.40,72.13
2026-05-19T16:52:00Z,28.95,71.89
2026-05-19T16:53:00Z,29.00,71.92
2026-05-19T16:54:00Z,30.00,70.93
2026-05-19T16:55:00Z,30.00,71.28
2026-05-19T16:56:00Z,34.25,68.62
2026-05-19T16:57:00Z,37.21,62.16
2026-05-19T16:58:00Z,39.25,60.69
2026-05-19T16:59:00Z,40.22,62.46
2026-05-19T17:00:00Z,33.43,71.00
2026-05-19T17:01:00Z,27.00,73.80
2026-05-19T17:02:00Z,27.36,75.00
2026-05-19T17:03:00Z,26.95,75.00
2026-05-19T17:04:00Z,25.64,74.80
2026-05-19T17:05:00Z,28.42,71.00
2026-05-19T17:06:00Z,27.82,71.00
2026-05-19T17:07:00Z,29.55,71.49
2026-05-19T17:08:00Z,29.88,71.49
2026-05-19T17:09:00Z,30.41,70.22
2026-05-19T17:10:00Z,30.97,71.00
2026-05-19T17:11:00Z,27.91,72.00
2026-05-19T17:12:00Z,27.74,72.00
2026-05-19T17:13:00Z,36.69,65.39
2026-05-19T17:14:00Z,34.15,65.33
2026-05-19T17:15:00Z,32.20,70.98
2026-05-19T17:16:00Z,30.08,72.00
2026-05-19T17:17:00Z,28.49,71.52
2026-05-19T17:18:00Z,30.96,70.00
2026-05-19T17:19:00Z,31.22,68.00
2026-05-19T17:20:00Z,32.99,68.00
2026-05-19T17:21:00Z,37.15,65.05
2026-05-19T17:22:00Z,41.62,65.25
2026-05-19T17:23:00Z,40.60,62.52
2026-05-19T17:24:00Z,36.76,60.08
2026-05-19T17:25:00Z,33.00,66.10
2026-05-19T17:26:00Z,35.97,66.05
2026-05-19T17:27:00Z,32.37,69.42
2026-05-19T17:28:00Z,35.85,65.00
2026-05-19T17:29:00Z,38.07,61.85
2026-05-19T17:30:00Z,34.41,65.80
2026-05-19T17:31:00Z,34.64,66.29
2026-05-19T17:32:00Z,37.49,66.01
2026-05-19T17:33:00Z,34.56,65.57
2026-05-19T17:34:00Z,34.48,68.41
2026-05-19T17:35:00Z,32.53,67.80
2026-05-19T17:36:00Z,30.78,73.57
2026-05-19T17:37:00Z,26.24,73.92
2026-05-19T17:38:00Z,28.21,76.33
2026-05-19T17:39:00Z,26.42,74.51
2026-05-19T17:40:00Z,26.63,76.66
2026-05-19T17:41:00Z,27.19,78.50
2026-05-19T17:42:00Z,24.67,75.40
2026-05-19T17:43:00Z,29.22,73.58
2026-05-19T17:44:00Z,31.50,68.64
2026-05-19T17:45:00Z,33.72,67.49
2026-05-19T17:46:00Z,33.58,64.94
2026-05-19T17:47:00Z,38.10,65.27
2026-05-19T17:48:00Z,37.87,68.44
2026-05-19T17:49:00Z,35.40,63.64
2026-05-19T17:50:00Z,38.13,60.79
2026-05-19T17:51:00Z,38.25,65.15
2026-05-19T17:52:00Z,38.76,65.88
2026-05-19T17:53:00Z,41.89,60.59
2026-05-19T17:54:00Z,41.83,64.67
2026-05-19T17:55:00Z,33.68,65.38
2026-05-19T17:56:00Z,31.84,68.75
2026-05-19T17:57:00Z,30.79,69.08
2026-05-19T17:58:00Z,34.00,65.66
2026-05-19T17:59:00Z,31.71,69.88
2026-05-19T18:00:00Z,30.37,70.97
2026-05-19T18:01:00Z,29.20,70.41
2026-05-19T18:02:00Z,32.87,67.99
2026-05-19T18:03:00Z,33.95,68.00
2026-05-19T18:04:00Z,30.66,69.79
2026-05-19T18:05:00Z,33.69,68.75
2026-05-19T18:06:00Z,33.90,67.69
2026-05-19T18:07:00Z,30.11,71.22
2026-05-19T18:08:00Z,28.06,71.27
2026-05-19T18:09:00Z,31.71,68.17
2026-05-19T18:10:00Z,34.72,66.20
2026-05-19T18:11:00Z,35.02,66.28
2026-05-19T18:12:00Z,32.25,69.22
2026-05-19T18:13:00Z,28.96,71.63
2026-05-19T18:14:00Z,28.87,74.18
2026-05-19T18:15:00Z,29.24,73.12
2026-05-19T18:16:00Z,25.33,82.61
2026-05-19T18:17:00Z,30.03,71.10
2026-05-19T18:18:00Z,32.51,68.99
2026-05-19T18:19:00Z,31.79,70.27
2026-05-19T18:20:00Z,31.00,69.80
2026-05-19T18:21:00Z,33.80,70.05
2026-05-19T18:22:00Z,28.41,72.45
2026-05-19T18:23:00Z,21.15,82.60
2026-05-19T18:24:00Z,13.96,84.13
2026-05-19T18:25:00Z,21.04,78.98
2026-05-19T18:26:00Z,28.86,74.30
2026-05-19T18:27:00Z,25.85,75.09
2026-05-19T18:28:00Z,8.48,90.59
2026-05-19T18:29:00Z,1.62,98.42
2026-05-19T18:30:00Z,1.62,99.00
2026-05-19T18:31:00Z,1.62,99.00
2026-05-19T18:32:00Z,1.62,99.00
