# event_ticker=KXATPCHALLENGERMATCH-26FEB24KASSIN
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Maks Kasnikowski
# fav_player=Karan (IND) Singh
# dog_player=Maks Kasnikowski
# kalshi_date=2026-02-24
timestamp,Karan (IND) Singh,Maks Kasnikowski
2026-02-24T09:50:00Z,6.88,95.00
2026-02-24T09:51:00Z,6.88,95.00
2026-02-24T09:52:00Z,6.00,94.00
2026-02-24T09:53:00Z,5.06,96.00
2026-02-24T09:54:00Z,6.33,96.00
2026-02-24T09:55:00Z,2.32,97.74
2026-02-24T09:56:00Z,1.47,99.00
2026-02-24T09:57:00Z,1.24,98.00
2026-02-24T09:58:00Z,1.92,98.00
2026-02-24T09:59:00Z,1.08,98.00
2026-02-24T10:00:00Z,1.11,98.00
2026-02-24T10:01:00Z,1.00,98.00
2026-02-24T10:02:00Z,1.00,98.00
2026-02-24T10:03:00Z,1.00,99.00
2026-02-24T10:05:00Z,1.00,99.00
2026-02-24T10:06:00Z,1.00,99.00
2026-02-24T10:07:00Z,1.00,99.00
