# event_ticker=KXATPMATCH-25AUG20YUNNAV
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Yunchaokete Bu
# fav_player=Mariano Navone
# dog_player=Yunchaokete Bu
# kalshi_date=2025-08-20
timestamp,Mariano Navone,Yunchaokete Bu
2025-08-20T22:38:00Z,44.00,58.00
2025-08-20T22:40:00Z,42.00,58.00
2025-08-20T22:41:00Z,42.00,58.00
2025-08-20T22:42:00Z,42.00,63.02
2025-08-20T22:43:00Z,41.37,59.00
2025-08-20T22:44:00Z,31.44,65.05
2025-08-20T22:45:00Z,30.65,71.00
2025-08-20T22:46:00Z,29.00,73.86
2025-08-20T22:47:00Z,35.24,68.74
2025-08-20T22:48:00Z,39.82,63.70
2025-08-20T22:49:00Z,39.82,70.37
2025-08-20T22:50:00Z,31.08,72.00
2025-08-20T22:52:00Z,31.08,68.00
2025-08-20T22:54:00Z,33.91,68.78
2025-08-20T22:55:00Z,35.13,67.00
2025-08-20T22:56:00Z,35.97,67.00
2025-08-20T22:57:00Z,41.17,60.25
2025-08-20T22:58:00Z,47.74,52.56
2025-08-20T22:59:00Z,48.72,53.93
2025-08-20T23:00:00Z,39.01,60.96
2025-08-20T23:01:00Z,39.01,65.00
2025-08-20T23:02:00Z,42.00,61.25
2025-08-20T23:03:00Z,42.00,69.00
2025-08-20T23:06:00Z,42.00,72.20
2025-08-20T23:07:00Z,42.00,73.01
2025-08-20T23:08:00Z,28.99,74.00
2025-08-20T23:11:00Z,28.99,72.00
2025-08-20T23:14:00Z,28.99,74.71
2025-08-20T23:15:00Z,29.00,71.00
2025-08-20T23:17:00Z,29.00,75.00
2025-08-20T23:19:00Z,26.00,75.00
2025-08-20T23:20:00Z,27.00,75.00
2025-08-20T23:22:00Z,29.00,69.70
2025-08-20T23:23:00Z,36.65,62.26
2025-08-20T23:24:00Z,31.09,70.28
2025-08-20T23:25:00Z,28.40,77.26
2025-08-20T23:28:00Z,25.00,77.26
2025-08-20T23:29:00Z,26.48,75.52
2025-08-20T23:30:00Z,26.48,74.77
2025-08-20T23:32:00Z,26.48,75.00
2025-08-20T23:33:00Z,26.25,77.22
2025-08-20T23:36:00Z,30.00,71.00
2025-08-20T23:37:00Z,22.00,75.84
2025-08-20T23:38:00Z,21.00,79.00
2025-08-20T23:39:00Z,15.00,80.64
2025-08-20T23:40:00Z,8.26,92.56
2025-08-20T23:41:00Z,9.90,92.00
2025-08-20T23:42:00Z,7.50,92.97
2025-08-20T23:43:00Z,7.50,93.32
2025-08-20T23:44:00Z,7.50,94.73
2025-08-20T23:45:00Z,9.29,91.16
2025-08-20T23:46:00Z,15.22,87.65
2025-08-20T23:47:00Z,15.22,92.00
2025-08-20T23:48:00Z,5.30,94.00
2025-08-20T23:49:00Z,5.00,95.88
2025-08-20T23:50:00Z,4.87,96.03
2025-08-20T23:51:00Z,4.00,95.21
2025-08-20T23:52:00Z,5.37,95.23
2025-08-20T23:53:00Z,6.86,94.71
2025-08-20T23:55:00Z,7.94,94.00
2025-08-20T23:56:00Z,7.94,93.00
2025-08-20T23:58:00Z,8.00,90.58
2025-08-20T23:59:00Z,8.60,88.33
2025-08-21T00:00:00Z,19.64,80.89
2025-08-21T00:01:00Z,11.00,80.89
2025-08-21T00:02:00Z,9.00,96.65
2025-08-21T00:03:00Z,5.00,98.00
2025-08-21T00:04:00Z,3.11,98.00
2025-08-21T00:05:00Z,3.96,97.10
2025-08-21T00:06:00Z,4.00,95.00
2025-08-21T00:07:00Z,4.33,95.00
2025-08-21T00:08:00Z,5.00,95.00
2025-08-21T00:09:00Z,5.00,95.00
2025-08-21T00:10:00Z,5.00,95.38
2025-08-21T00:11:00Z,2.00,95.38
2025-08-21T00:12:00Z,2.01,99.00
2025-08-21T00:14:00Z,2.01,99.00
2025-08-21T00:15:00Z,4.00,99.00
2025-08-21T00:16:00Z,4.00,95.00
2025-08-21T00:17:00Z,1.98,98.00
2025-08-21T00:18:00Z,2.00,96.97
2025-08-21T00:19:00Z,1.00,96.79
2025-08-21T00:20:00Z,1.00,96.79
2025-08-21T00:21:00Z,1.00,99.00
2025-08-21T00:23:00Z,1.00,99.00
2025-08-21T00:24:00Z,1.00,99.00
