# event_ticker=KXATPMATCH-25SEP22NAKTAB
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Brandon Nakashima
# kalshi_date=2025-09-22
timestamp,Alejandro Tabilo,Brandon Nakashima
2025-09-22T06:23:00Z,36.00,65.00
2025-09-22T06:27:00Z,36.00,65.00
2025-09-22T06:28:00Z,36.00,65.00
2025-09-22T06:32:00Z,36.00,65.00
2025-09-22T06:34:00Z,36.00,65.89
2025-09-22T06:35:00Z,36.00,66.00
2025-09-22T06:36:00Z,36.00,65.00
2025-09-22T06:41:00Z,36.00,66.00
2025-09-22T06:42:00Z,36.00,65.00
2025-09-22T06:43:00Z,36.00,66.00
2025-09-22T06:45:00Z,36.00,65.00
2025-09-22T06:48:00Z,36.00,65.00
2025-09-22T06:50:00Z,36.00,66.00
2025-09-22T06:53:00Z,36.00,66.00
2025-09-22T06:54:00Z,36.00,65.00
2025-09-22T06:55:00Z,36.00,66.00
2025-09-22T06:59:00Z,36.00,66.00
2025-09-22T07:00:00Z,36.00,66.00
2025-09-22T07:03:00Z,36.00,66.00
2025-09-22T07:04:00Z,36.00,65.78
2025-09-22T07:05:00Z,36.00,66.00
2025-09-22T07:06:00Z,36.00,66.00
2025-09-22T07:07:00Z,36.00,65.00
2025-09-22T07:08:00Z,36.00,65.00
2025-09-22T07:09:00Z,36.00,65.00
2025-09-22T07:10:00Z,36.00,65.00
2025-09-22T07:12:00Z,36.00,65.96
2025-09-22T07:13:00Z,36.00,65.96
2025-09-22T07:14:00Z,36.00,65.00
2025-09-22T07:15:00Z,36.00,65.57
2025-09-22T07:18:00Z,36.00,66.00
2025-09-22T07:20:00Z,36.00,66.00
2025-09-22T07:25:00Z,36.00,66.00
2025-09-22T07:28:00Z,36.00,66.00
2025-09-22T07:29:00Z,36.00,65.00
2025-09-22T07:34:00Z,36.00,66.00
2025-09-22T07:35:00Z,36.00,66.00
2025-09-22T07:36:00Z,36.00,66.00
2025-09-22T07:39:00Z,36.00,66.00
2025-09-22T07:41:00Z,36.00,66.00
2025-09-22T07:42:00Z,36.00,66.00
2025-09-22T07:43:00Z,36.00,66.00
2025-09-22T07:46:00Z,36.00,66.00
2025-09-22T07:48:00Z,36.00,66.00
2025-09-22T07:49:00Z,36.00,66.00
2025-09-22T07:50:00Z,36.00,66.00
2025-09-22T07:51:00Z,36.00,66.00
