# event_ticker=KXATPCHALLENGERMATCH-26FEB23SQUPIR
# final_score=7-5 7-6(5)
# score_resolution=5-7 6-7
# match_winner=Zsombor Piros
# fav_player=Henri Squire
# dog_player=Zsombor Piros
# kalshi_date=2026-02-23
timestamp,Henri Squire,Zsombor Piros
2026-02-23T16:19:00Z,49.00,53.96
2026-02-23T16:20:00Z,49.00,53.78
2026-02-23T16:22:00Z,49.00,53.78
2026-02-23T16:24:00Z,49.00,54.00
2026-02-23T16:26:00Z,49.00,53.79
2026-02-23T16:30:00Z,49.00,53.79
2026-02-23T16:31:00Z,47.00,53.48
2026-02-23T16:32:00Z,47.00,53.47
2026-02-23T16:33:00Z,47.00,53.97
2026-02-23T16:34:00Z,47.00,54.24
2026-02-23T16:37:00Z,47.00,55.00
2026-02-23T16:38:00Z,47.00,55.00
2026-02-23T16:39:00Z,47.00,55.00
2026-02-23T16:41:00Z,48.60,55.00
2026-02-23T16:42:00Z,49.00,55.00
2026-02-23T16:44:00Z,49.00,55.00
2026-02-23T16:45:00Z,49.00,55.00
2026-02-23T16:46:00Z,49.00,55.29
2026-02-23T16:48:00Z,49.00,55.00
2026-02-23T16:50:00Z,49.00,55.00
2026-02-23T16:51:00Z,45.28,55.00
2026-02-23T16:52:00Z,48.00,55.00
2026-02-23T16:53:00Z,48.00,55.00
2026-02-23T16:54:00Z,48.00,55.00
2026-02-23T16:55:00Z,48.00,55.00
2026-02-23T16:56:00Z,48.00,54.00
2026-02-23T16:57:00Z,48.00,54.00
2026-02-23T17:00:00Z,48.00,54.00
2026-02-23T17:02:00Z,47.00,54.00
2026-02-23T17:03:00Z,47.00,55.00
2026-02-23T17:04:00Z,47.89,55.00
2026-02-23T17:05:00Z,48.00,55.42
2026-02-23T17:06:00Z,47.00,55.09
2026-02-23T17:07:00Z,47.00,55.60
2026-02-23T17:08:00Z,47.00,55.00
2026-02-23T17:09:00Z,47.77,55.00
2026-02-23T17:10:00Z,46.83,56.48
2026-02-23T17:11:00Z,46.49,54.90
2026-02-23T17:12:00Z,44.43,58.45
2026-02-23T17:13:00Z,43.11,57.25
2026-02-23T17:14:00Z,46.78,56.02
2026-02-23T17:15:00Z,46.53,54.33
2026-02-23T17:16:00Z,44.72,57.97
2026-02-23T17:17:00Z,44.95,56.09
2026-02-23T17:18:00Z,46.00,56.91
2026-02-23T17:19:00Z,45.95,56.06
2026-02-23T17:20:00Z,49.00,52.44
2026-02-23T17:21:00Z,49.42,52.48
2026-02-23T17:22:00Z,57.42,45.50
2026-02-23T17:23:00Z,56.00,48.80
2026-02-23T17:24:00Z,48.21,52.00
2026-02-23T17:25:00Z,48.00,53.62
2026-02-23T17:26:00Z,48.00,56.60
2026-02-23T17:27:00Z,43.94,57.78
2026-02-23T17:28:00Z,35.77,64.98
2026-02-23T17:29:00Z,35.44,66.85
2026-02-23T17:30:00Z,41.20,58.18
2026-02-23T17:31:00Z,49.21,53.58
2026-02-23T17:32:00Z,50.00,53.93
2026-02-23T17:33:00Z,42.31,57.41
2026-02-23T17:34:00Z,45.92,56.18
2026-02-23T17:35:00Z,51.66,49.54
2026-02-23T17:36:00Z,50.09,51.07
