# event_ticker=KXATPCHALLENGERMATCH-26MAY12SCHAGA
# final_score=6-7(2) 6-3 6-1
# score_resolution=7-6 3-6 1-6
# match_winner=Joel Schwaerzler
# fav_player=Franco Agamenone
# dog_player=Joel Schwaerzler
# kalshi_date=2026-05-12
timestamp,Joel Schwaerzler,Franco Agamenone
2026-05-12T12:17:00Z,61.22,40.01
2026-05-12T12:18:00Z,60.48,46.00
2026-05-12T12:19:00Z,51.44,50.75
2026-05-12T12:20:00Z,44.71,56.76
2026-05-12T12:21:00Z,43.32,57.32
2026-05-12T12:22:00Z,40.51,59.57
2026-05-12T12:23:00Z,41.61,60.77
2026-05-12T12:24:00Z,36.55,63.71
2026-05-12T12:25:00Z,30.78,68.13
2026-05-12T12:26:00Z,31.99,68.13
2026-05-12T12:27:00Z,32.00,69.76
2026-05-12T12:28:00Z,34.00,68.57
2026-05-12T12:29:00Z,34.00,68.00
2026-05-12T12:30:00Z,31.52,69.00
2026-05-12T12:31:00Z,29.48,69.10
2026-05-12T12:32:00Z,26.01,74.14
2026-05-12T12:33:00Z,27.11,73.57
2026-05-12T12:34:00Z,26.90,73.24
2026-05-12T12:35:00Z,28.03,71.00
2026-05-12T12:36:00Z,28.13,74.04
2026-05-12T12:37:00Z,27.84,74.98
2026-05-12T12:38:00Z,24.83,75.41
2026-05-12T12:39:00Z,19.90,81.36
2026-05-12T12:40:00Z,21.71,78.01
2026-05-12T12:41:00Z,25.37,74.85
2026-05-12T12:42:00Z,31.42,70.46
2026-05-12T12:43:00Z,31.78,70.66
2026-05-12T12:44:00Z,34.05,70.66
2026-05-12T12:45:00Z,33.44,70.07
2026-05-12T12:46:00Z,32.30,66.05
2026-05-12T12:47:00Z,28.47,71.97
2026-05-12T12:48:00Z,25.85,73.00
2026-05-12T12:49:00Z,24.99,74.92
2026-05-12T12:50:00Z,26.27,75.00
2026-05-12T12:51:00Z,28.89,69.62
2026-05-12T12:52:00Z,29.89,70.11
2026-05-12T12:53:00Z,32.49,70.84
2026-05-12T12:54:00Z,31.52,70.01
2026-05-12T12:55:00Z,26.62,73.17
2026-05-12T12:56:00Z,29.00,72.91
2026-05-12T12:57:00Z,27.98,74.00
2026-05-12T12:58:00Z,28.00,73.90
2026-05-12T12:59:00Z,28.00,73.98
2026-05-12T13:00:00Z,28.24,72.43
2026-05-12T13:01:00Z,29.53,72.78
2026-05-12T13:02:00Z,25.52,77.49
2026-05-12T13:03:00Z,24.44,76.49
2026-05-12T13:04:00Z,26.52,78.10
2026-05-12T13:05:00Z,29.00,74.00
2026-05-12T13:06:00Z,27.47,71.78
2026-05-12T13:07:00Z,27.05,74.02
2026-05-12T13:08:00Z,27.82,71.06
2026-05-12T13:09:00Z,31.45,68.51
2026-05-12T13:10:00Z,36.88,61.71
2026-05-12T13:11:00Z,44.68,52.55
2026-05-12T13:12:00Z,42.04,59.87
2026-05-12T13:13:00Z,48.00,51.99
2026-05-12T13:14:00Z,48.13,52.67
2026-05-12T13:15:00Z,52.06,47.17
2026-05-12T13:16:00Z,50.70,52.36
2026-05-12T13:17:00Z,52.67,49.57
2026-05-12T13:18:00Z,53.08,48.00
2026-05-12T13:19:00Z,55.21,43.46
2026-05-12T13:20:00Z,59.08,39.90
2026-05-12T13:21:00Z,59.26,41.83
2026-05-12T13:22:00Z,61.06,41.08
2026-05-12T13:23:00Z,61.02,38.12
2026-05-12T13:24:00Z,61.35,41.00
2026-05-12T13:25:00Z,61.98,41.00
2026-05-12T13:26:00Z,62.09,40.41
2026-05-12T13:27:00Z,62.76,40.00
2026-05-12T13:28:00Z,58.85,40.62
2026-05-12T13:29:00Z,64.15,37.13
2026-05-12T13:30:00Z,67.02,33.95
2026-05-12T13:31:00Z,69.27,32.27
2026-05-12T13:32:00Z,65.47,35.74
2026-05-12T13:33:00Z,76.29,29.82
2026-05-12T13:34:00Z,76.78,26.80
2026-05-12T13:35:00Z,83.95,17.39
2026-05-12T13:36:00Z,83.21,18.67
2026-05-12T13:37:00Z,88.96,12.82
2026-05-12T13:38:00Z,90.92,10.00
2026-05-12T13:39:00Z,92.01,8.76
2026-05-12T13:40:00Z,92.64,9.09
2026-05-12T13:41:00Z,92.47,9.87
2026-05-12T13:42:00Z,92.67,10.00
2026-05-12T13:43:00Z,90.42,6.63
2026-05-12T13:44:00Z,91.92,10.00
2026-05-12T13:45:00Z,91.54,10.46
2026-05-12T13:46:00Z,90.09,10.46
2026-05-12T13:47:00Z,94.67,5.22
2026-05-12T13:48:00Z,97.11,2.82
2026-05-12T13:49:00Z,98.35,1.98
2026-05-12T13:50:00Z,98.97,1.00
2026-05-12T13:51:00Z,99.00,1.00
2026-05-12T13:52:00Z,99.00,1.00
2026-05-12T13:53:00Z,99.00,1.00
2026-05-12T13:54:00Z,99.00,1.00
2026-05-12T13:55:00Z,99.00,1.00
2026-05-12T13:56:00Z,99.00,1.00
2026-05-12T13:57:00Z,99.00,1.00
2026-05-12T13:58:00Z,99.00,1.00
2026-05-12T13:59:00Z,99.00,1.00
2026-05-12T14:00:00Z,99.00,1.00
2026-05-12T14:01:00Z,99.00,1.00
2026-05-12T14:02:00Z,99.00,1.00
