# event_ticker=KXATPMATCH-25OCT15COLCOM
# final_score=7-5 3-6 7-6(10)
# score_resolution=5-7 6-3 6-7
# match_winner=Raphael Collignon
# fav_player=Francisco Comesana
# dog_player=Raphael Collignon
# kalshi_date=2025-10-15
timestamp,Francisco Comesana,Raphael Collignon
2025-10-15T16:07:00Z,34.00,67.00
2025-10-15T16:08:00Z,34.00,67.00
2025-10-15T16:09:00Z,35.96,67.08
2025-10-15T16:10:00Z,39.97,66.01
2025-10-15T16:11:00Z,40.05,65.70
2025-10-15T16:12:00Z,40.20,61.05
2025-10-15T16:13:00Z,36.96,62.21
2025-10-15T16:14:00Z,35.03,66.96
2025-10-15T16:15:00Z,32.67,66.59
2025-10-15T16:16:00Z,35.67,65.00
2025-10-15T16:17:00Z,36.34,64.00
2025-10-15T16:18:00Z,34.54,66.17
2025-10-15T16:19:00Z,38.63,63.00
2025-10-15T16:20:00Z,38.00,63.00
2025-10-15T16:21:00Z,36.82,62.10
2025-10-15T16:22:00Z,36.71,66.00
2025-10-15T16:23:00Z,36.44,66.00
2025-10-15T16:24:00Z,33.04,68.92
2025-10-15T16:25:00Z,38.15,65.22
2025-10-15T16:26:00Z,35.23,65.00
2025-10-15T16:27:00Z,31.66,70.26
2025-10-15T16:28:00Z,35.61,63.00
2025-10-15T16:29:00Z,36.71,63.00
2025-10-15T16:30:00Z,38.15,63.00
2025-10-15T16:31:00Z,37.77,63.90
2025-10-15T16:32:00Z,37.48,63.90
2025-10-15T16:33:00Z,35.69,65.00
2025-10-15T16:34:00Z,32.30,68.69
2025-10-15T16:35:00Z,39.64,63.76
2025-10-15T16:36:00Z,40.30,60.95
2025-10-15T16:37:00Z,40.70,62.26
2025-10-15T16:38:00Z,36.41,64.48
2025-10-15T16:39:00Z,41.88,60.26
2025-10-15T16:40:00Z,49.75,56.50
2025-10-15T16:41:00Z,42.00,64.98
2025-10-15T16:42:00Z,44.84,61.04
2025-10-15T16:43:00Z,45.88,54.12
2025-10-15T16:44:00Z,48.94,54.05
2025-10-15T16:45:00Z,44.97,54.53
2025-10-15T16:46:00Z,45.77,56.98
2025-10-15T16:47:00Z,42.22,61.52
2025-10-15T16:48:00Z,41.84,61.23
2025-10-15T16:49:00Z,37.97,65.29
2025-10-15T16:50:00Z,37.56,66.19
2025-10-15T16:51:00Z,38.02,65.00
2025-10-15T16:52:00Z,25.73,74.85
2025-10-15T16:53:00Z,18.87,81.63
2025-10-15T16:54:00Z,19.47,81.12
2025-10-15T16:55:00Z,16.17,82.49
2025-10-15T16:56:00Z,20.57,81.48
2025-10-15T16:57:00Z,15.50,85.54
2025-10-15T16:58:00Z,17.07,84.89
2025-10-15T16:59:00Z,16.62,84.90
2025-10-15T17:00:00Z,17.88,82.95
2025-10-15T17:01:00Z,18.31,80.23
2025-10-15T17:02:00Z,18.14,81.92
2025-10-15T17:03:00Z,20.72,80.55
2025-10-15T17:04:00Z,25.62,74.42
2025-10-15T17:05:00Z,31.72,70.44
2025-10-15T17:06:00Z,31.44,67.16
2025-10-15T17:07:00Z,31.94,69.72
2025-10-15T17:08:00Z,37.14,64.85
2025-10-15T17:09:00Z,37.24,62.69
2025-10-15T17:10:00Z,38.18,66.37
2025-10-15T17:11:00Z,35.18,65.63
2025-10-15T17:12:00Z,35.61,64.21
2025-10-15T17:13:00Z,36.68,65.73
2025-10-15T17:14:00Z,35.42,64.17
2025-10-15T17:15:00Z,39.82,61.86
2025-10-15T17:16:00Z,40.99,59.26
2025-10-15T17:17:00Z,41.47,59.15
2025-10-15T17:18:00Z,39.96,61.16
2025-10-15T17:19:00Z,39.56,61.74
2025-10-15T17:20:00Z,40.11,61.05
2025-10-15T17:21:00Z,40.06,63.42
2025-10-15T17:22:00Z,37.71,63.87
2025-10-15T17:23:00Z,38.09,61.28
