# event_ticker=KXATPMATCH-26FEB22POPMAJ
# final_score=3-6 6-3 7-5
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Kamil Majchrzak
# kalshi_date=2026-02-22
timestamp,Alexei Popyrin,Kamil Majchrzak
2026-02-24T12:46:00Z,54.00,47.00
2026-02-24T12:47:00Z,54.00,47.00
2026-02-24T12:52:00Z,54.00,47.00
2026-02-24T12:54:00Z,54.00,47.00
2026-02-24T13:00:00Z,54.00,47.00
2026-02-24T13:01:00Z,54.00,47.00
2026-02-24T13:04:00Z,54.00,47.00
2026-02-24T13:06:00Z,54.00,47.00
2026-02-24T13:07:00Z,54.00,47.00
2026-02-24T13:10:00Z,54.00,47.00
2026-02-24T13:11:00Z,54.00,47.00
2026-02-24T13:18:00Z,54.00,47.00
2026-02-24T13:25:00Z,54.00,47.00
2026-02-24T13:28:00Z,54.00,47.00
2026-02-24T13:30:00Z,54.00,47.00
2026-02-24T13:32:00Z,54.00,47.00
2026-02-24T13:34:00Z,54.00,47.00
2026-02-24T13:42:00Z,54.00,47.00
2026-02-24T13:43:00Z,54.00,47.00
2026-02-24T13:47:00Z,54.00,47.48
2026-02-24T13:48:00Z,54.00,48.00
2026-02-24T13:49:00Z,54.00,48.00
2026-02-24T13:51:00Z,54.00,48.00
2026-02-24T13:52:00Z,54.00,47.74
2026-02-24T13:53:00Z,54.00,47.74
2026-02-24T13:54:00Z,54.00,48.00
2026-02-24T13:55:00Z,54.00,48.00
2026-02-24T14:00:00Z,53.00,48.00
2026-02-24T14:01:00Z,54.00,48.00
2026-02-24T14:02:00Z,54.00,47.00
2026-02-24T14:03:00Z,54.00,47.00
2026-02-24T14:05:00Z,54.00,47.00
2026-02-24T14:06:00Z,53.00,47.00
2026-02-24T14:09:00Z,53.00,47.00
2026-02-24T14:10:00Z,54.00,47.00
2026-02-24T14:11:00Z,54.00,47.99
2026-02-24T14:12:00Z,54.00,48.00
2026-02-24T14:13:00Z,54.00,48.00
2026-02-24T14:14:00Z,54.00,48.00
2026-02-24T14:17:00Z,54.00,47.00
2026-02-24T14:18:00Z,54.00,47.00
2026-02-24T14:19:00Z,54.00,47.00
2026-02-24T14:20:00Z,54.00,47.00
2026-02-24T14:26:00Z,54.00,47.00
2026-02-24T14:27:00Z,54.86,47.00
2026-02-24T14:28:00Z,55.68,47.00
2026-02-24T14:29:00Z,55.74,47.00
2026-02-24T14:30:00Z,55.04,47.00
2026-02-24T14:31:00Z,56.00,47.00
2026-02-24T14:34:00Z,56.00,47.00
2026-02-24T14:35:00Z,56.00,47.00
2026-02-24T14:36:00Z,56.00,47.00
2026-02-24T14:37:00Z,56.00,47.00
2026-02-24T14:38:00Z,56.00,47.00
2026-02-24T14:40:00Z,56.00,48.00
2026-02-24T14:42:00Z,55.00,48.00
2026-02-24T14:49:00Z,55.00,48.00
2026-02-24T14:50:00Z,55.00,48.00
2026-02-24T14:53:00Z,55.00,47.00
2026-02-24T14:55:00Z,55.00,47.00
2026-02-24T14:56:00Z,55.00,47.00
2026-02-24T14:59:00Z,55.00,47.00
2026-02-24T15:00:00Z,55.00,47.00
2026-02-24T15:02:00Z,55.00,47.00
2026-02-24T15:09:00Z,55.00,47.83
2026-02-24T15:10:00Z,54.00,48.00
2026-02-24T15:11:00Z,54.00,48.00
2026-02-24T15:13:00Z,54.00,48.00
2026-02-24T15:15:00Z,54.00,48.00
2026-02-24T15:16:00Z,54.00,48.00
2026-02-24T15:17:00Z,54.00,48.00
2026-02-24T15:19:00Z,54.00,48.00
2026-02-24T15:21:00Z,54.00,48.00
2026-02-24T15:22:00Z,54.00,48.00
2026-02-24T15:24:00Z,54.00,48.00
2026-02-24T15:25:00Z,54.00,48.00
2026-02-24T15:26:00Z,54.00,48.00
2026-02-24T15:27:00Z,54.67,48.00
2026-02-24T15:28:00Z,54.67,48.00
2026-02-24T15:29:00Z,55.00,48.00
2026-02-24T15:30:00Z,54.00,48.00
2026-02-24T15:32:00Z,54.00,47.99
2026-02-24T15:33:00Z,54.00,47.99
2026-02-24T15:34:00Z,54.03,47.99
2026-02-24T15:35:00Z,54.00,47.99
2026-02-24T15:37:00Z,54.00,48.00
2026-02-24T15:38:00Z,54.00,48.00
2026-02-24T15:39:00Z,54.34,48.00
2026-02-24T15:40:00Z,54.00,48.00
2026-02-24T15:41:00Z,54.00,48.00
2026-02-24T15:42:00Z,54.00,48.00
2026-02-24T15:43:00Z,54.00,48.00
2026-02-24T15:44:00Z,54.00,48.00
2026-02-24T15:45:00Z,54.00,48.00
2026-02-24T15:46:00Z,53.95,48.00
2026-02-24T15:47:00Z,54.00,48.00
2026-02-24T15:48:00Z,54.00,48.00
2026-02-24T15:49:00Z,54.13,48.00
2026-02-24T15:50:00Z,54.06,47.99
2026-02-24T15:51:00Z,54.52,47.95
2026-02-24T15:52:00Z,53.45,48.00
2026-02-24T15:53:00Z,55.00,46.16
2026-02-24T15:54:00Z,53.34,46.12
2026-02-24T15:55:00Z,52.00,48.00
2026-02-24T15:56:00Z,51.32,48.22
2026-02-24T15:57:00Z,54.00,50.10
2026-02-24T15:58:00Z,44.20,66.02
2026-02-24T15:59:00Z,35.87,65.01
2026-02-24T16:00:00Z,32.47,68.60
2026-02-24T16:01:00Z,33.18,68.90
2026-02-24T16:02:00Z,33.00,68.94
2026-02-24T16:03:00Z,34.03,68.00
2026-02-24T16:04:00Z,33.90,67.97
2026-02-24T16:05:00Z,34.54,68.79
2026-02-24T16:06:00Z,33.37,69.18
2026-02-24T16:07:00Z,31.76,70.69
2026-02-24T16:08:00Z,30.19,71.00
2026-02-24T16:09:00Z,30.07,71.46
2026-02-24T16:10:00Z,29.70,71.98
2026-02-24T16:11:00Z,30.18,71.04
2026-02-24T16:12:00Z,30.35,71.46
2026-02-24T16:13:00Z,30.76,69.16
2026-02-24T16:14:00Z,32.29,69.08
2026-02-24T16:15:00Z,39.84,62.80
2026-02-24T16:16:00Z,31.38,69.68
2026-02-24T16:17:00Z,30.00,71.77
2026-02-24T16:18:00Z,30.82,71.91
2026-02-24T16:19:00Z,30.36,71.00
2026-02-24T16:20:00Z,31.87,70.44
2026-02-24T16:21:00Z,29.78,71.17
2026-02-24T16:22:00Z,28.10,71.75
