# event_ticker=KXATPMATCH-26FEB10BERMED
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Hamad Medjedovic
# fav_player=Zizou Bergs
# dog_player=Hamad Medjedovic
# kalshi_date=2026-02-10
timestamp,Zizou Bergs,Hamad Medjedovic
2026-02-10T20:25:00Z,53.00,48.99
2026-02-10T20:26:00Z,54.00,49.00
2026-02-10T20:27:00Z,53.00,48.00
2026-02-10T20:28:00Z,53.00,45.19
2026-02-10T20:29:00Z,53.00,47.00
2026-02-10T20:30:00Z,53.00,48.00
2026-02-10T20:31:00Z,53.00,48.00
2026-02-10T20:32:00Z,51.67,48.00
2026-02-10T20:33:00Z,52.33,48.00
2026-02-10T20:34:00Z,52.97,48.00
2026-02-10T20:35:00Z,53.62,48.00
2026-02-10T20:36:00Z,54.00,48.99
2026-02-10T20:37:00Z,56.64,46.02
2026-02-10T20:38:00Z,54.04,46.73
2026-02-10T20:39:00Z,62.31,42.12
2026-02-10T20:40:00Z,63.29,39.93
2026-02-10T20:41:00Z,60.41,43.23
2026-02-10T20:42:00Z,57.69,45.01
2026-02-10T20:43:00Z,60.70,37.07
2026-02-10T20:44:00Z,62.43,37.69
2026-02-10T20:45:00Z,57.44,42.74
2026-02-10T20:46:00Z,57.29,44.86
2026-02-10T20:47:00Z,55.79,44.35
2026-02-10T20:48:00Z,60.62,41.13
2026-02-10T20:49:00Z,62.40,40.00
2026-02-10T20:50:00Z,65.06,37.12
2026-02-10T20:51:00Z,60.79,42.50
2026-02-10T20:52:00Z,57.97,43.50
2026-02-10T20:53:00Z,58.00,42.30
2026-02-10T20:54:00Z,60.78,39.99
2026-02-10T20:55:00Z,63.75,36.03
2026-02-10T20:56:00Z,62.10,39.00
2026-02-10T20:57:00Z,66.57,31.11
2026-02-10T20:58:00Z,73.99,24.91
2026-02-10T20:59:00Z,76.33,22.21
2026-02-10T21:00:00Z,78.91,22.74
2026-02-10T21:01:00Z,79.87,20.74
2026-02-10T21:02:00Z,79.94,20.77
2026-02-10T21:03:00Z,80.01,20.07
2026-02-10T21:04:00Z,80.96,20.98
2026-02-10T21:05:00Z,80.73,21.35
2026-02-10T21:06:00Z,82.75,17.19
2026-02-10T21:07:00Z,84.47,19.80
2026-02-10T21:08:00Z,82.11,19.49
2026-02-10T21:09:00Z,84.54,16.40
2026-02-10T21:10:00Z,85.94,14.71
2026-02-10T21:11:00Z,86.91,15.74
2026-02-10T21:12:00Z,87.00,14.20
2026-02-10T21:13:00Z,87.00,12.04
2026-02-10T21:14:00Z,85.00,15.00
2026-02-10T21:15:00Z,85.38,15.86
2026-02-10T21:16:00Z,83.32,17.69
2026-02-10T21:17:00Z,81.46,20.18
2026-02-10T21:18:00Z,82.23,20.56
2026-02-10T21:19:00Z,79.25,20.69
2026-02-10T21:20:00Z,80.00,21.91
2026-02-10T21:21:00Z,79.06,21.88
2026-02-10T21:22:00Z,80.03,21.42
2026-02-10T21:23:00Z,76.95,21.26
2026-02-10T21:24:00Z,66.83,36.20
2026-02-10T21:25:00Z,57.50,42.93
2026-02-10T21:26:00Z,56.06,46.04
2026-02-10T21:27:00Z,61.23,39.80
2026-02-10T21:28:00Z,61.59,36.13
2026-02-10T21:29:00Z,54.98,46.21
2026-02-10T21:30:00Z,55.63,46.06
2026-02-10T21:31:00Z,56.54,45.78
2026-02-10T21:32:00Z,62.89,39.81
2026-02-10T21:33:00Z,60.38,40.23
2026-02-10T21:34:00Z,50.79,51.11
2026-02-10T21:35:00Z,53.14,49.58
2026-02-10T21:36:00Z,45.11,54.81
2026-02-10T21:37:00Z,48.57,58.44
2026-02-10T21:38:00Z,46.50,55.05
2026-02-10T21:39:00Z,38.01,61.50
2026-02-10T21:40:00Z,40.65,59.72
2026-02-10T21:41:00Z,36.48,63.97
2026-02-10T21:42:00Z,37.99,62.31
2026-02-10T21:43:00Z,37.53,62.74
2026-02-10T21:44:00Z,36.81,63.40
2026-02-10T21:45:00Z,36.86,63.74
2026-02-10T21:46:00Z,39.06,61.30
2026-02-10T21:47:00Z,41.61,59.90
2026-02-10T21:48:00Z,34.31,66.78
2026-02-10T21:49:00Z,29.53,69.40
2026-02-10T21:50:00Z,37.60,65.19
2026-02-10T21:51:00Z,36.83,62.99
2026-02-10T21:52:00Z,34.83,63.74
2026-02-10T21:53:00Z,29.72,68.36
2026-02-10T21:54:00Z,30.65,67.94
2026-02-10T21:55:00Z,37.82,62.82
2026-02-10T21:56:00Z,38.55,61.59
2026-02-10T21:57:00Z,39.65,61.62
2026-02-10T21:58:00Z,39.56,64.11
2026-02-10T21:59:00Z,36.49,65.65
2026-02-10T22:00:00Z,32.66,67.19
2026-02-10T22:01:00Z,33.32,66.99
2026-02-10T22:02:00Z,23.71,75.59
2026-02-10T22:03:00Z,28.13,76.91
2026-02-10T22:04:00Z,34.08,67.24
2026-02-10T22:05:00Z,36.87,63.38
2026-02-10T22:06:00Z,36.98,64.00
2026-02-10T22:07:00Z,35.68,63.26
2026-02-10T22:08:00Z,32.80,68.14
2026-02-10T22:09:00Z,27.14,73.90
2026-02-10T22:10:00Z,31.74,70.16
2026-02-10T22:11:00Z,34.28,66.61
2026-02-10T22:12:00Z,31.33,71.26
2026-02-10T22:13:00Z,32.27,70.61
2026-02-10T22:14:00Z,31.69,70.56
2026-02-10T22:15:00Z,34.15,66.39
2026-02-10T22:16:00Z,34.35,65.92
2026-02-10T22:17:00Z,37.48,62.94
2026-02-10T22:18:00Z,37.93,62.29
2026-02-10T22:19:00Z,32.78,68.75
2026-02-10T22:20:00Z,30.06,70.12
2026-02-10T22:21:00Z,33.13,67.82
2026-02-10T22:22:00Z,32.71,69.34
2026-02-10T22:23:00Z,26.64,72.70
2026-02-10T22:24:00Z,25.70,71.96
2026-02-10T22:25:00Z,33.81,66.63
2026-02-10T22:26:00Z,34.82,65.91
2026-02-10T22:27:00Z,36.49,64.56
2026-02-10T22:28:00Z,37.33,64.17
2026-02-10T22:29:00Z,33.80,67.90
2026-02-10T22:30:00Z,31.16,70.03
2026-02-10T22:31:00Z,27.40,73.98
2026-02-10T22:32:00Z,30.05,72.13
2026-02-10T22:33:00Z,30.59,72.11
2026-02-10T22:34:00Z,33.70,66.89
2026-02-10T22:35:00Z,35.44,66.39
2026-02-10T22:36:00Z,35.20,65.49
2026-02-10T22:37:00Z,34.84,63.75
2026-02-10T22:38:00Z,34.76,65.45
2026-02-10T22:39:00Z,34.14,67.06
2026-02-10T22:40:00Z,29.75,71.94
2026-02-10T22:41:00Z,21.58,79.20
2026-02-10T22:42:00Z,14.27,88.20
2026-02-10T22:43:00Z,5.11,94.41
2026-02-10T22:44:00Z,6.20,94.65
2026-02-10T22:45:00Z,8.51,92.73
2026-02-10T22:46:00Z,14.62,86.27
2026-02-10T22:47:00Z,23.08,81.48
2026-02-10T22:48:00Z,34.19,67.47
2026-02-10T22:49:00Z,37.95,63.33
2026-02-10T22:50:00Z,31.51,69.05
2026-02-10T22:51:00Z,40.27,60.24
2026-02-10T22:52:00Z,50.36,48.87
2026-02-10T22:53:00Z,48.52,53.87
2026-02-10T22:54:00Z,50.53,52.00
2026-02-10T22:55:00Z,27.13,75.02
2026-02-10T22:56:00Z,11.08,95.30
2026-02-10T22:57:00Z,1.00,99.00
2026-02-10T22:58:00Z,1.00,99.00
2026-02-10T22:59:00Z,1.00,99.00
2026-02-10T23:00:00Z,1.00,99.00
2026-02-10T23:01:00Z,1.00,99.00
2026-02-10T23:02:00Z,1.00,99.00
2026-02-10T23:03:00Z,1.00,99.00
