# event_ticker=KXATPCHALLENGERMATCH-26JUN01GIUTOP
# final_score=2-6 6-2 6-4
# score_resolution=6-2 2-6 4-6
# match_winner=Marko Topo
# fav_player=Lorenzo Giustino
# dog_player=Marko ToPo
# kalshi_date=2026-06-01
timestamp,Lorenzo Giustino,Marko ToPo
2026-06-01T17:18:00Z,80.03,20.66
2026-06-01T17:19:00Z,79.73,22.46
2026-06-01T17:20:00Z,78.75,22.42
2026-06-01T17:21:00Z,75.50,24.46
2026-06-01T17:22:00Z,72.79,28.44
2026-06-01T17:23:00Z,63.97,37.91
2026-06-01T17:24:00Z,64.59,37.66
2026-06-01T17:25:00Z,65.50,37.05
2026-06-01T17:26:00Z,69.09,31.87
2026-06-01T17:27:00Z,66.61,39.22
2026-06-01T17:28:00Z,60.91,40.37
2026-06-01T17:29:00Z,61.37,38.25
2026-06-01T17:30:00Z,58.06,42.23
2026-06-01T17:31:00Z,53.96,47.19
2026-06-01T17:32:00Z,50.76,50.00
2026-06-01T17:33:00Z,49.74,50.02
2026-06-01T17:34:00Z,47.99,52.01
2026-06-01T17:35:00Z,46.81,54.00
2026-06-01T17:36:00Z,46.99,53.80
2026-06-01T17:37:00Z,47.00,53.97
2026-06-01T17:38:00Z,47.04,53.12
2026-06-01T17:39:00Z,47.77,52.85
2026-06-01T17:40:00Z,47.13,52.96
2026-06-01T17:41:00Z,45.82,54.34
2026-06-01T17:42:00Z,46.00,54.69
2026-06-01T17:43:00Z,46.00,54.14
2026-06-01T17:44:00Z,50.76,50.24
2026-06-01T17:45:00Z,52.82,48.46
2026-06-01T17:46:00Z,51.83,46.40
2026-06-01T17:47:00Z,52.54,47.44
2026-06-01T17:48:00Z,47.14,53.19
2026-06-01T17:49:00Z,47.98,51.33
2026-06-01T17:50:00Z,50.20,52.37
2026-06-01T17:51:00Z,54.03,46.53
2026-06-01T17:52:00Z,54.28,46.09
2026-06-01T17:53:00Z,50.45,49.40
2026-06-01T17:54:00Z,49.01,52.67
2026-06-01T17:55:00Z,51.27,48.84
2026-06-01T17:56:00Z,55.05,46.37
2026-06-01T17:57:00Z,56.47,44.01
2026-06-01T17:58:00Z,56.82,44.45
2026-06-01T17:59:00Z,51.87,48.53
2026-06-01T18:00:00Z,50.00,50.19
2026-06-01T18:01:00Z,50.84,49.71
2026-06-01T18:02:00Z,56.04,45.50
2026-06-01T18:03:00Z,54.98,45.14
2026-06-01T18:04:00Z,57.83,43.05
2026-06-01T18:05:00Z,58.97,41.91
2026-06-01T18:06:00Z,55.70,45.74
2026-06-01T18:07:00Z,50.96,50.22
2026-06-01T18:08:00Z,48.89,51.45
2026-06-01T18:09:00Z,34.03,66.65
2026-06-01T18:10:00Z,22.14,79.66
2026-06-01T18:11:00Z,22.25,77.41
2026-06-01T18:12:00Z,39.40,59.34
2026-06-01T18:13:00Z,38.59,63.83
2026-06-01T18:14:00Z,42.66,54.83
2026-06-01T18:15:00Z,36.39,65.31
2026-06-01T18:16:00Z,37.19,61.88
2026-06-01T18:17:00Z,12.48,87.29
2026-06-01T18:18:00Z,13.07,87.50
2026-06-01T18:19:00Z,7.60,94.69
2026-06-01T18:20:00Z,9.04,91.90
2026-06-01T18:21:00Z,13.41,91.30
2026-06-01T18:22:00Z,4.57,95.60
2026-06-01T18:23:00Z,1.00,99.00
2026-06-01T18:24:00Z,1.00,99.00
2026-06-01T18:25:00Z,1.00,99.00
2026-06-01T18:26:00Z,1.00,99.00
