# event_ticker=KXATPCHALLENGERMATCH-26MAY26KASRON
# final_score=6-7(5) 6-2 6-3
# score_resolution=7-6 2-6 3-6
# match_winner=Franco Roncadelli
# fav_player=Maks Kasnikowski
# dog_player=Franco Roncadelli
# kalshi_date=2026-05-26
timestamp,Maks Kasnikowski,Franco Roncadelli
2026-05-26T15:02:00Z,68.00,31.26
2026-05-26T15:03:00Z,65.00,34.00
2026-05-26T15:04:00Z,65.00,37.00
2026-05-26T15:05:00Z,64.00,37.79
2026-05-26T15:06:00Z,64.00,41.17
2026-05-26T15:07:00Z,41.79,48.27
2026-05-26T15:08:00Z,35.00,62.70
2026-05-26T15:09:00Z,30.57,66.58
2026-05-26T15:10:00Z,26.41,72.99
2026-05-26T15:11:00Z,30.84,68.45
2026-05-26T15:12:00Z,47.31,54.70
2026-05-26T15:13:00Z,52.59,50.45
2026-05-26T15:14:00Z,51.26,50.75
2026-05-26T15:15:00Z,50.00,52.25
2026-05-26T15:16:00Z,48.75,52.00
2026-05-26T15:17:00Z,47.88,52.00
2026-05-26T15:18:00Z,46.24,56.47
2026-05-26T15:19:00Z,44.63,56.16
2026-05-26T15:20:00Z,44.81,55.00
2026-05-26T15:21:00Z,44.35,57.00
2026-05-26T15:22:00Z,41.42,58.68
2026-05-26T15:23:00Z,40.85,59.72
2026-05-26T15:24:00Z,40.24,59.61
2026-05-26T15:25:00Z,40.24,59.62
2026-05-26T15:26:00Z,41.00,61.01
2026-05-26T15:27:00Z,41.00,62.00
2026-05-26T15:28:00Z,41.00,60.00
2026-05-26T15:29:00Z,41.00,61.00
2026-05-26T15:30:00Z,40.00,61.78
2026-05-26T15:31:00Z,40.00,61.96
2026-05-26T15:32:00Z,40.00,59.15
2026-05-26T15:33:00Z,42.19,58.06
2026-05-26T15:34:00Z,43.04,56.74
2026-05-26T15:35:00Z,44.98,57.00
2026-05-26T15:36:00Z,41.53,57.78
2026-05-26T15:37:00Z,42.56,57.91
2026-05-26T15:38:00Z,37.28,60.27
2026-05-26T15:39:00Z,35.89,64.47
2026-05-26T15:40:00Z,31.16,68.34
2026-05-26T15:41:00Z,25.69,73.25
2026-05-26T15:42:00Z,14.53,87.04
2026-05-26T15:43:00Z,11.97,87.00
2026-05-26T15:44:00Z,11.48,88.82
2026-05-26T15:45:00Z,9.07,91.79
2026-05-26T15:46:00Z,7.97,93.59
2026-05-26T15:47:00Z,7.69,92.06
2026-05-26T15:48:00Z,7.75,93.97
2026-05-26T15:49:00Z,9.01,94.13
2026-05-26T15:50:00Z,5.31,93.37
2026-05-26T15:51:00Z,4.80,96.27
2026-05-26T15:52:00Z,3.30,97.01
2026-05-26T15:53:00Z,2.84,98.10
2026-05-26T15:54:00Z,1.67,96.85
2026-05-26T15:55:00Z,2.68,98.30
2026-05-26T15:56:00Z,2.43,98.44
2026-05-26T15:57:00Z,1.27,99.00
2026-05-26T15:58:00Z,1.06,98.04
2026-05-26T15:59:00Z,1.00,99.00
2026-05-26T16:00:00Z,1.00,99.00
2026-05-26T16:01:00Z,2.34,98.71
2026-05-26T16:02:00Z,1.19,98.71
2026-05-26T16:03:00Z,1.92,99.00
2026-05-26T16:04:00Z,3.46,96.43
2026-05-26T16:05:00Z,2.70,97.37
2026-05-26T16:06:00Z,4.95,96.05
2026-05-26T16:07:00Z,3.27,97.45
2026-05-26T16:08:00Z,5.16,95.50
2026-05-26T16:09:00Z,7.00,92.23
2026-05-26T16:10:00Z,7.58,93.51
2026-05-26T16:11:00Z,8.16,94.06
2026-05-26T16:12:00Z,9.99,91.14
2026-05-26T16:13:00Z,8.63,91.66
2026-05-26T16:14:00Z,9.41,91.97
2026-05-26T16:15:00Z,6.47,94.65
2026-05-26T16:16:00Z,1.56,98.02
2026-05-26T16:17:00Z,1.56,99.00
2026-05-26T16:18:00Z,1.00,99.00
