# event_ticker=KXATPCHALLENGERMATCH-26MAR19TRASQU
# final_score=6-3 6-2
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Henri Squire
# kalshi_date=2026-03-19
timestamp,Stefano Travaglia,Henri Squire
2026-03-19T06:51:00Z,60.94,42.00
2026-03-19T06:52:00Z,61.00,42.00
2026-03-19T06:53:00Z,61.00,42.00
2026-03-19T06:58:00Z,61.00,42.00
2026-03-19T09:02:00Z,61.00,42.00
2026-03-19T09:07:00Z,61.00,42.00
2026-03-19T09:13:00Z,61.00,42.00
2026-03-19T09:18:00Z,61.00,42.00
2026-03-19T09:19:00Z,61.00,42.00
2026-03-19T09:25:00Z,61.00,41.00
2026-03-19T09:28:00Z,61.00,41.00
2026-03-19T09:31:00Z,61.51,41.00
2026-03-19T09:33:00Z,61.51,41.00
2026-03-19T09:34:00Z,61.51,41.00
2026-03-19T09:35:00Z,61.51,41.00
2026-03-19T09:47:00Z,61.51,41.00
2026-03-19T09:48:00Z,61.51,41.00
2026-03-19T09:50:00Z,61.00,41.00
2026-03-19T09:56:00Z,61.00,41.00
2026-03-19T10:03:00Z,61.00,41.00
2026-03-19T10:06:00Z,61.00,41.00
2026-03-19T10:07:00Z,61.00,41.00
2026-03-19T10:10:00Z,61.00,41.00
2026-03-19T10:11:00Z,61.00,41.00
2026-03-19T10:13:00Z,60.00,41.00
2026-03-19T10:18:00Z,60.00,41.00
2026-03-19T10:20:00Z,60.00,40.00
2026-03-19T10:21:00Z,60.00,39.00
2026-03-19T10:22:00Z,61.00,39.00
2026-03-19T10:23:00Z,61.00,39.00
2026-03-19T10:24:00Z,61.00,39.00
2026-03-19T10:27:00Z,61.00,39.00
2026-03-19T10:28:00Z,61.00,41.00
2026-03-19T10:30:00Z,61.00,41.00
2026-03-19T10:31:00Z,61.00,41.00
2026-03-19T10:33:00Z,61.00,41.00
2026-03-19T10:35:00Z,61.00,41.00
2026-03-19T10:40:00Z,61.00,41.00
2026-03-19T10:41:00Z,61.00,41.00
2026-03-19T10:42:00Z,62.29,39.00
2026-03-19T10:45:00Z,62.00,39.00
2026-03-19T10:47:00Z,62.00,39.00
2026-03-19T10:48:00Z,62.00,39.00
2026-03-19T10:49:00Z,62.00,39.00
2026-03-19T10:57:00Z,62.00,39.00
2026-03-19T10:59:00Z,62.00,39.00
2026-03-19T11:00:00Z,62.00,39.00
2026-03-19T11:02:00Z,61.00,39.00
