# event_ticker=KXATPCHALLENGERMATCH-26FEB24BARFER
# final_score=6-3 6-4
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Petr Bar Biryukov
# kalshi_date=2026-02-24
timestamp,Frederico Ferreira Silva,Petr Bar Biryukov
2026-02-24T06:31:00Z,88.94,11.94
2026-02-24T06:32:00Z,88.47,12.73
2026-02-24T06:33:00Z,87.99,12.77
2026-02-24T06:34:00Z,87.99,12.22
2026-02-24T06:35:00Z,88.53,12.93
2026-02-24T06:36:00Z,88.32,13.61
2026-02-24T06:37:00Z,89.00,12.72
2026-02-24T06:38:00Z,88.61,13.43
2026-02-24T06:39:00Z,86.53,14.50
2026-02-24T06:40:00Z,86.84,14.10
2026-02-24T06:41:00Z,85.95,15.04
2026-02-24T06:42:00Z,84.98,16.28
2026-02-24T06:43:00Z,84.84,16.23
2026-02-24T06:44:00Z,84.29,16.30
2026-02-24T06:45:00Z,86.07,14.72
2026-02-24T06:46:00Z,86.50,14.98
2026-02-24T06:47:00Z,85.64,15.71
2026-02-24T06:48:00Z,86.74,15.42
2026-02-24T06:49:00Z,87.97,14.05
2026-02-24T06:50:00Z,84.72,15.98
2026-02-24T06:51:00Z,84.07,16.64
2026-02-24T06:52:00Z,86.40,13.57
2026-02-24T06:53:00Z,88.82,13.70
2026-02-24T06:54:00Z,88.76,14.47
2026-02-24T06:55:00Z,85.43,16.44
2026-02-24T06:56:00Z,85.94,15.28
2026-02-24T06:57:00Z,89.06,11.17
2026-02-24T06:58:00Z,89.10,12.92
2026-02-24T06:59:00Z,88.43,13.77
2026-02-24T07:00:00Z,87.38,14.08
2026-02-24T07:01:00Z,87.43,12.99
2026-02-24T07:02:00Z,86.99,14.81
2026-02-24T07:03:00Z,85.51,15.20
2026-02-24T07:04:00Z,86.24,14.86
2026-02-24T07:05:00Z,87.04,13.73
2026-02-24T07:06:00Z,87.53,14.34
2026-02-24T07:07:00Z,83.65,18.34
2026-02-24T07:08:00Z,84.29,18.13
2026-02-24T07:09:00Z,84.27,15.32
2026-02-24T07:10:00Z,88.00,11.11
2026-02-24T07:11:00Z,95.63,4.54
2026-02-24T07:12:00Z,95.89,3.29
2026-02-24T07:13:00Z,97.97,2.45
2026-02-24T07:14:00Z,98.24,1.69
2026-02-24T07:15:00Z,97.86,2.23
2026-02-24T07:16:00Z,98.06,2.26
2026-02-24T07:17:00Z,98.90,1.97
2026-02-24T07:18:00Z,99.00,1.32
2026-02-24T07:19:00Z,99.00,1.21
2026-02-24T07:20:00Z,98.51,1.87
2026-02-24T07:21:00Z,98.45,2.22
2026-02-24T07:22:00Z,98.03,2.81
2026-02-24T07:23:00Z,98.35,1.84
2026-02-24T07:24:00Z,99.00,1.06
2026-02-24T07:25:00Z,99.00,1.00
2026-02-24T07:26:00Z,99.00,1.00
2026-02-24T07:27:00Z,99.00,1.00
2026-02-24T07:28:00Z,99.00,1.00
2026-02-24T07:29:00Z,99.00,1.00
2026-02-24T07:30:00Z,99.00,1.00
2026-02-24T07:31:00Z,99.00,1.00
2026-02-24T07:32:00Z,99.00,1.00
