# event_ticker=KXATPCHALLENGERMATCH-26MAY11LAZEI
# final_score=6-3 6-4
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Maximo Zeitune
# kalshi_date=2026-05-11
timestamp,Juan Manuel La Serna,Maximo Zeitune
2026-05-11T17:07:00Z,65.00,35.72
2026-05-11T17:08:00Z,64.00,38.00
2026-05-11T17:09:00Z,67.00,38.00
2026-05-11T17:10:00Z,67.00,38.00
2026-05-11T17:11:00Z,66.75,38.00
2026-05-11T17:12:00Z,67.00,35.96
2026-05-11T17:13:00Z,74.55,30.00
2026-05-11T17:14:00Z,78.85,23.00
2026-05-11T17:15:00Z,86.00,15.09
2026-05-11T17:16:00Z,86.51,14.00
2026-05-11T17:17:00Z,87.00,14.00
2026-05-11T17:18:00Z,85.43,13.00
2026-05-11T17:19:00Z,87.00,13.00
2026-05-11T17:20:00Z,87.00,13.00
2026-05-11T17:21:00Z,84.14,15.41
2026-05-11T17:22:00Z,85.06,14.00
2026-05-11T17:23:00Z,86.03,15.96
2026-05-11T17:24:00Z,86.03,14.00
2026-05-11T17:25:00Z,86.27,14.56
2026-05-11T17:26:00Z,88.11,14.00
2026-05-11T17:27:00Z,87.12,14.41
2026-05-11T17:28:00Z,83.26,17.74
2026-05-11T17:29:00Z,86.43,14.96
2026-05-11T17:30:00Z,86.00,14.96
2026-05-11T17:31:00Z,87.01,13.32
2026-05-11T17:32:00Z,90.10,9.18
2026-05-11T17:33:00Z,89.59,11.84
2026-05-11T17:34:00Z,90.44,10.87
2026-05-11T17:35:00Z,86.24,13.99
2026-05-11T17:36:00Z,89.75,13.00
2026-05-11T17:37:00Z,93.50,9.24
2026-05-11T17:38:00Z,94.00,5.88
2026-05-11T17:39:00Z,95.18,4.50
2026-05-11T17:40:00Z,96.72,5.05
2026-05-11T17:41:00Z,97.00,4.67
2026-05-11T17:42:00Z,96.00,3.99
2026-05-11T17:43:00Z,96.00,4.96
2026-05-11T17:44:00Z,96.00,5.00
2026-05-11T17:45:00Z,96.00,5.00
2026-05-11T17:46:00Z,96.98,4.02
2026-05-11T17:47:00Z,97.00,3.87
2026-05-11T17:48:00Z,96.36,5.16
2026-05-11T17:49:00Z,95.08,5.31
2026-05-11T17:50:00Z,95.03,5.27
2026-05-11T17:51:00Z,97.00,4.13
2026-05-11T17:52:00Z,96.00,4.98
2026-05-11T17:53:00Z,96.00,4.99
2026-05-11T17:54:00Z,93.29,7.00
2026-05-11T17:55:00Z,90.34,10.55
2026-05-11T17:56:00Z,93.63,7.44
2026-05-11T17:57:00Z,91.76,10.00
2026-05-11T17:58:00Z,92.21,8.66
2026-05-11T17:59:00Z,95.79,4.72
2026-05-11T18:00:00Z,97.22,3.61
2026-05-11T18:01:00Z,97.59,3.94
2026-05-11T18:02:00Z,97.89,3.87
2026-05-11T18:03:00Z,98.14,3.09
2026-05-11T18:04:00Z,97.95,3.37
2026-05-11T18:05:00Z,99.00,1.91
2026-05-11T18:06:00Z,98.09,1.84
2026-05-11T18:07:00Z,97.96,2.99
2026-05-11T18:08:00Z,96.60,3.91
2026-05-11T18:09:00Z,97.00,3.99
2026-05-11T18:10:00Z,97.32,3.75
2026-05-11T18:11:00Z,97.34,4.93
2026-05-11T18:12:00Z,98.95,1.82
2026-05-11T18:13:00Z,98.33,3.10
2026-05-11T18:14:00Z,95.96,7.56
2026-05-11T18:15:00Z,98.15,2.66
2026-05-11T18:16:00Z,98.78,2.07
2026-05-11T18:17:00Z,99.00,1.00
2026-05-11T18:18:00Z,99.00,1.00
2026-05-11T18:19:00Z,99.00,1.00
2026-05-11T18:20:00Z,99.00,1.00
2026-05-11T18:21:00Z,99.00,1.00
2026-05-11T18:22:00Z,99.00,1.00
2026-05-11T18:23:00Z,99.00,1.00
2026-05-11T18:24:00Z,99.00,1.00
2026-05-11T18:25:00Z,99.00,1.00
2026-05-11T18:26:00Z,99.00,1.00
2026-05-11T18:27:00Z,99.00,1.00
2026-05-11T18:31:00Z,99.00,1.00
