# event_ticker=KXATPCHALLENGERMATCH-26FEB17PAGMID
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Lautaro Midon
# fav_player=Dante Pagani
# dog_player=Lautaro Midon
# kalshi_date=2026-02-17
timestamp,Dante Pagani,Lautaro Midon
2026-02-17T14:11:00Z,2.99,97.89
2026-02-17T14:12:00Z,2.08,98.00
2026-02-17T14:13:00Z,3.00,98.00
2026-02-17T14:14:00Z,3.00,98.00
2026-02-17T14:15:00Z,2.20,98.01
2026-02-17T14:16:00Z,3.00,99.00
2026-02-17T14:17:00Z,2.94,99.00
2026-02-17T14:18:00Z,1.00,99.00
2026-02-17T14:19:00Z,1.97,99.00
2026-02-17T14:20:00Z,1.95,99.00
2026-02-17T14:21:00Z,1.94,98.00
2026-02-17T14:22:00Z,2.50,98.00
2026-02-17T14:23:00Z,3.00,98.98
2026-02-17T14:24:00Z,1.42,98.98
2026-02-17T14:26:00Z,1.12,98.98
2026-02-17T14:27:00Z,1.00,99.00
2026-02-17T14:28:00Z,2.00,99.00
2026-02-17T14:29:00Z,1.00,99.00
2026-02-17T14:30:00Z,1.13,99.00
2026-02-17T14:33:00Z,1.00,99.00
2026-02-17T14:38:00Z,1.00,99.00
2026-02-17T14:41:00Z,1.00,99.00
