# event_ticker=KXATPMATCH-26FEB11BUSBAE
# final_score=6-4 6-3
# match_winner=Sebastian Baez
# fav_player=Sebastian Baez
# dog_player=Ignacio Buse
# kalshi_date=2026-02-11
timestamp,Sebastian Baez,Ignacio Buse
2026-02-12T19:38:00Z,72.00,28.00
2026-02-12T19:41:00Z,72.00,28.00
2026-02-12T19:42:00Z,72.00,28.00
2026-02-12T19:45:00Z,72.00,28.00
2026-02-12T19:47:00Z,72.00,28.00
2026-02-12T19:48:00Z,72.00,28.00
2026-02-12T19:49:00Z,72.00,28.00
2026-02-12T19:50:00Z,72.00,28.00
2026-02-12T19:52:00Z,72.00,28.00
2026-02-12T19:55:00Z,72.00,28.00
2026-02-12T20:04:00Z,72.00,28.00
2026-02-12T20:09:00Z,72.00,28.00
2026-02-12T20:12:00Z,72.00,28.00
2026-02-12T20:17:00Z,72.00,28.00
2026-02-12T20:22:00Z,72.00,28.00
2026-02-12T20:24:00Z,72.00,28.00
2026-02-12T20:25:00Z,72.00,28.00
2026-02-12T20:26:00Z,72.00,28.00
2026-02-12T20:27:00Z,72.00,28.00
2026-02-12T20:29:00Z,72.00,28.00
2026-02-12T20:30:00Z,72.00,29.00
2026-02-12T20:31:00Z,72.00,29.00
2026-02-12T20:34:00Z,72.00,29.00
2026-02-12T20:36:00Z,72.00,29.00
2026-02-12T20:37:00Z,72.00,29.00
2026-02-12T20:39:00Z,72.00,29.00
2026-02-12T20:44:00Z,72.00,29.00
2026-02-12T20:45:00Z,72.00,29.00
2026-02-12T20:46:00Z,72.00,29.00
2026-02-12T20:49:00Z,72.00,29.00
2026-02-12T20:50:00Z,72.00,29.00
2026-02-12T20:51:00Z,72.00,29.00
2026-02-12T20:54:00Z,72.00,29.00
2026-02-12T20:57:00Z,72.00,29.00
2026-02-12T20:58:00Z,72.00,29.00
2026-02-12T21:03:00Z,72.00,29.00
2026-02-12T21:04:00Z,72.00,29.00
2026-02-12T21:05:00Z,72.00,29.00
2026-02-12T21:06:00Z,72.00,29.00
2026-02-12T21:07:00Z,72.00,29.00
2026-02-12T21:08:00Z,72.00,29.00
2026-02-12T21:09:00Z,72.00,29.00
2026-02-12T21:10:00Z,72.00,29.00
2026-02-12T21:12:00Z,72.64,29.00
2026-02-12T21:13:00Z,72.50,29.00
2026-02-12T21:14:00Z,73.00,29.00
2026-02-12T21:15:00Z,73.00,29.00
2026-02-12T21:16:00Z,73.00,29.00
2026-02-12T21:17:00Z,73.00,28.99
2026-02-12T21:18:00Z,73.00,28.99
2026-02-12T21:19:00Z,73.00,29.00
2026-02-12T21:20:00Z,73.00,29.00
2026-02-12T21:21:00Z,73.00,29.00
2026-02-12T21:22:00Z,73.00,29.00
2026-02-12T21:23:00Z,73.00,29.00
2026-02-12T21:24:00Z,72.00,29.00
2026-02-12T21:25:00Z,72.00,30.00
2026-02-12T21:26:00Z,72.00,30.00
2026-02-12T21:27:00Z,72.00,30.00
2026-02-12T21:28:00Z,72.00,30.00
2026-02-12T21:29:00Z,71.00,30.00
2026-02-12T21:30:00Z,71.00,30.00
2026-02-12T21:31:00Z,71.00,30.00
2026-02-12T21:32:00Z,71.00,29.86
2026-02-12T21:33:00Z,72.00,30.00
2026-02-12T21:34:00Z,71.97,29.95
2026-02-12T21:35:00Z,72.00,30.00
2026-02-12T21:36:00Z,72.00,30.00
2026-02-12T21:37:00Z,71.00,29.74
2026-02-12T21:38:00Z,71.00,30.00
2026-02-12T21:39:00Z,72.10,28.41
2026-02-12T21:40:00Z,72.47,28.73
2026-02-12T21:41:00Z,73.37,28.62
2026-02-12T21:42:00Z,72.62,31.74
2026-02-12T21:43:00Z,69.37,32.88
2026-02-12T21:44:00Z,67.32,34.42
2026-02-12T21:45:00Z,66.10,35.83
2026-02-12T21:46:00Z,69.21,32.36
2026-02-12T21:47:00Z,65.64,35.27
2026-02-12T21:48:00Z,67.64,33.08
2026-02-12T21:49:00Z,69.94,31.42
