# event_ticker=KXATPCHALLENGERMATCH-26APR28MAEDAM
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Miguel Damas
# fav_player=Miguel Damas
# dog_player=Francesco Maestrelli
# kalshi_date=2026-04-28
timestamp,Francesco Maestrelli,Miguel Damas
2026-04-28T15:14:00Z,34.20,66.49
2026-04-28T15:15:00Z,35.96,64.09
2026-04-28T15:16:00Z,37.16,64.45
2026-04-28T15:17:00Z,33.01,66.37
2026-04-28T15:18:00Z,33.02,66.77
2026-04-28T15:19:00Z,31.97,68.00
2026-04-28T15:20:00Z,35.01,64.01
2026-04-28T15:21:00Z,35.77,65.30
2026-04-28T15:22:00Z,36.42,66.96
2026-04-28T15:23:00Z,36.96,63.98
2026-04-28T15:24:00Z,37.38,64.00
2026-04-28T15:25:00Z,35.16,66.97
2026-04-28T15:26:00Z,34.14,67.86
2026-04-28T15:27:00Z,32.12,68.00
2026-04-28T15:28:00Z,30.50,69.78
2026-04-28T15:29:00Z,31.62,69.27
2026-04-28T15:30:00Z,34.30,67.41
2026-04-28T15:31:00Z,37.74,63.09
2026-04-28T15:32:00Z,40.43,62.00
2026-04-28T15:33:00Z,36.63,62.65
2026-04-28T15:34:00Z,35.97,63.07
2026-04-28T15:35:00Z,36.23,63.55
2026-04-28T15:36:00Z,36.23,64.32
2026-04-28T15:37:00Z,33.68,68.34
2026-04-28T15:38:00Z,33.94,67.84
2026-04-28T15:39:00Z,29.62,71.19
2026-04-28T15:40:00Z,29.76,74.67
2026-04-28T15:41:00Z,26.04,74.17
2026-04-28T15:42:00Z,27.91,75.19
2026-04-28T15:43:00Z,11.12,90.30
2026-04-28T15:44:00Z,8.35,92.89
2026-04-28T15:45:00Z,13.37,91.29
2026-04-28T15:46:00Z,8.20,93.43
2026-04-28T15:47:00Z,6.22,95.15
2026-04-28T15:48:00Z,10.56,85.57
2026-04-28T15:49:00Z,16.83,83.29
2026-04-28T15:50:00Z,9.20,90.14
2026-04-28T15:51:00Z,3.19,97.68
2026-04-28T15:52:00Z,1.00,99.00
2026-04-28T15:53:00Z,1.00,99.00
