# event_ticker=KXATPCHALLENGERMATCH-26MAR03MONDUT
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Thiago Monteiro
# fav_player=Daniel Dutra Da Silva
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-03
timestamp,Daniel Dutra Da Silva,Thiago Monteiro
2026-03-03T22:22:00Z,23.94,76.18
2026-03-03T22:23:00Z,23.68,77.00
2026-03-03T22:24:00Z,22.91,77.00
2026-03-03T22:25:00Z,22.00,79.83
2026-03-03T22:26:00Z,18.64,79.83
2026-03-03T22:27:00Z,20.73,81.00
2026-03-03T22:28:00Z,18.04,81.00
2026-03-03T22:29:00Z,20.98,81.00
2026-03-03T22:30:00Z,18.18,82.00
2026-03-03T22:31:00Z,21.28,81.00
2026-03-03T22:32:00Z,18.20,83.56
2026-03-03T22:33:00Z,14.11,89.25
2026-03-03T22:34:00Z,10.47,90.00
2026-03-03T22:35:00Z,10.86,89.00
2026-03-03T22:36:00Z,10.75,90.44
2026-03-03T22:37:00Z,8.06,91.24
2026-03-03T22:38:00Z,8.58,92.00
2026-03-03T22:39:00Z,10.25,91.00
2026-03-03T22:40:00Z,11.00,91.00
2026-03-03T22:41:00Z,11.00,89.00
2026-03-03T22:42:00Z,12.77,88.88
2026-03-03T22:43:00Z,12.30,88.88
2026-03-03T22:44:00Z,10.33,88.86
2026-03-03T22:45:00Z,12.95,88.94
2026-03-03T22:46:00Z,10.80,91.00
2026-03-03T22:47:00Z,11.75,89.13
2026-03-03T22:48:00Z,12.98,87.00
2026-03-03T22:49:00Z,13.00,87.29
2026-03-03T22:50:00Z,12.03,87.01
2026-03-03T22:51:00Z,11.75,88.81
2026-03-03T22:52:00Z,10.34,88.76
2026-03-03T22:53:00Z,10.33,90.00
2026-03-03T22:54:00Z,9.73,91.33
2026-03-03T22:55:00Z,10.01,90.00
2026-03-03T22:56:00Z,11.54,90.00
2026-03-03T22:57:00Z,11.01,89.70
2026-03-03T22:58:00Z,11.99,89.00
2026-03-03T22:59:00Z,12.00,88.93
2026-03-03T23:00:00Z,12.92,86.81
2026-03-03T23:01:00Z,10.16,91.00
2026-03-03T23:02:00Z,9.66,91.57
2026-03-03T23:03:00Z,9.70,91.57
2026-03-03T23:04:00Z,10.00,90.67
2026-03-03T23:05:00Z,7.39,92.27
2026-03-03T23:06:00Z,8.36,92.00
2026-03-03T23:07:00Z,7.59,92.27
2026-03-03T23:08:00Z,8.23,93.96
2026-03-03T23:09:00Z,8.04,92.85
2026-03-03T23:10:00Z,8.40,92.00
2026-03-03T23:11:00Z,9.56,91.00
2026-03-03T23:12:00Z,9.01,91.04
2026-03-03T23:13:00Z,9.00,92.00
2026-03-03T23:14:00Z,8.54,91.99
2026-03-03T23:15:00Z,7.31,92.31
2026-03-03T23:16:00Z,7.36,92.00
2026-03-03T23:17:00Z,7.11,92.94
2026-03-03T23:18:00Z,7.90,92.94
2026-03-03T23:19:00Z,4.72,96.47
2026-03-03T23:20:00Z,3.60,97.62
2026-03-03T23:21:00Z,2.81,98.00
2026-03-03T23:22:00Z,2.32,98.00
2026-03-03T23:23:00Z,2.16,98.00
2026-03-03T23:24:00Z,2.58,99.00
2026-03-03T23:25:00Z,2.86,98.05
2026-03-03T23:26:00Z,2.87,98.01
2026-03-03T23:27:00Z,3.00,99.00
2026-03-03T23:28:00Z,1.91,99.00
2026-03-03T23:29:00Z,3.00,98.00
2026-03-03T23:30:00Z,2.99,98.00
2026-03-03T23:31:00Z,4.00,97.00
2026-03-03T23:32:00Z,5.31,94.69
2026-03-03T23:33:00Z,6.77,93.00
2026-03-03T23:34:00Z,6.67,93.33
2026-03-03T23:35:00Z,10.38,88.89
2026-03-03T23:36:00Z,13.40,86.77
2026-03-03T23:37:00Z,11.94,88.00
2026-03-03T23:38:00Z,7.23,91.98
2026-03-03T23:39:00Z,3.22,96.91
2026-03-03T23:40:00Z,2.77,99.00
2026-03-03T23:41:00Z,2.02,98.52
2026-03-03T23:42:00Z,1.39,98.09
2026-03-03T23:43:00Z,1.95,98.92
2026-03-03T23:44:00Z,1.55,98.75
2026-03-03T23:45:00Z,2.98,98.75
2026-03-03T23:46:00Z,2.05,98.03
2026-03-03T23:47:00Z,2.12,98.00
2026-03-03T23:48:00Z,1.79,98.12
2026-03-03T23:49:00Z,1.49,97.80
2026-03-03T23:50:00Z,3.15,98.15
2026-03-03T23:51:00Z,3.24,97.11
2026-03-03T23:52:00Z,2.62,97.00
2026-03-03T23:53:00Z,1.85,97.70
2026-03-03T23:54:00Z,1.85,99.00
2026-03-03T23:56:00Z,1.85,99.00
2026-03-03T23:57:00Z,1.85,99.00
2026-03-04T00:00:00Z,1.85,99.00
