# event_ticker=KXATPCHALLENGERMATCH-26FEB12MARHUE
# final_score=6-2 4-6 6-3
# score_resolution=2-6 6-4 3-6
# match_winner=Pol Martin Tiffon
# fav_player=Marc-Andrea Huesler
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-02-12
timestamp,Marc-Andrea Huesler,Pol Martin Tiffon
2026-02-12T11:56:00Z,53.00,49.00
2026-02-12T12:00:00Z,53.00,49.00
2026-02-12T12:02:00Z,52.00,49.00
2026-02-12T12:05:00Z,52.00,49.00
2026-02-12T12:07:00Z,52.00,49.00
2026-02-12T12:08:00Z,52.04,49.00
2026-02-12T12:11:00Z,53.00,50.92
2026-02-12T12:12:00Z,53.24,50.92
2026-02-12T12:13:00Z,53.24,49.00
2026-02-12T12:14:00Z,53.00,49.00
2026-02-12T12:15:00Z,53.00,49.00
2026-02-12T12:19:00Z,53.00,49.00
2026-02-12T12:20:00Z,53.00,49.00
2026-02-12T12:21:00Z,53.00,49.00
2026-02-12T12:30:00Z,53.00,49.00
2026-02-12T12:34:00Z,53.00,49.00
2026-02-12T12:36:00Z,53.18,49.00
2026-02-12T12:37:00Z,53.41,50.61
2026-02-12T12:38:00Z,53.00,51.00
2026-02-12T12:39:00Z,53.00,51.00
2026-02-12T12:40:00Z,50.83,50.78
2026-02-12T12:41:00Z,49.01,53.00
2026-02-12T12:42:00Z,51.00,53.03
2026-02-12T12:43:00Z,49.94,52.19
2026-02-12T12:44:00Z,46.94,53.48
2026-02-12T12:45:00Z,46.18,54.48
2026-02-12T12:46:00Z,48.10,53.02
2026-02-12T12:47:00Z,43.11,58.43
2026-02-12T12:48:00Z,45.67,57.32
2026-02-12T12:49:00Z,50.07,55.86
2026-02-12T12:50:00Z,51.83,51.00
2026-02-12T12:51:00Z,57.00,51.49
2026-02-12T12:52:00Z,57.34,46.54
2026-02-12T12:53:00Z,54.46,43.01
2026-02-12T12:54:00Z,55.65,44.14
2026-02-12T12:55:00Z,55.15,47.77
2026-02-12T12:56:00Z,49.95,51.43
2026-02-12T12:57:00Z,49.96,54.47
2026-02-12T12:58:00Z,42.05,63.82
2026-02-12T12:59:00Z,36.32,65.13
2026-02-12T13:00:00Z,31.24,67.43
2026-02-12T13:01:00Z,33.81,68.45
2026-02-12T13:02:00Z,36.27,67.47
2026-02-12T13:03:00Z,33.37,68.66
2026-02-12T13:04:00Z,30.14,70.38
2026-02-12T13:05:00Z,28.17,78.57
2026-02-12T13:06:00Z,26.49,73.18
2026-02-12T13:07:00Z,24.21,74.52
2026-02-12T13:08:00Z,25.61,72.61
2026-02-12T13:09:00Z,31.92,68.90
2026-02-12T13:10:00Z,29.00,72.69
2026-02-12T13:11:00Z,26.42,73.30
2026-02-12T13:12:00Z,25.91,73.97
2026-02-12T13:13:00Z,25.57,75.57
2026-02-12T13:14:00Z,21.95,80.00
2026-02-12T13:15:00Z,19.95,82.07
2026-02-12T13:16:00Z,18.25,83.94
2026-02-12T13:17:00Z,16.70,85.83
2026-02-12T13:18:00Z,12.92,88.20
2026-02-12T13:19:00Z,10.72,86.86
2026-02-12T13:20:00Z,15.08,83.65
2026-02-12T13:21:00Z,18.75,81.73
2026-02-12T13:22:00Z,25.23,75.76
2026-02-12T13:23:00Z,27.59,72.88
2026-02-12T13:24:00Z,22.82,76.11
2026-02-12T13:25:00Z,23.10,78.94
2026-02-12T13:26:00Z,31.71,66.65
2026-02-12T13:27:00Z,37.01,63.87
2026-02-12T13:28:00Z,38.11,63.96
2026-02-12T13:29:00Z,38.61,63.24
2026-02-12T13:30:00Z,39.46,60.81
2026-02-12T13:31:00Z,42.30,60.00
2026-02-12T13:32:00Z,42.42,61.84
2026-02-12T13:33:00Z,36.86,63.02
2026-02-12T13:34:00Z,33.23,67.04
2026-02-12T13:35:00Z,33.65,69.88
2026-02-12T13:36:00Z,31.31,70.66
2026-02-12T13:37:00Z,38.67,63.13
2026-02-12T13:38:00Z,40.08,59.65
2026-02-12T13:39:00Z,43.73,57.65
2026-02-12T13:40:00Z,46.15,53.19
2026-02-12T13:41:00Z,44.02,53.81
2026-02-12T13:42:00Z,44.96,55.75
2026-02-12T13:43:00Z,43.55,57.47
2026-02-12T13:44:00Z,43.00,58.79
2026-02-12T13:45:00Z,43.02,59.15
2026-02-12T13:46:00Z,35.82,58.45
2026-02-12T13:47:00Z,45.56,56.36
2026-02-12T13:48:00Z,43.49,57.00
2026-02-12T13:49:00Z,43.11,58.99
2026-02-12T13:50:00Z,42.00,57.16
2026-02-12T13:51:00Z,51.20,52.30
2026-02-12T13:52:00Z,48.32,51.71
2026-02-12T13:53:00Z,49.05,51.96
2026-02-12T13:54:00Z,52.74,51.29
2026-02-12T13:55:00Z,50.10,51.99
2026-02-12T13:56:00Z,45.87,57.41
2026-02-12T13:57:00Z,45.09,56.76
2026-02-12T13:58:00Z,38.07,59.36
2026-02-12T13:59:00Z,35.52,67.77
2026-02-12T14:00:00Z,39.39,62.28
2026-02-12T14:01:00Z,37.95,63.62
2026-02-12T14:02:00Z,41.34,60.74
2026-02-12T14:03:00Z,44.29,57.59
2026-02-12T14:04:00Z,46.85,54.50
2026-02-12T14:05:00Z,39.61,60.66
2026-02-12T14:06:00Z,43.49,59.06
2026-02-12T14:07:00Z,56.99,36.62
2026-02-12T14:08:00Z,51.00,50.44
2026-02-12T14:09:00Z,53.62,47.33
2026-02-12T14:10:00Z,53.36,48.21
2026-02-12T14:11:00Z,58.25,42.97
2026-02-12T14:12:00Z,56.16,47.30
2026-02-12T14:13:00Z,48.35,51.36
2026-02-12T14:14:00Z,46.74,54.72
2026-02-12T14:15:00Z,47.09,55.10
2026-02-12T14:16:00Z,41.11,59.97
2026-02-12T14:17:00Z,37.12,63.67
2026-02-12T14:18:00Z,19.52,80.24
2026-02-12T14:19:00Z,12.15,88.88
2026-02-12T14:20:00Z,8.30,92.12
2026-02-12T14:21:00Z,8.82,91.49
2026-02-12T14:22:00Z,8.57,92.08
2026-02-12T14:23:00Z,9.71,92.24
2026-02-12T14:24:00Z,5.03,94.83
2026-02-12T14:25:00Z,8.14,92.59
2026-02-12T14:26:00Z,5.60,94.50
2026-02-12T14:27:00Z,8.81,92.70
2026-02-12T14:28:00Z,8.31,92.39
2026-02-12T14:29:00Z,5.38,93.54
2026-02-12T14:30:00Z,6.00,96.73
2026-02-12T14:31:00Z,6.71,96.72
2026-02-12T14:32:00Z,4.45,96.59
2026-02-12T14:33:00Z,3.66,97.76
2026-02-12T14:34:00Z,4.02,96.97
2026-02-12T14:35:00Z,4.76,95.76
2026-02-12T14:36:00Z,4.76,95.53
2026-02-12T14:37:00Z,8.96,95.06
2026-02-12T14:38:00Z,2.77,98.30
2026-02-12T14:39:00Z,1.16,98.98
2026-02-12T14:40:00Z,1.16,99.00
2026-02-12T14:41:00Z,1.16,99.00
2026-02-12T14:42:00Z,1.16,99.00
