# event_ticker=KXATPCHALLENGERMATCH-26APR22SAISAK
# final_score=7-6(6) 7-6(3)
# score_resolution=6-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-22
timestamp,Nikolas Sanchez Izquierdo,Stefanos Sakellaridis
2026-04-22T09:47:00Z,38.00,62.00
2026-04-22T09:48:00Z,38.00,55.25
2026-04-22T09:49:00Z,36.31,55.25
2026-04-22T09:55:00Z,36.31,61.00
2026-04-22T10:03:00Z,43.00,61.00
2026-04-22T10:04:00Z,43.00,59.58
2026-04-22T10:07:00Z,43.00,58.90
2026-04-22T10:10:00Z,44.00,56.00
2026-04-22T10:14:00Z,44.00,61.49
2026-04-22T10:16:00Z,44.00,56.00
2026-04-22T10:23:00Z,44.00,62.66
2026-04-22T10:31:00Z,44.00,62.55
2026-04-22T10:44:00Z,44.00,62.00
2026-04-22T10:51:00Z,44.50,57.00
2026-04-22T10:59:00Z,42.00,55.99
2026-04-22T11:02:00Z,42.00,59.77
2026-04-22T11:03:00Z,45.00,59.77
2026-04-22T11:04:00Z,45.00,61.00
2026-04-22T11:12:00Z,40.17,61.00
2026-04-22T11:19:00Z,40.17,62.85
2026-04-22T11:26:00Z,37.00,64.00
2026-04-22T11:31:00Z,45.32,64.00
2026-04-22T11:32:00Z,43.09,56.76
2026-04-22T11:33:00Z,43.09,56.00
2026-04-22T11:34:00Z,43.09,55.15
2026-04-22T11:40:00Z,40.07,58.63
2026-04-22T11:41:00Z,37.76,63.22
2026-04-22T11:42:00Z,37.76,65.00
2026-04-22T11:43:00Z,37.76,67.71
2026-04-22T11:44:00Z,31.47,68.62
2026-04-22T11:45:00Z,31.95,72.64
2026-04-22T11:46:00Z,29.00,70.72
2026-04-22T11:47:00Z,29.00,73.77
2026-04-22T11:48:00Z,25.00,76.84
2026-04-22T11:49:00Z,22.00,78.00
2026-04-22T11:50:00Z,22.25,79.00
2026-04-22T11:51:00Z,25.72,75.06
2026-04-22T11:52:00Z,24.44,75.75
2026-04-22T11:53:00Z,24.44,77.01
2026-04-22T11:54:00Z,24.44,78.00
2026-04-22T11:55:00Z,24.44,80.00
2026-04-22T11:56:00Z,24.44,82.34
2026-04-22T11:57:00Z,21.00,79.50
2026-04-22T11:58:00Z,21.00,75.31
2026-04-22T11:59:00Z,25.99,75.00
2026-04-22T12:00:00Z,25.00,73.22
2026-04-22T12:01:00Z,25.00,73.00
2026-04-22T12:02:00Z,30.00,72.04
2026-04-22T12:03:00Z,27.89,73.93
2026-04-22T12:05:00Z,23.00,77.26
2026-04-22T12:06:00Z,22.00,77.00
2026-04-22T12:07:00Z,20.00,77.00
2026-04-22T12:08:00Z,21.00,77.00
2026-04-22T12:09:00Z,21.00,77.00
2026-04-22T12:10:00Z,24.44,77.96
2026-04-22T12:11:00Z,24.44,74.00
2026-04-22T12:12:00Z,27.27,76.33
2026-04-22T12:14:00Z,27.27,76.58
2026-04-22T12:15:00Z,29.48,70.46
2026-04-22T12:16:00Z,35.63,63.48
2026-04-22T12:17:00Z,38.00,62.00
2026-04-22T12:18:00Z,38.00,64.18
2026-04-22T12:19:00Z,41.19,60.00
2026-04-22T12:20:00Z,42.00,60.00
2026-04-22T12:21:00Z,44.00,57.09
2026-04-22T12:22:00Z,46.65,55.97
2026-04-22T12:23:00Z,44.00,58.60
2026-04-22T12:24:00Z,39.00,61.00
2026-04-22T12:25:00Z,38.00,60.19
2026-04-22T12:26:00Z,36.00,65.29
2026-04-22T12:27:00Z,31.28,69.71
2026-04-22T12:28:00Z,34.65,66.05
2026-04-22T12:29:00Z,33.85,68.17
2026-04-22T12:30:00Z,34.90,64.46
2026-04-22T12:31:00Z,42.08,56.17
2026-04-22T12:32:00Z,42.08,60.64
2026-04-22T12:33:00Z,37.52,59.42
2026-04-22T12:34:00Z,37.52,61.19
2026-04-22T12:35:00Z,37.00,62.00
2026-04-22T12:36:00Z,37.91,62.28
2026-04-22T12:37:00Z,41.38,62.28
2026-04-22T12:38:00Z,44.00,57.00
2026-04-22T12:39:00Z,53.75,51.22
2026-04-22T12:40:00Z,48.27,53.40
2026-04-22T12:41:00Z,48.77,52.19
2026-04-22T12:42:00Z,55.61,43.00
2026-04-22T12:43:00Z,51.29,49.00
2026-04-22T12:44:00Z,51.29,49.09
2026-04-22T12:45:00Z,55.75,45.00
2026-04-22T12:46:00Z,64.79,39.30
2026-04-22T12:47:00Z,50.83,38.79
2026-04-22T12:48:00Z,47.00,53.97
2026-04-22T12:49:00Z,44.93,57.81
2026-04-22T12:50:00Z,43.00,64.99
2026-04-22T12:51:00Z,26.15,76.37
2026-04-22T12:52:00Z,27.24,73.96
2026-04-22T12:53:00Z,27.47,73.30
2026-04-22T12:54:00Z,27.00,75.00
2026-04-22T12:55:00Z,27.82,74.35
2026-04-22T12:56:00Z,27.34,75.00
2026-04-22T12:57:00Z,26.00,75.00
2026-04-22T12:58:00Z,28.00,73.00
2026-04-22T12:59:00Z,26.05,72.00
2026-04-22T13:00:00Z,27.00,72.00
2026-04-22T13:01:00Z,27.00,74.92
2026-04-22T13:02:00Z,29.98,71.00
2026-04-22T13:03:00Z,30.00,72.00
2026-04-22T13:04:00Z,31.30,70.88
2026-04-22T13:05:00Z,29.04,71.06
2026-04-22T13:06:00Z,30.00,73.09
2026-04-22T13:07:00Z,26.17,73.09
2026-04-22T13:08:00Z,28.00,73.00
2026-04-22T13:09:00Z,25.00,80.83
2026-04-22T13:10:00Z,23.17,76.89
