# event_ticker=KXATPCHALLENGERMATCH-26FEB17BOUCOP
# final_score=7-5 0-6 7-5
# match_winner=Arthur Bouquier
# fav_player=Arthur Bouquier
# dog_player=Kimmer Coppejans
# kalshi_date=2026-02-17
timestamp,Arthur Bouquier,Kimmer Coppejans
2026-02-17T14:45:00Z,80.24,19.82
2026-02-17T14:46:00Z,81.92,21.41
2026-02-17T14:47:00Z,74.35,27.03
2026-02-17T14:48:00Z,69.32,32.80
2026-02-17T14:49:00Z,65.34,35.92
2026-02-17T14:50:00Z,68.08,36.78
2026-02-17T14:51:00Z,66.36,37.75
2026-02-17T14:52:00Z,61.95,39.24
2026-02-17T14:53:00Z,61.84,40.70
2026-02-17T14:54:00Z,61.27,39.86
2026-02-17T14:55:00Z,58.95,41.08
2026-02-17T14:56:00Z,49.68,46.03
2026-02-17T14:57:00Z,50.28,50.16
2026-02-17T14:58:00Z,45.97,53.93
2026-02-17T14:59:00Z,46.13,56.87
2026-02-17T15:00:00Z,44.34,55.69
2026-02-17T15:01:00Z,44.61,56.51
2026-02-17T15:02:00Z,43.17,57.31
2026-02-17T15:03:00Z,45.01,58.89
2026-02-17T15:04:00Z,42.59,59.05
2026-02-17T15:05:00Z,41.21,60.36
2026-02-17T15:06:00Z,40.12,61.80
2026-02-17T15:07:00Z,40.53,59.42
2026-02-17T15:08:00Z,41.98,59.88
2026-02-17T15:09:00Z,48.34,57.03
2026-02-17T15:10:00Z,43.07,60.90
2026-02-17T15:11:00Z,47.40,56.11
2026-02-17T15:12:00Z,46.37,56.83
2026-02-17T15:13:00Z,46.50,56.41
2026-02-17T15:14:00Z,49.39,48.02
2026-02-17T15:15:00Z,54.54,44.14
2026-02-17T15:16:00Z,46.94,57.18
2026-02-17T15:17:00Z,50.72,50.54
2026-02-17T15:18:00Z,51.41,53.39
2026-02-17T15:19:00Z,38.62,66.15
2026-02-17T15:20:00Z,36.39,66.46
2026-02-17T15:21:00Z,46.43,53.38
2026-02-17T15:22:00Z,52.88,50.00
2026-02-17T15:23:00Z,55.17,45.60
2026-02-17T15:24:00Z,67.15,33.75
2026-02-17T15:25:00Z,65.16,32.77
2026-02-17T15:26:00Z,57.99,39.85
2026-02-17T15:27:00Z,74.21,25.76
2026-02-17T15:28:00Z,81.45,18.37
2026-02-17T15:29:00Z,86.13,14.48
2026-02-17T15:30:00Z,88.26,11.29
2026-02-17T15:31:00Z,90.60,11.20
2026-02-17T15:32:00Z,88.20,12.13
2026-02-17T15:33:00Z,89.11,12.84
2026-02-17T15:34:00Z,84.45,16.08
2026-02-17T15:35:00Z,86.43,16.19
2026-02-17T15:36:00Z,86.04,10.23
2026-02-17T15:37:00Z,86.37,17.07
2026-02-17T15:38:00Z,82.20,19.83
2026-02-17T15:39:00Z,82.74,17.66
2026-02-17T15:40:00Z,84.01,25.17
2026-02-17T15:41:00Z,56.05,40.48
2026-02-17T15:42:00Z,60.07,41.13
2026-02-17T15:43:00Z,48.38,46.66
2026-02-17T15:44:00Z,44.73,54.17
2026-02-17T15:45:00Z,54.77,48.68
2026-02-17T15:46:00Z,59.09,45.25
2026-02-17T15:47:00Z,60.69,40.37
2026-02-17T15:48:00Z,60.31,43.00
2026-02-17T15:49:00Z,48.97,51.80
2026-02-17T15:50:00Z,42.74,54.94
2026-02-17T15:51:00Z,43.30,56.53
2026-02-17T15:52:00Z,48.94,49.88
2026-02-17T15:53:00Z,32.77,66.33
2026-02-17T15:54:00Z,39.81,62.51
2026-02-17T15:55:00Z,38.28,59.96
2026-02-17T15:56:00Z,36.95,64.26
2026-02-17T15:57:00Z,51.67,50.02
2026-02-17T15:58:00Z,57.97,42.58
2026-02-17T15:59:00Z,60.97,38.59
2026-02-17T16:00:00Z,56.09,43.00
2026-02-17T16:01:00Z,68.00,34.26
2026-02-17T16:02:00Z,76.08,23.98
2026-02-17T16:03:00Z,68.07,27.93
2026-02-17T16:04:00Z,75.26,28.98
2026-02-17T16:05:00Z,61.95,42.30
2026-02-17T16:06:00Z,70.91,31.63
2026-02-17T16:07:00Z,95.18,6.04
2026-02-17T16:08:00Z,99.00,1.00
2026-02-17T16:09:00Z,99.00,1.00
2026-02-17T16:10:00Z,99.00,1.00
2026-02-17T16:11:00Z,99.00,1.00
2026-02-17T16:12:00Z,99.00,1.00
