# event_ticker=KXATPCHALLENGERMATCH-26APR14LINSEY
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Thiago Seyboth Wild
# fav_player=Samuel Alejandro Linde Palacios
# dog_player=Thiago Seyboth Wild
# kalshi_date=2026-04-14
timestamp,Samuel Alejandro Linde Palacios,Thiago Seyboth Wild
2026-04-14T23:26:00Z,7.99,92.64
2026-04-14T23:27:00Z,7.26,93.00
2026-04-14T23:28:00Z,7.19,94.00
2026-04-14T23:29:00Z,7.51,93.04
2026-04-14T23:30:00Z,5.14,94.88
2026-04-14T23:31:00Z,7.41,93.67
2026-04-14T23:32:00Z,9.00,91.45
2026-04-14T23:33:00Z,9.05,91.00
2026-04-14T23:34:00Z,9.85,91.49
2026-04-14T23:35:00Z,8.37,91.74
2026-04-14T23:36:00Z,7.98,93.00
2026-04-14T23:37:00Z,8.43,93.54
2026-04-14T23:38:00Z,7.96,93.00
2026-04-14T23:39:00Z,8.58,93.73
2026-04-14T23:40:00Z,4.60,95.89
2026-04-14T23:41:00Z,4.19,96.00
2026-04-14T23:42:00Z,3.84,97.00
2026-04-14T23:43:00Z,4.58,96.02
2026-04-14T23:44:00Z,5.13,95.59
2026-04-14T23:45:00Z,4.28,96.77
2026-04-14T23:46:00Z,3.77,96.00
2026-04-14T23:47:00Z,2.70,97.00
2026-04-14T23:48:00Z,4.33,97.35
2026-04-14T23:49:00Z,2.43,97.00
2026-04-14T23:50:00Z,2.88,97.97
2026-04-14T23:51:00Z,2.03,99.00
2026-04-14T23:52:00Z,2.04,98.79
2026-04-14T23:53:00Z,2.64,97.00
2026-04-14T23:54:00Z,3.00,97.00
2026-04-14T23:55:00Z,3.52,97.00
2026-04-14T23:56:00Z,3.97,97.00
2026-04-14T23:57:00Z,4.67,96.98
2026-04-14T23:58:00Z,5.14,95.00
2026-04-14T23:59:00Z,5.03,95.04
2026-04-15T00:00:00Z,5.96,94.33
2026-04-15T00:01:00Z,5.88,94.17
2026-04-15T00:02:00Z,4.04,95.12
2026-04-15T00:03:00Z,4.00,97.00
2026-04-15T00:04:00Z,3.39,96.38
2026-04-15T00:05:00Z,2.72,98.00
2026-04-15T00:06:00Z,2.89,97.11
2026-04-15T00:07:00Z,1.06,99.00
2026-04-15T00:08:00Z,1.00,99.00
2026-04-15T00:09:00Z,1.00,99.00
2026-04-15T00:10:00Z,1.00,99.00
2026-04-15T00:11:00Z,1.00,99.00
2026-04-15T00:12:00Z,1.00,99.00
2026-04-15T00:13:00Z,1.00,99.00
2026-04-15T00:14:00Z,1.00,99.00
2026-04-15T00:15:00Z,1.00,99.00
2026-04-15T00:16:00Z,1.00,99.00
