# event_ticker=KXATPMATCH-26MAR17MARFON
# final_score=6-4 3-6 6-2
# score_resolution=4-6 6-3 2-6
# match_winner=Joao Fonseca
# fav_player=Fabian Marozsan
# dog_player=Joao Fonseca
# kalshi_date=2026-03-17
timestamp,Fabian Marozsan,Joao Fonseca
2026-03-19T17:17:00Z,29.00,72.00
2026-03-19T17:18:00Z,29.00,72.00
2026-03-19T17:19:00Z,29.00,72.00
2026-03-19T17:20:00Z,29.00,72.00
2026-03-19T17:21:00Z,29.00,72.00
2026-03-19T17:24:00Z,29.00,72.00
2026-03-19T17:26:00Z,29.00,71.12
2026-03-19T17:29:00Z,29.00,72.00
2026-03-19T17:32:00Z,29.00,71.00
2026-03-19T17:33:00Z,29.00,72.00
2026-03-19T17:41:00Z,29.00,72.00
2026-03-19T17:42:00Z,29.00,72.00
2026-03-19T17:43:00Z,29.00,72.00
2026-03-19T17:45:00Z,29.00,72.00
2026-03-19T17:47:00Z,29.00,72.00
2026-03-19T17:50:00Z,28.00,72.00
2026-03-19T17:51:00Z,28.00,72.00
2026-03-19T17:53:00Z,30.00,72.00
2026-03-19T17:55:00Z,30.00,72.00
2026-03-19T17:56:00Z,30.00,72.00
2026-03-19T17:57:00Z,30.00,72.00
2026-03-19T17:59:00Z,30.00,72.00
2026-03-19T18:00:00Z,30.00,72.00
2026-03-19T18:04:00Z,30.00,71.00
2026-03-19T18:09:00Z,30.00,72.00
2026-03-19T18:10:00Z,30.00,70.00
2026-03-19T18:13:00Z,30.00,72.00
2026-03-19T18:16:00Z,29.00,72.00
2026-03-19T18:17:00Z,29.00,72.00
2026-03-19T18:18:00Z,29.00,72.74
2026-03-19T18:19:00Z,29.00,72.00
2026-03-19T18:20:00Z,28.18,72.00
2026-03-19T18:21:00Z,28.00,72.00
2026-03-19T18:22:00Z,28.00,71.62
2026-03-19T18:23:00Z,29.00,72.00
2026-03-19T18:25:00Z,29.00,72.00
2026-03-19T18:26:00Z,29.00,72.00
2026-03-19T18:28:00Z,29.00,72.00
2026-03-19T18:32:00Z,29.00,72.00
2026-03-19T18:35:00Z,29.00,72.00
