# event_ticker=KXATPMATCH-25OCT02DZUOCO
# final_score=6-2 6-4
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Damir Dzumhur
# kalshi_date=2025-10-02
timestamp,Christopher O'Connell,Damir Dzumhur
2025-10-02T05:44:00Z,61.00,42.00
2025-10-02T05:45:00Z,61.00,42.00
2025-10-02T05:46:00Z,61.00,42.00
2025-10-02T05:47:00Z,61.00,42.00
2025-10-02T05:49:00Z,61.00,42.00
2025-10-02T05:50:00Z,61.00,42.00
2025-10-02T05:51:00Z,61.00,42.00
2025-10-02T05:52:00Z,61.00,42.00
2025-10-02T05:56:00Z,61.00,42.00
2025-10-02T05:57:00Z,61.00,42.00
2025-10-02T06:00:00Z,60.00,42.00
2025-10-02T06:01:00Z,60.00,42.00
2025-10-02T06:02:00Z,60.00,42.00
2025-10-02T06:03:00Z,60.00,42.00
2025-10-02T06:04:00Z,60.00,42.00
2025-10-02T06:05:00Z,60.00,44.52
2025-10-02T06:06:00Z,57.87,45.52
2025-10-02T06:07:00Z,58.76,46.00
2025-10-02T06:08:00Z,60.96,41.00
2025-10-02T06:09:00Z,61.05,40.00
2025-10-02T06:10:00Z,62.48,40.00
2025-10-02T06:11:00Z,61.00,41.30
2025-10-02T06:12:00Z,60.29,42.11
2025-10-02T06:13:00Z,61.00,41.00
2025-10-02T06:14:00Z,61.00,41.00
2025-10-02T06:15:00Z,61.00,41.00
2025-10-02T06:16:00Z,61.22,40.00
2025-10-02T06:17:00Z,63.00,36.52
2025-10-02T06:18:00Z,63.00,36.59
2025-10-02T06:19:00Z,63.46,35.59
2025-10-02T06:20:00Z,69.03,34.23
2025-10-02T06:21:00Z,74.32,24.46
2025-10-02T06:22:00Z,76.09,24.69
2025-10-02T06:23:00Z,77.00,28.67
2025-10-02T06:24:00Z,69.93,26.53
2025-10-02T06:25:00Z,75.36,24.95
2025-10-02T06:26:00Z,77.16,25.30
2025-10-02T06:27:00Z,78.40,23.97
2025-10-02T06:28:00Z,81.08,17.03
2025-10-02T06:29:00Z,81.63,17.98
2025-10-02T06:30:00Z,80.00,22.28
2025-10-02T06:31:00Z,78.97,22.28
2025-10-02T06:32:00Z,80.00,21.00
2025-10-02T06:33:00Z,78.66,21.00
2025-10-02T06:35:00Z,77.89,23.55
2025-10-02T06:36:00Z,79.01,22.04
2025-10-02T06:37:00Z,80.00,22.04
2025-10-02T06:38:00Z,80.00,18.00
2025-10-02T06:39:00Z,81.00,21.70
2025-10-02T06:40:00Z,83.00,20.00
2025-10-02T06:41:00Z,83.00,20.00
2025-10-02T06:42:00Z,84.00,16.31
2025-10-02T06:43:00Z,84.00,14.82
2025-10-02T06:44:00Z,84.00,14.00
2025-10-02T06:45:00Z,87.49,17.00
2025-10-02T06:46:00Z,85.41,16.00
2025-10-02T06:47:00Z,86.00,16.00
2025-10-02T06:48:00Z,86.00,14.29
2025-10-02T06:49:00Z,86.00,15.94
2025-10-02T06:50:00Z,86.57,14.00
2025-10-02T06:51:00Z,89.27,11.61
2025-10-02T06:52:00Z,88.01,11.61
2025-10-02T06:53:00Z,88.00,11.61
2025-10-02T06:54:00Z,87.56,12.92
2025-10-02T06:55:00Z,87.25,12.35
2025-10-02T06:56:00Z,86.28,12.58
2025-10-02T06:57:00Z,88.73,11.00
2025-10-02T06:58:00Z,89.21,12.09
2025-10-02T06:59:00Z,88.00,11.13
2025-10-02T07:00:00Z,89.00,12.08
2025-10-02T09:01:00Z,94.06,1.59
