# event_ticker=KXATPCHALLENGERMATCH-26APR07KOLSAK
# final_score=7-5 7-6(2)
# score_resolution=5-7 6-7
# match_winner=Stefanos Sakellaridis
# fav_player=Zdenek Kolar
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-07
timestamp,Zdenek Kolar,Stefanos Sakellaridis
2026-04-07T12:23:00Z,46.05,60.84
2026-04-07T12:24:00Z,43.04,56.55
2026-04-07T12:25:00Z,43.88,59.61
2026-04-07T12:26:00Z,43.49,61.67
2026-04-07T12:27:00Z,37.00,62.00
2026-04-07T12:28:00Z,27.93,68.67
2026-04-07T12:29:00Z,22.89,73.94
2026-04-07T12:30:00Z,27.01,78.00
2026-04-07T12:31:00Z,33.00,69.93
2026-04-07T12:32:00Z,27.61,73.82
2026-04-07T12:33:00Z,18.46,81.00
2026-04-07T12:34:00Z,17.61,81.82
2026-04-07T12:35:00Z,18.00,84.00
2026-04-07T12:36:00Z,17.62,83.06
2026-04-07T12:37:00Z,17.62,81.00
2026-04-07T12:38:00Z,17.00,84.03
2026-04-07T12:39:00Z,17.00,82.00
2026-04-07T12:40:00Z,19.01,83.00
2026-04-07T12:41:00Z,19.81,79.24
2026-04-07T12:42:00Z,25.19,74.01
2026-04-07T12:43:00Z,24.22,76.64
2026-04-07T12:44:00Z,23.04,82.01
2026-04-07T12:45:00Z,23.04,82.33
2026-04-07T12:46:00Z,17.49,81.71
2026-04-07T12:47:00Z,22.05,80.02
2026-04-07T12:48:00Z,21.56,80.66
2026-04-07T12:49:00Z,21.56,80.06
2026-04-07T12:50:00Z,20.31,83.76
2026-04-07T12:51:00Z,17.11,83.99
2026-04-07T12:52:00Z,18.30,84.20
2026-04-07T12:53:00Z,18.58,81.94
2026-04-07T12:54:00Z,20.59,81.94
2026-04-07T12:55:00Z,21.52,80.93
2026-04-07T12:56:00Z,22.94,79.38
2026-04-07T12:57:00Z,23.47,76.67
2026-04-07T12:58:00Z,33.22,70.66
2026-04-07T12:59:00Z,28.54,71.15
2026-04-07T13:00:00Z,22.74,80.25
2026-04-07T13:01:00Z,19.00,81.98
2026-04-07T13:02:00Z,19.52,81.80
2026-04-07T13:03:00Z,18.92,81.88
2026-04-07T13:04:00Z,21.00,80.34
2026-04-07T13:05:00Z,23.59,77.17
2026-04-07T13:06:00Z,17.00,81.32
2026-04-07T13:07:00Z,17.53,82.85
2026-04-07T13:08:00Z,17.73,81.04
2026-04-07T13:09:00Z,18.67,79.25
2026-04-07T13:10:00Z,19.83,83.66
2026-04-07T13:11:00Z,21.95,77.95
2026-04-07T13:12:00Z,25.25,73.99
2026-04-07T13:13:00Z,21.97,79.63
2026-04-07T13:14:00Z,19.00,82.58
2026-04-07T13:15:00Z,18.90,82.73
2026-04-07T13:16:00Z,16.43,85.62
2026-04-07T13:17:00Z,13.05,88.70
2026-04-07T13:18:00Z,11.25,87.61
2026-04-07T13:19:00Z,12.14,90.15
2026-04-07T13:20:00Z,7.83,92.10
2026-04-07T13:21:00Z,13.13,87.34
2026-04-07T13:22:00Z,9.09,90.46
2026-04-07T13:23:00Z,17.50,85.04
2026-04-07T13:24:00Z,19.56,79.69
2026-04-07T13:25:00Z,24.21,74.74
2026-04-07T13:26:00Z,21.55,79.73
2026-04-07T13:27:00Z,20.12,82.37
2026-04-07T13:28:00Z,14.15,91.82
2026-04-07T13:29:00Z,4.82,94.07
2026-04-07T13:30:00Z,2.99,98.52
2026-04-07T13:31:00Z,1.00,99.00
2026-04-07T13:32:00Z,1.00,99.00
2026-04-07T13:33:00Z,1.00,99.00
