# event_ticker=KXATPMATCH-26APR24NORMAC
# final_score=6-2 6-7(6) 7-6(5)
# score_resolution=2-6 7-6 6-7
# match_winner=Cameron Norrie
# fav_player=Tomas Machac
# dog_player=Cameron Norrie
# kalshi_date=2026-04-24
timestamp,Cameron Norrie,Tomas Machac
2026-04-24T10:53:00Z,45.00,57.00
2026-04-24T11:05:00Z,45.00,57.00
2026-04-24T11:06:00Z,45.00,57.00
2026-04-24T11:11:00Z,43.00,57.00
2026-04-24T11:12:00Z,43.00,57.00
2026-04-24T11:15:00Z,43.00,57.00
2026-04-24T11:18:00Z,43.00,57.00
2026-04-24T11:21:00Z,43.00,57.00
2026-04-24T11:22:00Z,45.00,57.00
2026-04-24T11:25:00Z,45.00,57.00
2026-04-24T11:27:00Z,45.00,57.00
2026-04-24T11:31:00Z,45.00,57.00
2026-04-24T11:32:00Z,45.00,57.00
2026-04-24T11:35:00Z,45.00,57.00
2026-04-24T11:38:00Z,45.00,56.00
2026-04-24T11:45:00Z,45.00,56.00
2026-04-24T11:48:00Z,45.00,56.00
2026-04-24T12:03:00Z,45.00,56.00
2026-04-24T12:05:00Z,45.00,56.34
2026-04-24T12:09:00Z,45.00,56.00
2026-04-24T12:31:00Z,44.00,56.00
2026-04-24T12:36:00Z,44.00,57.00
2026-04-24T12:40:00Z,44.00,57.00
2026-04-24T12:49:00Z,44.00,57.00
2026-04-24T13:03:00Z,44.00,57.00
2026-04-24T13:04:00Z,44.00,57.00
2026-04-24T13:10:00Z,44.00,57.00
2026-04-24T13:12:00Z,44.00,57.00
2026-04-24T13:13:00Z,44.00,57.00
2026-04-24T13:14:00Z,44.00,57.00
2026-04-24T13:15:00Z,44.00,57.00
2026-04-24T13:16:00Z,44.00,57.00
2026-04-24T13:19:00Z,44.00,57.00
2026-04-24T13:20:00Z,44.00,57.00
2026-04-24T13:22:00Z,44.00,57.00
2026-04-24T13:23:00Z,44.00,57.00
2026-04-24T13:24:00Z,44.00,57.00
2026-04-24T13:25:00Z,44.00,57.00
2026-04-24T13:26:00Z,45.00,57.00
2026-04-24T13:30:00Z,45.00,57.00
2026-04-24T13:35:00Z,44.00,57.00
2026-04-24T13:37:00Z,44.00,57.00
2026-04-24T13:40:00Z,45.00,57.00
2026-04-24T13:47:00Z,45.00,57.00
2026-04-24T13:48:00Z,45.00,57.00
2026-04-24T13:53:00Z,45.00,57.00
2026-04-24T13:54:00Z,45.00,57.29
2026-04-24T13:56:00Z,45.00,57.09
2026-04-24T13:58:00Z,45.00,57.84
2026-04-24T14:00:00Z,45.00,57.84
2026-04-24T14:01:00Z,45.00,57.84
2026-04-24T14:02:00Z,45.00,57.84
2026-04-24T14:04:00Z,45.00,57.84
2026-04-24T14:13:00Z,45.00,58.00
2026-04-24T14:15:00Z,45.00,58.00
2026-04-24T14:19:00Z,45.00,57.53
2026-04-24T14:20:00Z,45.00,57.53
2026-04-24T14:21:00Z,45.00,57.53
2026-04-24T14:22:00Z,45.00,58.00
2026-04-24T14:23:00Z,45.00,58.00
2026-04-24T14:24:00Z,45.00,58.00
2026-04-24T14:25:00Z,44.00,57.00
2026-04-24T14:26:00Z,44.00,58.00
2026-04-24T14:27:00Z,45.00,58.00
2026-04-24T14:28:00Z,45.00,58.00
2026-04-24T14:29:00Z,45.00,58.00
2026-04-24T14:31:00Z,44.85,58.00
2026-04-24T14:32:00Z,45.00,58.00
2026-04-24T14:33:00Z,45.00,58.00
2026-04-24T14:34:00Z,45.00,58.00
2026-04-24T14:35:00Z,45.00,58.00
2026-04-24T14:36:00Z,45.00,58.00
2026-04-24T14:37:00Z,45.00,58.00
2026-04-24T14:38:00Z,45.00,58.00
2026-04-24T14:41:00Z,45.00,58.00
2026-04-24T14:42:00Z,45.00,58.00
2026-04-24T14:44:00Z,45.00,58.00
2026-04-24T14:46:00Z,45.00,58.00
2026-04-24T14:49:00Z,45.00,56.02
2026-04-24T14:50:00Z,45.00,56.00
2026-04-24T14:51:00Z,45.00,56.00
2026-04-24T14:52:00Z,45.00,56.00
2026-04-24T14:54:00Z,45.00,56.00
2026-04-24T14:55:00Z,45.00,56.00
2026-04-24T14:56:00Z,45.00,56.00
2026-04-24T14:57:00Z,45.00,56.00
2026-04-24T14:58:00Z,45.00,56.00
2026-04-24T14:59:00Z,45.00,56.00
2026-04-24T15:00:00Z,45.00,56.00
2026-04-24T15:02:00Z,45.00,56.00
2026-04-24T15:03:00Z,45.00,56.00
2026-04-24T15:05:00Z,45.00,56.00
2026-04-24T15:06:00Z,45.00,56.00
2026-04-24T15:08:00Z,45.00,56.00
2026-04-24T15:09:00Z,45.00,56.00
2026-04-24T15:10:00Z,44.00,56.00
2026-04-24T15:11:00Z,45.00,56.00
2026-04-24T15:12:00Z,45.00,56.00
2026-04-24T15:13:00Z,45.00,56.00
2026-04-24T15:15:00Z,45.00,56.00
2026-04-24T15:16:00Z,45.00,56.00
2026-04-24T15:17:00Z,45.00,56.00
2026-04-24T15:18:00Z,45.00,56.00
2026-04-24T15:19:00Z,45.00,56.00
2026-04-24T15:20:00Z,45.00,56.00
2026-04-24T15:21:00Z,45.00,56.00
2026-04-24T15:22:00Z,45.00,56.00
2026-04-24T15:23:00Z,45.00,56.00
2026-04-24T15:24:00Z,45.00,56.00
2026-04-24T15:25:00Z,45.00,56.00
2026-04-24T15:26:00Z,45.00,56.00
2026-04-24T15:27:00Z,45.00,56.00
2026-04-24T15:28:00Z,45.00,56.00
2026-04-24T15:29:00Z,45.00,56.00
2026-04-24T15:30:00Z,45.00,56.00
2026-04-24T15:31:00Z,45.00,56.00
2026-04-24T15:32:00Z,45.00,56.00
2026-04-24T15:33:00Z,45.00,56.00
2026-04-24T15:34:00Z,45.00,56.00
2026-04-24T15:35:00Z,45.00,56.00
2026-04-24T15:36:00Z,44.67,57.00
2026-04-24T15:37:00Z,44.67,57.00
2026-04-24T15:38:00Z,45.00,56.60
2026-04-24T15:39:00Z,45.00,57.00
2026-04-24T15:40:00Z,45.00,57.00
2026-04-24T15:41:00Z,45.00,57.00
2026-04-24T15:42:00Z,45.00,57.00
2026-04-24T15:43:00Z,45.00,56.93
2026-04-24T15:44:00Z,45.00,57.00
2026-04-24T15:45:00Z,45.00,56.56
2026-04-24T15:46:00Z,45.00,56.95
2026-04-24T15:47:00Z,45.00,57.00
2026-04-24T15:48:00Z,45.00,57.00
2026-04-24T15:49:00Z,45.00,57.00
2026-04-24T15:50:00Z,45.00,57.00
2026-04-24T15:51:00Z,45.00,57.00
2026-04-24T15:52:00Z,45.00,57.00
2026-04-24T15:53:00Z,45.00,57.00
2026-04-24T15:54:00Z,45.00,56.21
2026-04-24T15:55:00Z,45.00,57.00
2026-04-24T15:56:00Z,45.00,56.98
2026-04-24T15:57:00Z,45.00,57.00
2026-04-24T15:58:00Z,45.00,57.00
2026-04-24T15:59:00Z,45.00,57.00
2026-04-24T16:00:00Z,45.00,56.20
2026-04-24T16:01:00Z,45.00,57.00
2026-04-24T16:02:00Z,45.00,56.99
2026-04-24T16:03:00Z,45.00,57.00
2026-04-24T16:04:00Z,45.00,56.32
2026-04-24T16:05:00Z,45.00,56.99
2026-04-24T16:06:00Z,45.00,56.35
2026-04-24T16:07:00Z,45.00,56.61
2026-04-24T16:08:00Z,45.00,57.00
2026-04-24T16:09:00Z,45.00,57.00
2026-04-24T16:10:00Z,45.00,56.95
2026-04-24T16:11:00Z,44.00,56.33
2026-04-24T16:12:00Z,45.00,57.00
2026-04-24T16:13:00Z,44.94,56.19
2026-04-24T16:14:00Z,45.00,57.00
2026-04-24T16:15:00Z,45.00,57.00
2026-04-24T16:16:00Z,45.00,56.93
2026-04-24T16:17:00Z,44.54,56.30
2026-04-24T16:18:00Z,44.79,57.00
2026-04-24T16:19:00Z,45.00,57.00
2026-04-24T16:20:00Z,44.93,56.97
2026-04-24T16:21:00Z,45.00,57.00
2026-04-24T16:22:00Z,45.00,57.00
2026-04-24T16:23:00Z,45.00,57.00
2026-04-24T16:24:00Z,45.00,57.00
2026-04-24T16:25:00Z,44.59,57.00
2026-04-24T16:26:00Z,45.00,57.13
2026-04-24T16:27:00Z,45.00,58.00
2026-04-24T16:28:00Z,45.00,58.85
2026-04-24T16:29:00Z,45.00,59.00
2026-04-24T16:30:00Z,44.38,59.00
2026-04-24T16:31:00Z,44.53,59.00
2026-04-24T16:32:00Z,44.96,59.00
2026-04-24T16:33:00Z,44.69,59.00
2026-04-24T16:34:00Z,44.71,59.00
2026-04-24T16:35:00Z,44.31,58.45
2026-04-24T16:36:00Z,44.00,59.00
2026-04-24T16:37:00Z,44.00,58.00
2026-04-24T16:38:00Z,44.00,58.05
