# event_ticker=KXATPCHALLENGERMATCH-26MAY26BECBIT
# final_score=3-6 6-1 6-4
# match_winner=Alec Beckley
# fav_player=Alec Beckley
# dog_player=Constantin Bittoun Kouzmine
# kalshi_date=2026-05-26
timestamp,Alec Beckley,Constantin Bittoun Kouzmine
2026-05-26T13:51:00Z,24.53,75.96
2026-05-26T13:52:00Z,23.00,79.00
2026-05-26T13:53:00Z,23.00,78.44
2026-05-26T13:54:00Z,22.03,77.73
2026-05-26T13:55:00Z,25.18,74.99
2026-05-26T13:56:00Z,23.00,77.59
2026-05-26T13:57:00Z,24.91,75.04
2026-05-26T13:58:00Z,24.14,74.12
2026-05-26T13:59:00Z,24.87,75.00
2026-05-26T14:00:00Z,29.80,69.81
2026-05-26T14:01:00Z,35.68,64.44
2026-05-26T14:02:00Z,39.48,61.90
2026-05-26T14:03:00Z,39.37,60.00
2026-05-26T14:04:00Z,44.14,55.13
2026-05-26T14:05:00Z,46.00,54.00
2026-05-26T14:06:00Z,46.03,54.00
2026-05-26T14:07:00Z,50.74,51.12
2026-05-26T14:08:00Z,51.00,49.00
2026-05-26T14:09:00Z,52.88,49.00
2026-05-26T14:10:00Z,54.54,46.00
2026-05-26T14:11:00Z,57.68,45.00
2026-05-26T14:12:00Z,57.99,42.00
2026-05-26T14:13:00Z,58.00,42.00
2026-05-26T14:14:00Z,58.00,42.00
2026-05-26T14:15:00Z,57.35,42.00
2026-05-26T14:16:00Z,56.42,42.00
2026-05-26T14:17:00Z,56.02,46.00
2026-05-26T14:18:00Z,55.99,44.00
2026-05-26T14:19:00Z,56.00,44.00
2026-05-26T14:20:00Z,58.00,44.00
2026-05-26T14:22:00Z,55.69,44.00
2026-05-26T14:23:00Z,59.68,38.81
2026-05-26T14:24:00Z,63.59,37.55
2026-05-26T14:25:00Z,65.00,36.91
2026-05-26T14:26:00Z,64.18,38.00
2026-05-26T14:27:00Z,76.05,26.16
2026-05-26T14:28:00Z,76.08,26.30
2026-05-26T14:29:00Z,61.63,34.70
2026-05-26T14:30:00Z,57.41,41.84
2026-05-26T14:31:00Z,63.34,36.01
2026-05-26T14:32:00Z,63.00,42.00
2026-05-26T14:33:00Z,68.50,42.00
2026-05-26T14:34:00Z,76.57,24.00
2026-05-26T14:35:00Z,78.07,25.52
2026-05-26T14:36:00Z,80.03,17.95
2026-05-26T14:37:00Z,82.24,19.00
2026-05-26T14:38:00Z,83.40,18.00
2026-05-26T14:39:00Z,87.90,14.46
2026-05-26T14:40:00Z,93.73,14.46
2026-05-26T14:41:00Z,95.93,4.19
2026-05-26T14:42:00Z,95.76,5.71
2026-05-26T14:43:00Z,95.69,5.81
2026-05-26T14:44:00Z,92.19,8.43
2026-05-26T14:45:00Z,92.25,8.00
2026-05-26T14:46:00Z,89.68,8.74
2026-05-26T14:47:00Z,85.22,14.83
2026-05-26T14:48:00Z,82.01,18.12
2026-05-26T14:49:00Z,83.83,19.00
2026-05-26T14:50:00Z,83.00,17.73
2026-05-26T14:51:00Z,85.04,14.00
2026-05-26T14:52:00Z,89.92,11.78
2026-05-26T14:53:00Z,82.95,18.59
2026-05-26T14:54:00Z,85.00,17.57
2026-05-26T14:55:00Z,73.57,27.99
2026-05-26T14:56:00Z,51.24,43.62
2026-05-26T14:57:00Z,49.90,54.11
2026-05-26T14:58:00Z,64.95,34.01
2026-05-26T14:59:00Z,72.94,25.46
2026-05-26T15:00:00Z,86.32,15.07
2026-05-26T15:01:00Z,87.00,15.07
2026-05-26T15:02:00Z,81.29,18.56
2026-05-26T15:03:00Z,69.10,31.11
2026-05-26T15:04:00Z,90.61,18.73
2026-05-26T15:05:00Z,89.94,15.83
2026-05-26T15:06:00Z,93.29,11.87
2026-05-26T15:07:00Z,88.72,11.04
2026-05-26T15:08:00Z,97.69,7.22
2026-05-26T15:09:00Z,99.00,1.00
2026-05-26T15:10:00Z,99.00,1.00
2026-05-26T15:11:00Z,99.00,1.00
2026-05-26T15:12:00Z,99.00,1.00
