# event_ticker=KXATPCHALLENGERMATCH-26APR02MARPER
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Alex Martinez
# fav_player=Alex Martinez
# dog_player=Tiago Pereira
# kalshi_date=2026-04-02
timestamp,Alex Martinez,Tiago Pereira
2026-04-02T11:36:00Z,71.00,30.00
2026-04-02T11:37:00Z,71.00,31.53
2026-04-02T11:38:00Z,68.47,31.11
2026-04-02T11:39:00Z,74.64,27.68
2026-04-02T11:40:00Z,76.88,23.26
2026-04-02T11:41:00Z,75.18,23.26
2026-04-02T11:42:00Z,81.12,18.16
2026-04-02T11:43:00Z,84.80,15.68
2026-04-02T11:44:00Z,86.79,12.45
2026-04-02T11:45:00Z,76.94,22.61
2026-04-02T11:46:00Z,79.72,22.75
2026-04-02T11:47:00Z,84.07,21.19
2026-04-02T11:48:00Z,83.00,17.07
2026-04-02T11:49:00Z,82.51,20.23
2026-04-02T11:50:00Z,86.04,13.01
2026-04-02T11:51:00Z,90.00,11.04
2026-04-02T11:52:00Z,93.31,5.13
2026-04-02T11:53:00Z,95.64,5.17
2026-04-02T11:54:00Z,96.01,4.06
2026-04-02T11:55:00Z,97.00,3.04
2026-04-02T11:56:00Z,98.87,1.97
2026-04-02T11:57:00Z,97.72,2.50
2026-04-02T11:58:00Z,97.61,2.88
2026-04-02T11:59:00Z,97.20,3.00
2026-04-02T12:00:00Z,98.04,3.56
2026-04-02T12:01:00Z,97.96,2.31
2026-04-02T12:02:00Z,97.01,4.66
2026-04-02T12:03:00Z,96.97,2.10
2026-04-02T12:04:00Z,95.16,4.72
2026-04-02T12:05:00Z,96.86,2.32
2026-04-02T12:06:00Z,98.44,1.08
2026-04-02T12:07:00Z,99.00,2.00
2026-04-02T12:08:00Z,99.00,1.91
2026-04-02T12:09:00Z,97.04,2.01
2026-04-02T12:10:00Z,98.66,1.13
2026-04-02T12:11:00Z,98.28,2.00
2026-04-02T12:12:00Z,97.64,2.49
2026-04-02T12:13:00Z,99.00,1.15
2026-04-02T12:14:00Z,99.00,1.15
2026-04-02T12:15:00Z,97.31,3.14
2026-04-02T12:16:00Z,95.09,5.17
2026-04-02T12:17:00Z,95.44,5.23
2026-04-02T12:18:00Z,97.55,2.93
2026-04-02T12:21:00Z,99.00,2.93
2026-04-02T12:22:00Z,99.00,2.93
