# event_ticker=KXATPCHALLENGERMATCH-26MAY05WENFER
# final_score=6-3 6-3
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Harry Wendelken
# kalshi_date=2026-05-05
timestamp,Harry Wendelken,Frederico Ferreira Silva
2026-05-05T14:08:00Z,7.13,93.00
2026-05-05T14:09:00Z,8.65,93.00
2026-05-05T14:10:00Z,9.52,90.56
2026-05-05T14:11:00Z,10.00,92.00
2026-05-05T14:12:00Z,10.00,92.86
2026-05-05T14:13:00Z,8.00,92.00
2026-05-05T14:14:00Z,5.17,94.61
2026-05-05T14:15:00Z,7.88,92.43
2026-05-05T14:16:00Z,4.63,94.59
2026-05-05T14:17:00Z,1.55,98.99
2026-05-05T14:18:00Z,2.63,98.01
2026-05-05T14:19:00Z,1.18,98.33
2026-05-05T14:20:00Z,1.00,99.00
2026-05-05T14:21:00Z,2.00,99.00
2026-05-05T14:22:00Z,1.27,99.00
2026-05-05T14:23:00Z,2.00,99.00
2026-05-05T14:24:00Z,2.11,99.00
2026-05-05T14:25:00Z,1.35,99.00
2026-05-05T14:26:00Z,1.45,99.00
2026-05-05T14:27:00Z,1.45,99.00
2026-05-05T14:31:00Z,1.45,99.00
2026-05-05T14:32:00Z,1.45,99.00
