# event_ticker=KXATPCHALLENGERMATCH-26MAR07ROCMON
# final_score=6-0 6-7(3) 6-3
# score_resolution=6-0 6-7 6-3
# match_winner=Henrique Rocha
# fav_player=Henrique Rocha
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-07
timestamp,Henrique Rocha,Thiago Monteiro
2026-03-07T13:55:00Z,37.00,66.00
2026-03-07T13:56:00Z,37.00,66.00
2026-03-07T13:58:00Z,37.00,66.00
2026-03-07T14:00:00Z,37.00,66.00
2026-03-07T14:02:00Z,37.00,66.00
2026-03-07T14:04:00Z,37.00,64.00
2026-03-07T14:05:00Z,37.00,66.00
2026-03-07T14:06:00Z,37.00,66.00
2026-03-07T14:07:00Z,37.00,65.00
2026-03-07T14:08:00Z,37.63,66.00
2026-03-07T14:09:00Z,38.14,64.00
2026-03-07T14:10:00Z,36.09,64.00
2026-03-07T14:11:00Z,38.00,64.68
2026-03-07T14:12:00Z,40.67,60.57
2026-03-07T14:13:00Z,43.02,58.01
2026-03-07T14:14:00Z,46.01,55.58
2026-03-07T14:15:00Z,47.64,57.90
2026-03-07T14:16:00Z,51.03,57.81
2026-03-07T14:17:00Z,51.23,51.71
2026-03-07T14:18:00Z,47.04,56.82
2026-03-07T14:19:00Z,43.28,59.84
2026-03-07T14:20:00Z,46.94,52.23
2026-03-07T14:21:00Z,57.34,42.34
2026-03-07T14:22:00Z,67.26,39.16
2026-03-07T14:23:00Z,64.18,39.02
2026-03-07T14:24:00Z,63.63,36.33
2026-03-07T14:25:00Z,66.55,34.39
2026-03-07T14:26:00Z,67.11,33.91
2026-03-07T14:27:00Z,66.18,35.71
2026-03-07T14:28:00Z,66.05,35.70
2026-03-07T14:29:00Z,66.89,34.82
2026-03-07T14:30:00Z,67.78,33.47
2026-03-07T14:31:00Z,68.91,34.66
2026-03-07T14:32:00Z,71.29,30.42
2026-03-07T14:33:00Z,71.25,29.23
2026-03-07T14:34:00Z,67.46,33.63
2026-03-07T14:35:00Z,71.25,31.98
2026-03-07T14:36:00Z,75.34,23.58
2026-03-07T14:37:00Z,77.91,22.52
2026-03-07T14:38:00Z,78.91,22.26
2026-03-07T14:39:00Z,78.11,22.13
2026-03-07T14:40:00Z,79.96,21.96
2026-03-07T14:41:00Z,79.54,22.01
2026-03-07T14:42:00Z,79.55,21.15
2026-03-07T14:43:00Z,81.00,19.83
2026-03-07T14:44:00Z,79.93,21.04
2026-03-07T14:45:00Z,78.88,20.89
2026-03-07T14:46:00Z,81.37,19.54
2026-03-07T14:47:00Z,82.99,18.84
2026-03-07T14:48:00Z,82.58,18.99
2026-03-07T14:49:00Z,82.49,19.00
2026-03-07T14:50:00Z,82.79,18.02
2026-03-07T14:51:00Z,83.00,17.89
2026-03-07T14:52:00Z,82.86,18.00
2026-03-07T14:53:00Z,84.97,15.81
2026-03-07T14:54:00Z,85.66,14.63
2026-03-07T14:55:00Z,86.83,13.90
2026-03-07T14:56:00Z,85.88,15.36
2026-03-07T14:57:00Z,83.05,17.48
2026-03-07T14:58:00Z,81.05,19.55
2026-03-07T14:59:00Z,78.96,21.24
2026-03-07T15:00:00Z,73.80,26.97
2026-03-07T15:01:00Z,67.91,35.00
2026-03-07T15:02:00Z,65.37,35.63
2026-03-07T15:03:00Z,60.25,38.60
2026-03-07T15:04:00Z,57.94,42.36
2026-03-07T15:05:00Z,57.33,42.70
2026-03-07T15:06:00Z,60.32,39.73
2026-03-07T15:07:00Z,63.52,37.78
2026-03-07T15:08:00Z,63.06,38.81
2026-03-07T15:09:00Z,63.10,38.66
2026-03-07T15:10:00Z,67.05,31.42
2026-03-07T15:11:00Z,68.16,30.83
2026-03-07T15:12:00Z,64.51,38.40
2026-03-07T15:13:00Z,59.24,41.47
2026-03-07T15:14:00Z,60.31,40.24
2026-03-07T15:15:00Z,59.79,41.32
2026-03-07T15:16:00Z,61.79,39.04
2026-03-07T15:17:00Z,61.98,39.86
2026-03-07T15:18:00Z,59.78,40.60
2026-03-07T15:19:00Z,61.81,39.92
2026-03-07T15:20:00Z,57.41,43.10
2026-03-07T15:21:00Z,56.26,42.65
2026-03-07T15:22:00Z,56.41,44.65
2026-03-07T15:23:00Z,56.79,44.12
2026-03-07T15:24:00Z,58.14,43.54
2026-03-07T15:25:00Z,58.94,42.00
2026-03-07T15:26:00Z,57.68,42.20
2026-03-07T15:27:00Z,53.66,45.19
2026-03-07T15:28:00Z,53.26,47.75
2026-03-07T15:29:00Z,62.87,42.96
2026-03-07T15:30:00Z,68.51,30.10
2026-03-07T15:31:00Z,80.04,19.92
2026-03-07T15:32:00Z,84.50,15.81
2026-03-07T15:33:00Z,84.78,15.93
2026-03-07T15:34:00Z,84.39,15.78
2026-03-07T15:35:00Z,82.40,17.06
2026-03-07T15:36:00Z,80.25,20.68
2026-03-07T15:37:00Z,78.84,21.94
2026-03-07T15:38:00Z,72.41,25.78
2026-03-07T15:39:00Z,63.83,36.44
2026-03-07T15:40:00Z,56.72,43.20
2026-03-07T15:41:00Z,60.45,41.97
2026-03-07T15:42:00Z,65.02,35.86
2026-03-07T15:43:00Z,57.42,38.35
2026-03-07T15:44:00Z,52.93,47.37
2026-03-07T15:45:00Z,54.11,47.07
2026-03-07T15:46:00Z,53.66,47.25
2026-03-07T15:47:00Z,52.29,48.29
2026-03-07T15:48:00Z,53.80,46.98
2026-03-07T15:49:00Z,53.89,46.95
2026-03-07T15:50:00Z,53.91,46.95
2026-03-07T15:51:00Z,54.07,46.83
2026-03-07T15:52:00Z,54.54,46.17
2026-03-07T15:53:00Z,55.02,46.98
2026-03-07T15:54:00Z,53.40,46.44
2026-03-07T15:55:00Z,52.85,46.17
2026-03-07T15:56:00Z,58.00,34.04
2026-03-07T15:57:00Z,64.21,36.24
2026-03-07T15:58:00Z,61.87,37.39
2026-03-07T15:59:00Z,63.70,36.71
2026-03-07T16:00:00Z,62.88,33.93
2026-03-07T16:01:00Z,72.29,28.31
2026-03-07T16:02:00Z,80.86,19.47
2026-03-07T16:03:00Z,83.94,16.00
2026-03-07T16:04:00Z,86.23,14.35
2026-03-07T16:05:00Z,86.95,12.46
2026-03-07T16:06:00Z,86.03,14.35
2026-03-07T16:07:00Z,83.71,16.11
2026-03-07T16:08:00Z,82.57,17.61
2026-03-07T16:09:00Z,82.64,17.99
2026-03-07T16:10:00Z,84.71,17.07
2026-03-07T16:11:00Z,86.71,14.25
2026-03-07T16:12:00Z,88.30,12.75
2026-03-07T16:13:00Z,88.09,13.09
2026-03-07T16:14:00Z,87.09,15.03
2026-03-07T16:15:00Z,85.82,14.96
2026-03-07T16:16:00Z,85.63,14.94
2026-03-07T16:17:00Z,87.90,14.02
2026-03-07T16:18:00Z,89.30,9.72
2026-03-07T16:19:00Z,90.72,10.18
2026-03-07T16:20:00Z,91.14,8.27
2026-03-07T16:21:00Z,92.40,7.40
2026-03-07T16:22:00Z,89.69,9.76
2026-03-07T16:23:00Z,89.26,11.38
2026-03-07T16:24:00Z,88.92,11.98
2026-03-07T16:25:00Z,88.50,12.10
2026-03-07T16:26:00Z,93.97,6.89
2026-03-07T16:27:00Z,90.00,11.10
2026-03-07T16:28:00Z,90.20,13.49
2026-03-07T16:29:00Z,93.44,6.92
2026-03-07T16:30:00Z,93.80,5.86
2026-03-07T16:31:00Z,95.64,5.38
2026-03-07T16:32:00Z,97.56,2.55
2026-03-07T16:33:00Z,98.95,1.26
2026-03-07T16:34:00Z,99.00,1.26
2026-03-07T16:35:00Z,99.00,1.00
2026-03-07T16:36:00Z,99.00,1.00
2026-03-07T16:37:00Z,99.00,1.00
2026-03-07T16:38:00Z,99.00,1.00
2026-03-07T16:39:00Z,99.00,1.00
2026-03-07T16:40:00Z,99.00,1.00
2026-03-07T16:41:00Z,99.00,1.00
2026-03-07T16:42:00Z,99.00,1.00
